task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
college_scorecard,q2000,7,classical_ext,linear,4,linear__d4,svc,train_cv,0.01,0.8550701183850371,validation,0.0258910655975341,analytic_cpu,0.826,0.8406597758504614,0.7114906317360306,0.5297297297297298,0.9022216941903292,0.5998592042161601,,,,
college_scorecard,q2000,7,classical_ext,linear,4,linear__d4,svc,train_cv,0.01,0.8550701183850371,id_test,0.0258910655975341,analytic_cpu,0.798,0.8079144076224696,0.7066665117710953,0.5429864253393665,0.8829360623656604,0.5959174086370208,,,,
college_scorecard,q2000,7,classical_ext,linear,4,linear__d4,svc,train_cv,0.01,0.8550701183850371,ood_test,0.0258910655975341,analytic_cpu,0.668,0.6053308823529412,0.607720810647308,0.4539473684210526,0.6638235294117647,0.5033075163788797,,,,
college_scorecard,q2000,7,classical_ext,linear,4,linear__d4,gpc,not_applicable,,,validation,2.700382709503174,analytic_cpu,0.898,0.7054968120074452,0.7239990908205345,0.5048543689320388,0.8983406597758505,0.5970378070337249,0.2302391375909033,0.0698466983500849,0.0463290916109224,0.2615128582875064
college_scorecard,q2000,7,classical_ext,linear,4,linear__d4,gpc,not_applicable,,,id_test,2.700382709503174,analytic_cpu,0.868,0.6728690128645215,0.6961997348652231,0.4677419354838709,0.874370408392416,0.5988074468496162,0.2842577485378877,0.0868834977122713,0.0327544690206181,0.2892067720057543
college_scorecard,q2000,7,classical_ext,linear,4,linear__d4,gpc,not_applicable,,,ood_test,2.700382709503174,analytic_cpu,0.69,0.5181066176470588,0.4455414377289377,0.0773809523809523,0.6731801470588235,0.5012418961064328,0.8849999912052583,0.2504537034860745,0.2218565127145642,0.2489686751427509
college_scorecard,q2000,7,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,validation,0.0173890590667724,analytic_cpu,0.812,0.8480456219555661,0.701746370189867,0.5204081632653061,0.9035285731258168,0.602494202666393,,,,
college_scorecard,q2000,7,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,id_test,0.0173890590667724,analytic_cpu,0.78,0.8144108305797055,0.6949596237465614,0.5338983050847458,0.879920438869462,0.6062040980916608,,,,
college_scorecard,q2000,7,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,ood_test,0.0173890590667724,analytic_cpu,0.664,0.6139705882352942,0.6139705882352942,0.475,0.6775413602941176,0.5054433291627242,,,,
college_scorecard,q2000,7,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,100.0,0.8621346190730174,validation,0.0430860519409179,analytic_cpu,0.82,0.8907766029068156,0.7208367453286681,0.5544554455445545,0.9334679814660805,0.6180978611895932,,,,
college_scorecard,q2000,7,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,100.0,0.8621346190730174,id_test,0.0430860519409179,analytic_cpu,0.776,0.8347823297295562,0.698087166548058,0.5447154471544715,0.8814282506175611,0.5459677078606919,,,,
college_scorecard,q2000,7,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,100.0,0.8621346190730174,ood_test,0.0430860519409179,analytic_cpu,0.587,0.6334558823529411,0.582912121704829,0.5416204217536071,0.6860753676470588,0.4607170697736117,,,,
college_scorecard,q2000,7,classical_ext,rbf_gscale,4,rbf_gscale__d4,gpc,not_applicable,,,validation,2.70164155960083,analytic_cpu,0.908,0.7340699378242446,0.753176510989011,0.5576923076923077,0.9308542235951052,0.6435328783044227,0.2063194614610998,0.0636899104060388,0.0393817433510501,0.258063314335614
college_scorecard,q2000,7,classical_ext,rbf_gscale,4,rbf_gscale__d4,gpc,not_applicable,,,id_test,2.70164155960083,analytic_cpu,0.88,0.7026081935132014,0.7275798191129998,0.5238095238095238,0.8929132847839338,0.6482099425116149,0.268462212804681,0.0817218222806018,0.0357623421612103,0.2906160397072189
college_scorecard,q2000,7,classical_ext,rbf_gscale,4,rbf_gscale__d4,gpc,not_applicable,,,ood_test,2.70164155960083,analytic_cpu,0.68,0.500827205882353,0.4077539810037089,0.0062111801242236,0.6407215073529412,0.4038915553639691,0.6596570631063848,0.2268633199633109,0.142924925288806,0.4604168179082236
college_scorecard,q2000,7,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,fixed_c1,1.0,,validation,0.0182766914367675,analytic_cpu,0.804,0.881747257534355,0.7046413502109705,0.5333333333333333,0.91612213377688,0.4721388915557633,,,,
college_scorecard,q2000,7,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,fixed_c1,1.0,,id_test,0.0182766914367675,analytic_cpu,0.742,0.7978409419011261,0.6622170085519321,0.4980544747081712,0.8854063071444611,0.5184184045058309,,,,
college_scorecard,q2000,7,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,fixed_c1,1.0,,ood_test,0.0182766914367675,analytic_cpu,0.531,0.6204044117647058,0.5307066916823014,0.5424390243902439,0.7302481617647059,0.5720524866142651,,,,
college_scorecard,q2000,7,classical_ext,poly2,4,poly2__d4,svc,train_cv,10.0,0.8544210304188102,validation,0.015000581741333,analytic_cpu,0.804,0.8435309492693359,0.69375,0.51,0.9075680171082332,0.4494641754824696,,,,
college_scorecard,q2000,7,classical_ext,poly2,4,poly2__d4,svc,train_cv,10.0,0.8544210304188102,id_test,0.015000581741333,analytic_cpu,0.756,0.7946809534503224,0.6711306635612775,0.5040650406504065,0.8795033845561578,0.529281355320683,,,,
college_scorecard,q2000,7,classical_ext,poly2,4,poly2__d4,svc,train_cv,10.0,0.8544210304188102,ood_test,0.015000581741333,analytic_cpu,0.541,0.6285845588235294,0.5408673106527786,0.5486725663716814,0.6469071691176471,0.3987290945169765,,,,
college_scorecard,q2000,7,classical_ext,poly2,4,poly2__d4,gpc,not_applicable,,,validation,2.8036234378814697,analytic_cpu,0.9,0.7295552651380144,0.740491612688922,0.5370370370370371,0.909033305611659,0.6050704661793413,0.2250963669922249,0.0690061890750342,0.0371303638607582,0.2572125671663476
college_scorecard,q2000,7,classical_ext,poly2,4,poly2__d4,gpc,not_applicable,,,id_test,2.8036234378814697,analytic_cpu,0.866,0.6773764075583074,0.6978470474695818,0.4724409448818897,0.8769048153732636,0.6150560848139603,0.2813304224259043,0.0857383274942785,0.0329901334554266,0.2855905752369415
college_scorecard,q2000,7,classical_ext,poly2,4,poly2__d4,gpc,not_applicable,,,ood_test,2.8036234378814697,analytic_cpu,0.682,0.5039522058823529,0.414390524175727,0.0185185185185185,0.6775091911764705,0.4904141857228077,0.8078996295555652,0.2475901117337617,0.2157235533581714,0.2859735989161602
college_scorecard,q2000,7,classical_ext,poly3,4,poly3__d4,svc,train_cv,100.0,0.8534328367328478,validation,0.0302679538726806,analytic_cpu,0.8,0.8565601362322284,0.6943092612066225,0.5145631067961165,0.9223793117104272,0.5335440207353916,,,,
college_scorecard,q2000,7,classical_ext,poly3,4,poly3__d4,svc,train_cv,100.0,0.8534328367328478,id_test,0.0302679538726806,analytic_cpu,0.746,0.7888261525135543,0.6622322459162017,0.4940239043824701,0.8876840653171216,0.5389239449022005,,,,
college_scorecard,q2000,7,classical_ext,poly3,4,poly3__d4,svc,train_cv,100.0,0.8534328367328478,ood_test,0.0302679538726806,analytic_cpu,0.563,0.641452205882353,0.5629261345167333,0.5572441742654508,0.7317279411764706,0.5771844574066042,,,,
college_scorecard,q2000,7,classical_ext,poly3,4,poly3__d4,gpc,not_applicable,,,validation,2.6591455936431885,analytic_cpu,0.9,0.7371985267910182,0.7446373850868233,0.5454545454545454,0.9112114371708052,0.603323002366973,0.2235175978228828,0.0687012036969471,0.0426736483529118,0.2538086246601179
college_scorecard,q2000,7,classical_ext,poly3,4,poly3__d4,gpc,not_applicable,,,id_test,2.6591455936431885,analytic_cpu,0.868,0.6899040775079401,0.7082228116710876,0.4923076923076923,0.8752686792210709,0.6179742913767572,0.2809103772604122,0.0852883437548692,0.0378717226101238,0.2824863807865708
college_scorecard,q2000,7,classical_ext,poly3,4,poly3__d4,gpc,not_applicable,,,ood_test,2.6591455936431885,analytic_cpu,0.681,0.502389705882353,0.4110816344238477,0.0123839009287925,0.6651976102941175,0.4771460403998204,0.7948935009647864,0.2493863185731253,0.213778288308669,0.2989128807805927
college_scorecard,q2000,7,classical_ext,laplacian_med,4,laplacian_med__d4,svc,train_cv,10.0,0.8660908214227753,validation,0.0165214538574218,analytic_cpu,0.882,0.8875490079600807,0.7816092804951177,0.6335403726708074,0.9297849590115242,0.6261917367453391,,,,
