family,model,dim,cfg,kernel,split,svc_c,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc_C0.01__d4,linear,id_test,0.01,0.011006832122802734,0.686,0.6884008514925495,0.6846262318660084,0.7054409005628518,0.8612587139862526,0.9028659427487006,,,,
classical_ext,svc,4,linear__svc_C0.01__d4,linear,ood_test,0.01,0.011006832122802734,0.536,0.5327986437141368,0.5316839997416187,0.48672566371681414,0.5785406885758999,0.5321789667696066,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,id_test,0.1,0.008099555969238281,0.686,0.6884008514925495,0.6846262318660084,0.7054409005628518,0.8535725312403517,0.8997239600372149,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,ood_test,0.1,0.008099555969238281,0.536,0.5327986437141368,0.5316839997416187,0.48672566371681414,0.5167579551382369,0.5095720289805065,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,id_test,10.0,0.009511947631835938,0.822,0.8330733356083134,0.8219651051606115,0.8244575936883629,0.9097157899868376,0.9363243266263084,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,ood_test,10.0,0.009511947631835938,0.66,0.6447248304642671,0.6458333333333333,0.575,0.5458887584767866,0.4782361504855469,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,id_test,100.0,0.016841411590576172,0.82,0.8287752482165781,0.8198154910628483,0.8255813953488372,0.9137620045824598,0.9370512053252964,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,ood_test,100.0,0.016841411590576172,0.642,0.6266627543035994,0.6273922872285064,0.5536159600997507,0.5742207876890976,0.4884098002855516,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,id_test,0.01,0.011999368667602539,0.832,0.8465038430913729,0.8319758045158503,0.8299595141700404,0.9475779586928615,0.9587353891190644,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,ood_test,0.01,0.011999368667602539,0.668,0.6517670839853938,0.652986821860994,0.5808080808080808,0.7764899582681273,0.6164758916448771,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.1__d4,rbf_gscale,id_test,0.1,0.006003856658935547,0.912,0.9000471245876598,0.9080206033848417,0.9271523178807947,0.9607890930954355,0.962596838637739,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.1__d4,rbf_gscale,ood_test,0.1,0.006003856658935547,0.848,0.8650886802295252,0.8479902713773682,0.8492063492063492,0.8339201877934272,0.639074056856221,,,,
classical_ext,svc,4,rbf_gscale__svc_C10__d4,rbf_gscale,id_test,10.0,0.007599592208862305,0.858,0.8666130421358813,0.8577946554825168,0.8631984585741811,0.9549553941403013,0.941516222675081,,,,
