family,model,dim,cfg,kernel,split,regularization,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,feature_policy,n_input_features,n_retained_features,n_removed_features,removed_features,id_split_hash_salt
classical_ext,svc,4,linear__svc__d4,linear,id_val,fixed_c1,1.0,,0.007669210433959961,0.7091633466135459,0.7093650793650794,0.7084970647660562,0.7224334600760456,0.8277460317460317,0.8470211810981065,full_v4_features,39,39,0,,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,id_test,fixed_c1,1.0,,0.007669210433959961,0.7108433734939759,0.7111612903225806,0.7091499026606101,0.7313432835820896,0.8429032258064516,0.8637103999720804,full_v4_features,39,39,0,,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,ood_test,fixed_c1,1.0,,0.007669210433959961,0.708,0.7037286181049395,0.7007166401548074,0.7474048442906575,0.8219937215708886,0.7958550942264536,full_v4_features,39,39,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,fixed_c1,1.0,,0.008041620254516602,0.8764940239043825,0.876984126984127,0.8747041110449107,0.8896797153024911,0.942031746031746,0.8939656545196115,full_v4_features,39,39,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,fixed_c1,1.0,,0.008041620254516602,0.9196787148594378,0.9199999999999999,0.9192083062946139,0.9253731343283582,0.9578064516129032,0.9209842012103509,full_v4_features,39,39,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,fixed_c1,1.0,,0.008041620254516602,0.786,0.779438144660132,0.7740470911202619,0.8260162601626017,0.8587833941956564,0.784418099471835,full_v4_features,39,39,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,fixed_c1,1.0,,0.007006406784057617,0.8685258964143426,0.8690476190476191,0.8663536473207802,0.8833922261484098,0.9020317460317461,0.8140153049549312,full_v4_features,39,39,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,fixed_c1,1.0,,0.007006406784057617,0.9156626506024096,0.9159999999999999,0.9151150143666499,0.9219330855018587,0.9256774193548387,0.8678807383555514,full_v4_features,39,39,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,fixed_c1,1.0,,0.007006406784057617,0.74,0.7323018771221731,0.7205214639515685,0.7943037974683544,0.781296047152284,0.6935770687660453,full_v4_features,39,39,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_val,fixed_c1,1.0,,0.008998632431030273,0.8725099601593626,0.873015873015873,0.8705351386202449,0.8865248226950354,0.9206984126984127,0.8443800284595332,full_v4_features,39,39,0,,ksf-v4-idsplit::
