setting_label,splits_dir,dim,kernel,family,n_train,spec_train_top1_share,spec_train_top5_share,spec_train_top20_share,spec_train_eff_rank,spec_ood_top1_share,spec_ood_top5_share,spec_ood_top20_share,spec_ood_eff_rank,k_train_mean,k_train_std,k_id2train_mean,k_id2train_std,k_ood2train_mean,k_ood2train_std,ood_novelty_ratio,kta_train,kta_id,kta_ood,kta_drop_id_to_ood
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,4,linear,classical,1000,0.9809018575819517,0.9999999999999958,0.999999999999998,1.1155134552074628,0.9545255030140254,0.9999999999999968,0.9999999999999989,1.243714131555283,0.9800824258821548,0.04206510029997241,0.9781583304854663,0.04476040432908368,0.9629822437677044,0.08643632517927938,0.9844850406679766,0.09686155909193156,0.15761322837829894,0.08008813628349987,0.07752509209479908
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,4,rbf_gscale,classical,1000,0.8932111362682594,0.9905545153197243,0.9999254656418323,1.6230109850396865,0.8197573253578364,0.9611023822513609,0.9971947973938703,2.310720557955248,0.8869486706763811,0.12483504438418914,0.87949526341173,0.14939889701735923,0.8249750362736115,0.2281352472695473,0.9380096409767755,0.10310065648962291,0.182476951027527,0.07692472236016928,0.10555222866735772
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,4,poly2,classical,1000,0.9708072996396887,0.9994425894886426,0.9999999999999976,1.175531503065676,0.9326846460428819,0.997294873536293,0.9999999999999982,1.3777045016072484,0.9696203539119578,0.05152478054031461,0.9663539165927468,0.062008638541268986,0.9440345729344621,0.11188263317958931,0.9769035513024253,0.09949385760836846,0.16183574080501126,0.0786684541738196,0.08316728663119166
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,4,poly3,classical,1000,0.9577262117822498,0.998722850333267,0.9999996201271865,1.2466871771591939,0.9105066053531715,0.9937902846574495,0.9999970894457657,1.5110771322061123,0.955927014338312,0.06481539071462299,0.951580120595859,0.07998070197870549,0.9227414957134307,0.137426076043679,0.9696939603316113,0.10093022634812096,0.1688729792513568,0.07923795356011486,0.08963502569124195
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,4,laplacian_med,classical,1000,0.4116835706969751,0.6731323069629888,0.8445980039031838,18.128103594765633,0.37102946271438936,0.6315056817655276,0.8056780078955571,22.275981148979113,0.385340822855384,0.21704962580903928,0.38653961552933314,0.22202353611550368,0.3312781908670397,0.21873978282777,0.8570355470897397,0.11559602157012876,0.19551073578689446,0.14889803712962282,0.046612698657271634
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,4,matern15_med,classical,1000,0.5172613169405644,0.8268545048354127,0.9559205206760322,7.108877734809723,0.4644232300588741,0.7576999091984347,0.9052848764712005,10.911209362215386,0.4848690326624935,0.2697966654491311,0.48543837184982475,0.27542943327637365,0.42128058896380954,0.27424973863680874,0.8678353698296782,0.1226499451219114,0.2074230025968757,0.11759485453579666,0.08982814806107906
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,4,matern25_med,classical,1000,0.5465000869886553,0.8607991681564237,0.9737071538203154,5.799779520736579,0.4910140187208883,0.7892339876458268,0.9252737560460931,9.12218974867987,0.5118242011155585,0.2815656888567496,0.5121555439050858,0.28713065746864846,0.4459134848559715,0.28926676215981045,0.8706602714010835,0.12395156561691618,0.2097138299201628,0.11021058252629876,0.09950324739386404
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,6,linear,classical,1000,0.9648679523392418,0.9992082330464749,0.999999999999998,1.2173212025036155,0.9140464044629201,0.9988238419621048,0.9999999999999986,1.4732767408809566,0.9641780137121513,0.04098212331579736,0.9609219536233539,0.059280016863338676,0.9262859746142393,0.14422927355297457,0.9639554712237425,0.05489001832224105,0.08962049573749906,0.07279987780212546,0.016820617935373594
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,6,rbf_gscale,classical,1000,0.7651687850366636,0.9548081772426293,0.9968547057463178,2.708634779781767,0.6991585827520574,0.8919060597962669,0.9739848360800599,4.05172268718336,0.7509526177451431,0.18663641923481475,0.7475477028168638,0.1969451414789827,0.6864055514840781,0.2597639244128809,0.9182096993912314,0.06087465204380856,0.09952390090441668,0.06475392558466128,0.0347699753197554
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q1000_id500_ood500_seed42,6,poly2,classical,1000,0.9456409831201189,0.9968228008387887,0.9999917611457194,1.3353509057580675,0.8864761470063481,0.9838810032483705,0.9999817635773447,1.7162414221664641,0.9442542836934258,0.058770163985230585,0.9401434834021134,0.07979157556702714,0.8977276962094629,0.1709959443446033,0.9548837087726655,0.05441531792608706,0.0913031549647779,0.07247700154755309,0.01882615341722481
