setting_label,splits_dir,dim,kernel,family,n_train,spec_train_top1_share,spec_train_top5_share,spec_train_top20_share,spec_train_eff_rank,spec_ood_top1_share,spec_ood_top5_share,spec_ood_top20_share,spec_ood_eff_rank,k_train_mean,k_train_std,k_id2train_mean,k_id2train_std,k_ood2train_mean,k_ood2train_std,ood_novelty_ratio,kta_train,kta_id,kta_ood,kta_drop_id_to_ood
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,4,linear,classical,4000,0.9830817204211711,0.9999999999999928,0.9999999999999953,1.100573175584581,0.980974673867365,0.999999999999995,0.9999999999999972,1.1107304334064627,0.9828033346143139,0.027098565899073623,0.9843306875824743,0.022818866639088366,0.9817013849600162,0.02757522970578684,0.9973288421710028,0.06954676055915343,0.06800776881189363,0.0617804648380948,0.00622730397379883
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,4,rbf_gscale,classical,4000,0.8651592128545351,0.9938590286929031,0.9999348980521263,1.7275012976352204,0.8510194092447295,0.9929561788560591,0.9999290941333816,1.7969922118899908,0.8603421032651376,0.1316207885823463,0.8694229110048132,0.12267925565553707,0.8522958968641732,0.13925149693158012,0.9803007099032554,0.06630856063542831,0.07369616260568296,0.056353840084407004,0.017342322521275953
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,4,poly2,classical,4000,0.9717659612112415,0.9996936234147621,0.9999999999999936,1.1619701504844444,0.968295451107532,0.9997220304515905,0.999999999999996,1.1781545984761044,0.9712350822167111,0.03900739512348922,0.9736242981997898,0.03395312514280083,0.9693849039882181,0.04073923338316533,0.9956457596432112,0.06938262923466433,0.06904181268142998,0.06101271505224742,0.00802909762918256
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,4,poly3,classical,4000,0.9587404541552406,0.9992995684833642,0.9999998472237975,1.2280005534678828,0.953811848360916,0.99929203990872,0.9999998052270606,1.2505828655373283,0.9577791525682001,0.053587635542203235,0.9611568947122675,0.04755426764641304,0.9550928547763462,0.05668105047804493,0.9936908948275956,0.06974026567032367,0.07006428152137825,0.06113485287884832,0.008929428642529935
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,4,laplacian_med,classical,4000,0.4071331002798352,0.7155468804324225,0.8989724861454613,14.294385288522877,0.39384113528182435,0.706898462066489,0.8876303115514127,15.18911152305262,0.3945278117705435,0.20914487319781908,0.40637226416946054,0.20864284450164433,0.3850438220577457,0.20988197052383797,0.9475150151910449,0.07908151647500873,0.08992669639152345,0.0811488716374569,0.008777824754066549
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,4,matern15_med,classical,4000,0.5159819135700257,0.8681814456269474,0.9775231269260097,6.1107567946532875,0.498034568526263,0.8642491148289995,0.9733647660666472,6.436546300724986,0.4950624592430039,0.25798935818874136,0.509604016268372,0.2542558040917496,0.48334804351093896,0.2618877893699475,0.9484776965658647,0.07089490291664133,0.08591207165975216,0.0654263389421833,0.020485732717568858
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,4,matern25_med,classical,4000,0.5454576213323488,0.8997675578958102,0.9880425393114347,5.1045768284538084,0.5257458060703045,0.8960674829282291,0.9850145820824175,5.374512498244668,0.5229240795851515,0.2669168021470671,0.5383861584685464,0.2620820761685413,0.5103332077697411,0.27169732551313186,0.9478943686468414,0.06991520600849599,0.08559287172903277,0.06294816452173803,0.022644707207294737
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,6,linear,classical,4000,0.9860756801480156,0.9994681717070821,0.9999999999999951,1.092473633869511,0.9847857644899909,0.9994134358188099,0.9999999999999973,1.0991558484567643,0.9858583411566816,0.022635676531968466,0.986913237939589,0.017908918026590736,0.9852001105472117,0.021593712794745434,0.9982641560306215,0.07292382275067846,0.0679173853329674,0.06603588648714243,0.0018814988458249748
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,6,rbf_gscale,classical,4000,0.8570138650581746,0.9799446910127603,0.9994655298350384,1.8789080189656262,0.8428975091047909,0.9766829243659423,0.9993785110142676,1.9664416150690696,0.8529050158269614,0.11950327751343534,0.8619162527453824,0.11012218950977312,0.8447455808754982,0.12757180094160586,0.980078491599164,0.06798099734868655,0.07265964442128262,0.05798583810632654,0.014673806314956073
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,6,poly2,classical,4000,0.9768555021103179,0.9985684835959986,0.9999988615897875,1.1479630005155244,0.9745835076439447,0.9983154864791197,0.9999988607455864,1.1596379447315937,0.9765069217571479,0.030104194165333806,0.9781747592700839,0.024914801000314752,0.9753032364690546,0.030563438987280915,0.9970644071789666,0.07247046771287192,0.06836292556188386,0.06484863780414199,0.003514287757741874
