family,model,dim,cfg,kernel,split,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc__d4,linear,id_val,100.0,0.8169162479061975,0.40955114364624023,0.8688888888888889,0.8690660200791115,0.8680909203825612,0.8783505154639175,0.925900868646265,0.9332653810962117,,,,
classical_ext,svc,4,linear__svc__d4,linear,id_test,100.0,0.8169162479061975,0.40955114364624023,0.86,0.860107951150376,0.8596944456817068,0.8662420382165605,0.9003748166657612,0.9116175658399801,,,,
classical_ext,svc,4,linear__svc__d4,linear,ood_test,100.0,0.8169162479061975,0.40955114364624023,0.6533333333333333,0.6474642044694232,0.6467351306060984,0.5984555984555985,0.5274407620520292,0.4949499291881249,,,,
classical_ext,gpc,4,linear__gpc__d4,linear,id_val,,,27.630269050598145,0.8355555555555556,0.8352337542407617,0.8319404069767442,0.8072916666666666,0.9110810423755179,0.9201927429618415,0.4303524136900503,0.1304847506764433,0.19578178142006805,0.5540832524409642
classical_ext,gpc,4,linear__gpc__d4,linear,id_test,,,27.630269050598145,0.8122222222222222,0.811863268460585,0.807075423235425,0.7755644090305445,0.8785179186070056,0.8969951485707013,0.45887286983050307,0.1423894319232716,0.2110080146310046,0.55257287213333
classical_ext,gpc,4,linear__gpc__d4,linear,ood_test,,,27.630269050598145,0.6577777777777778,0.6502520183772693,0.6482662010719507,0.5904255319148937,0.5123716986088189,0.4967760621751534,0.7876248328249844,0.26914441919453697,0.33506281635000296,0.5005375644460304
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,100.0,0.8966178904472611,0.2525515556335449,0.8788888888888889,0.8790932300900252,0.8778998778998779,0.8888888888888888,0.9551010128445079,0.9447913475368683,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,100.0,0.8966178904472611,0.2525515556335449,0.8866666666666667,0.8868438856488181,0.885976897279841,0.8948453608247423,0.9565034889061181,0.9404701212094891,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,100.0,0.8966178904472611,0.2525515556335449,0.91,0.9148267094874882,0.9099411838101674,0.9122426868905742,0.9837724449995291,0.9795995829624253,,,,
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_val,,,41.24801778793335,0.8744444444444445,0.8746635785855732,0.8732601307775996,0.8855116514690983,0.9633183373745056,0.9618127386774018,0.2448889729576961,0.07762033691940924,0.05342503556599682,0.30364145449526353
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_test,,,41.24801778793335,0.8788888888888889,0.8790882917940335,0.8779484895347984,0.8886618998978549,0.9558862019071699,0.9531616695243895,0.26038283126027123,0.08098740250425615,0.0421138541357262,0.2987308745126472
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,ood_test,,,41.24801778793335,0.8977777777777778,0.9030955885632723,0.8976563552560507,0.9011815252416756,0.8810012340722899,0.7338486273669387,0.3147065820274338,0.09173711532235214,0.06825536477793255,0.2953687503722438
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,10.0,0.8930552763819095,0.2368180751800537,0.8733333333333333,0.8736141906873613,0.8713408639473526,0.8873517786561265,0.9323009002513594,0.8602720446647458,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,10.0,0.8930552763819095,0.2368180751800537,0.8777777777777778,0.878024089007847,0.8763112259431581,0.8897795591182365,0.9196341710329433,0.8303820367747127,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,10.0,0.8930552763819095,0.2368180751800537,0.9033333333333333,0.9088050314465409,0.9032031954071585,0.9067524115755627,0.9544842915979006,0.9358153074780935,,,,
