dim,kernel,family,representation,spec_train_eff_rank,kta_train
4,linear,classical_ext_plain,plain,3.5249438012063656,0.22574480828434085
4,rbf_gscale,classical_ext_plain,plain,7.949693570241679,0.2724918452581883
4,poly2,classical_ext_plain,plain,5.561949427558162,0.2562049595831048
4,poly3,classical_ext_plain,plain,6.867600714164564,0.2726993250347153
4,laplacian_med,classical_ext_plain,plain,11.062568755893203,0.25339825556960016
4,matern15_med,classical_ext_plain,plain,4.8519798516564565,0.25665489520303314
4,matern25_med,classical_ext_plain,plain,4.15756771823177,0.250829675820999
6,linear,classical_ext_plain,plain,4.890266697395941,0.20951026167204803
6,rbf_gscale,classical_ext_plain,plain,10.986529734254228,0.23547399991997253
6,poly2,classical_ext_plain,plain,6.994402855090712,0.2278011480394154
6,poly3,classical_ext_plain,plain,9.406046884097458,0.24050810700828204
6,laplacian_med,classical_ext_plain,plain,14.914493623618746,0.24152688544907297
6,matern15_med,classical_ext_plain,plain,6.674389944131231,0.22918349206678063
6,matern25_med,classical_ext_plain,plain,5.4915405536256126,0.22416760273357955
8,linear,classical_ext_plain,plain,6.7153629582581,0.19623892967081133
8,rbf_gscale,classical_ext_plain,plain,18.172229560080222,0.21274154707806348
8,poly2,classical_ext_plain,plain,9.438992926285362,0.20819760224380104
8,poly3,classical_ext_plain,plain,14.101717437186585,0.21707240792149515
8,laplacian_med,classical_ext_plain,plain,19.87576822388902,0.23744089900271972
8,matern15_med,classical_ext_plain,plain,8.933730549247231,0.21211884242509074
8,matern25_med,classical_ext_plain,plain,6.994290132982602,0.2069629813590602
10,linear,classical_ext_plain,plain,8.30891951296238,0.2062234427360398
10,rbf_gscale,classical_ext_plain,plain,23.816311284182945,0.2154368624070495
10,poly2,classical_ext_plain,plain,11.305113840325959,0.20905863340723094
10,poly3,classical_ext_plain,plain,17.892379208115486,0.22109622112205646
10,laplacian_med,classical_ext_plain,plain,24.263569432836054,0.2385896365185006
10,matern15_med,classical_ext_plain,plain,10.840826918128018,0.21121788872177286
10,matern25_med,classical_ext_plain,plain,8.357278727166442,0.20399710917161573
12,linear,classical_ext_plain,plain,10.09142580765557,0.19458649221055305
12,rbf_gscale,classical_ext_plain,plain,28.01416492848874,0.19265176659661537
12,poly2,classical_ext_plain,plain,12.900196089320191,0.1947916637644485
12,poly3,classical_ext_plain,plain,21.374838756361353,0.2036002749606697
12,laplacian_med,classical_ext_plain,plain,29.28197576005533,0.23475850286455238
12,matern15_med,classical_ext_plain,plain,12.608861064217384,0.19182741112309604
12,matern25_med,classical_ext_plain,plain,9.571715746536052,0.18630118618836078
