family,kernel,dim,spec_train_eff_rank,kta_train,kta_id,kta_ood,kta_survival
classical_ext,linear,4,1.9011556633382498,0.2200263336138319,0.23840111994136512,0.00657284833663962,-0.2318282716047255
classical_ext,rbf_gscale,4,6.426071216403502,0.29989409670658734,0.31098656105533645,0.18105240253740726,-0.1299341585179292
classical_ext,poly2,4,2.345390306505978,0.24764706572935433,0.2638135179971421,0.04658746835208431,-0.21722604964505776
classical_ext,poly3,4,2.8960223406389227,0.251512035583507,0.2667073313551774,0.05230333195520991,-0.21440399939996746
classical_ext,laplacian_med,4,9.955400227556156,0.30753748231199624,0.3082495424862349,0.24497336713845458,-0.0632761753477803
classical_ext,matern15_med,4,4.501837790451277,0.2907979495840635,0.29891226311274804,0.1671734388392091,-0.13173882427353895
classical_ext,matern25_med,4,3.882197400434158,0.2821968605932969,0.2907240327861414,0.14986621392754365,-0.14085781885859774
classical_ext,rbf_gscale_x0.1,4,1.8048554158550019,0.2511395313265894,0.25738701874637293,0.1082730239585936,-0.1491139947877793
classical_ext,rbf_gscale_x0.3,4,3.1495559058567304,0.26769523369559356,0.2755961926697008,0.12752751151239092,-0.1480686811573099
classical_ext,rbf_gscale_x3,4,11.319458085152537,0.3240399230001827,0.3257587853350658,0.27358126350357587,-0.05217752183148994
classical_ext,rbf_gscale_x10,4,20.790420765192405,0.3042641684941465,0.2999795636760748,0.34017036961788083,0.04019080594180602
classical_ext,laplacian_med_x0.1,4,133.78801903614794,0.25472433334656014,0.25817461077630954,0.3129570248984984,0.05478241412218887
classical_ext,laplacian_med_x0.3,4,38.54781907152834,0.31363727282076853,0.3150063623923565,0.3101023916111204,-0.004903970781236111
classical_ext,laplacian_med_x3,4,3.3541778933759674,0.2915122216845412,0.2890378199665509,0.21187080223111535,-0.07716701773543558
classical_ext,laplacian_med_x10,4,1.6468112511722046,0.2835027910830983,0.2795535429065698,0.1987193399345608,-0.080834202972009
classical_ext,matern15_med_x0.1,4,64.48125763629886,0.25661583201702665,0.26056620447188805,0.32429948489022964,0.06373328041834159
classical_ext,matern15_med_x0.3,4,16.81389914518513,0.3218811073971996,0.32210412423186385,0.2944572629219259,-0.02764686130993793
classical_ext,matern15_med_x3,4,1.6219328627935987,0.2603151525430775,0.2667962646817736,0.12018857665571965,-0.14660768802605395
classical_ext,matern15_med_x10,4,1.086757041602494,0.24702677081541083,0.25285407244843133,0.10422211544327147,-0.14863195700515985
classical_ext,matern25_med_x0.1,4,53.76615510842359,0.2558529364829677,0.2600276748088379,0.32548767242609716,0.06545999761725924
classical_ext,matern25_med_x0.3,4,14.401986666299202,0.32337244003001664,0.3234719861098846,0.29162960284849077,-0.031842383261393825
classical_ext,matern25_med_x3,4,1.4520778187937529,0.2508828236098767,0.2570449769301095,0.10814565205840891,-0.1488993248717006
classical_ext,matern25_med_x10,4,1.0564531924959166,0.2422639823489107,0.2479255742166875,0.09886975294301702,-0.1490558212736705
quantum,zz_r1_full__as0.5,4,19.921072037965413,0.2505516710000861,0.24929658343047922,0.2763050947835403,0.027008511353061093
quantum,zz_r2_full__as0.5,4,26.87026750760937,0.16484208935081168,0.14442351741092913,0.3369798267824076,0.1925563093714785
quantum,pauli_xz_r1_full__as0.5,4,5.40978770763158,0.28680617405501824,0.2996873525511992,0.15478588496681978,-0.14490146758437944
quantum,zmap_r2__as0.5,4,6.9698072012184005,0.31764705997613435,0.3301540299465594,0.2031566649911865,-0.1269973649553729
quantum,zz_r1_full,4,36.312994286110886,0.25963525237115803,0.26269567894534923,0.28752566140987096,0.024829982464521727
quantum,zz_r2_full,4,48.05064170219795,0.17610941350951118,0.19824341999963063,0.24072827332948157,0.04248485332985094
quantum,pauli_xz_r1_full,4,10.564796908195664,0.32734349046303507,0.33057547287481637,0.255325341092292,-0.07525013178252438
quantum,zmap_r2,4,10.272079709158108,0.22259191116191857,0.20485933142598078,0.37077263852670594,0.16591330710072516
quantum,zz_r1_full__as2,4,65.40845795700054,0.20539952534625053,0.20675449470688398,0.2856913128900729,0.0789368181831889
quantum,zz_r2_full__as2,4,89.34648918936144,0.13328453646863384,0.16337867910723525,0.2182548594199845,0.05487618031274924
quantum,pauli_xz_r1_full__as2,4,15.441611822395805,0.20535057247328461,0.22688912822054003,0.44354335658406846,0.21665422836352843
quantum,zmap_r2__as2,4,15.071875429075467,0.24130368793863313,0.24433678556844282,0.4819933701144871,0.2376565845460443
classical_ext,linear,6,1.7801064999187528,0.2295850406284795,0.25511863702883103,0.04737610363336044,-0.20774253339547058
classical_ext,rbf_gscale,6,7.12619197807572,0.290366531134366,0.29879974017293753,0.17267205016444065,-0.12612769000849688
classical_ext,poly2,6,2.1294134503584363,0.24336621721108453,0.26340178824860283,0.07035152032324003,-0.19305026792536278
classical_ext,poly3,6,2.6355353714849503,0.2463102233058059,0.2652968438945787,0.07526411062411645,-0.19003273327046225
classical_ext,laplacian_med,6,12.910803413545233,0.29672145274066464,0.2961362220833439,0.2416486236674809,-0.05448759841586298
classical_ext,matern15_med,6,5.112349510372241,0.28485752175323326,0.29159351269728456,0.16490212439589624,-0.12669138830138832
classical_ext,matern25_med,6,4.322790066810008,0.27660057948485367,0.28355799885792543,0.14832843620341807,-0.13522956265450736
classical_ext,rbf_gscale_x0.1,6,1.7916234106134508,0.2473693728271519,0.25271046997322455,0.10686356070293797,-0.1458469092702866
classical_ext,rbf_gscale_x0.3,6,3.20466480478987,0.26071185813704695,0.26718225122865974,0.12367328916170521,-0.14350896206695452
classical_ext,rbf_gscale_x3,6,13.967256940384924,0.315777354836268,0.3187633012433082,0.2599102735748912,-0.05885302766841699
classical_ext,rbf_gscale_x10,6,29.889761757068054,0.292562871246316,0.2950160671228419,0.32651409023953276,0.031498023116690865
classical_ext,laplacian_med_x0.1,6,212.81562451340363,0.22875476506510892,0.24341218450784274,0.28664996818567706,0.04323778367783432
classical_ext,laplacian_med_x0.3,6,59.621878588386856,0.2973582864361873,0.3008259328289721,0.2993967874301559,-0.0014291453988161673
classical_ext,laplacian_med_x3,6,3.7854434306532174,0.28430640953046526,0.2800869460846648,0.21166552409422912,-0.06842142199043566
classical_ext,laplacian_med_x10,6,1.720501028322755,0.2779986385233976,0.27211797632133405,0.19945229260092112,-0.07266568372041293
classical_ext,matern15_med_x0.1,6,110.27736832891391,0.23511299741335318,0.25147343756633045,0.2979178713398338,0.046444433773503324
classical_ext,matern15_med_x0.3,6,24.041138053175352,0.31293364876995905,0.31578307419513796,0.2865858852009246,-0.029197188994213363
classical_ext,matern15_med_x3,6,1.6700484673199867,0.2568156148694102,0.26231185328111695,0.11940902427030084,-0.1429028290108161
classical_ext,matern15_med_x10,6,1.0909417734083833,0.24491161033992015,0.24992108047524492,0.10342824583056559,-0.14649283464467933
classical_ext,matern25_med_x0.1,6,94.38074962328797,0.2336623345369071,0.2508583128172663,0.29862129524775355,0.047762982430487266
classical_ext,matern25_med_x0.3,6,20.071570133538856,0.31461557085104824,0.31682469727567925,0.28475100160247746,-0.032073695673201785
classical_ext,matern25_med_x3,6,1.483397671040463,0.2481464964151857,0.2534361807974076,0.10768913032142667,-0.1457470504759809
classical_ext,matern25_med_x10,6,1.0590267877600223,0.24063553872966717,0.2455351329769434,0.09783192767665673,-0.1477032053002867
quantum,zz_r1_full__as0.5,6,52.275380871648395,0.24589376946133973,0.25365463369735763,0.2871886000267962,0.03353396632943856
quantum,zz_r2_full__as0.5,6,91.58234922048928,0.22080047050498036,0.23822674261882348,0.27863647056585805,0.04040972794703457
quantum,pauli_xz_r1_full__as0.5,6,6.55225218652775,0.28278561866127583,0.29304613575230554,0.1576769838885117,-0.13536915186379384
quantum,zmap_r2__as0.5,6,8.869459045523106,0.314240783478334,0.3229054250341929,0.21039267337383596,-0.11251275166035693
quantum,zz_r1_full,6,100.688821100124,0.23116702724071922,0.23941079431249002,0.2810941283251428,0.041683334012652784
quantum,zz_r2_full,6,166.17181838192693,0.18499369060922435,0.21277878144171566,0.2592748254896162,0.04649604404790056
quantum,pauli_xz_r1_full,6,14.784685676040061,0.32069897890869364,0.32544368312139865,0.266258330679495,-0.05918535244190365
quantum,zmap_r2,6,16.640200880876506,0.22395950062231396,0.2210588892696842,0.32665617336780345,0.10559728409811925
quantum,zz_r1_full__as2,6,184.19249464720767,0.20867930642950655,0.23066628906402226,0.24659988582552278,0.015933596761500524
quantum,zz_r2_full__as2,6,262.3553825227175,0.1481596526087121,0.1768582313956414,0.19229312540215052,0.015434894006509103
quantum,pauli_xz_r1_full__as2,6,33.513678309758376,0.22811389608452967,0.2458937041556859,0.34162081719676796,0.09572711304108206
quantum,zmap_r2__as2,6,37.208913661245134,0.23047727402802362,0.2522684874165627,0.3875185774053168,0.1352500899887541
classical_ext,linear,8,1.86261036761081,0.23486295081601,0.2464869879510795,0.12087610878710599,-0.1256108791639735
classical_ext,rbf_gscale,8,8.192835909798664,0.2875212040931475,0.28347860588987184,0.20638793861664476,-0.07709066727322708
classical_ext,poly2,8,2.2228280598317873,0.24645360719889542,0.25448892660523814,0.14067587118837271,-0.11381305541686543
classical_ext,poly3,8,2.8204263138813674,0.2501726846519534,0.25628065760327673,0.1448990296771077,-0.11138162792616904
classical_ext,laplacian_med,8,15.700450384966516,0.29401655318713477,0.28792609177962514,0.2612457186085545,-0.026680373171070637
classical_ext,matern15_med,8,6.166470425325092,0.2851433478346694,0.28240368924752435,0.2074075864030614,-0.07499610284446295
classical_ext,matern25_med,8,5.066856980100857,0.2771109467482071,0.27361285295975546,0.195703193946265,-0.07790965901349045
classical_ext,rbf_gscale_x0.1,8,1.7489420929980337,0.24460273990785852,0.24429703903358332,0.16725163971247517,-0.07704539932110815
classical_ext,rbf_gscale_x0.3,8,3.216184298689857,0.25795271901895583,0.25533706936191364,0.17474814350207368,-0.08058892585983995
classical_ext,rbf_gscale_x3,8,18.83434493629625,0.3110356701683572,0.31234518053057103,0.26594211201861356,-0.04640306851195747
classical_ext,rbf_gscale_x10,8,44.12212224069754,0.2807331564071375,0.2975832005065941,0.2917869548319226,-0.0057962456746715185
classical_ext,laplacian_med_x0.1,8,261.5128329173737,0.21260479739374355,0.2406288784101358,0.266418886266298,0.0257900078561622
classical_ext,laplacian_med_x0.3,8,81.58516424494972,0.29233839742512235,0.29724556924958445,0.29730613837914843,6.056912956398097e-05
classical_ext,laplacian_med_x3,8,4.09978025367609,0.2801318380884457,0.2722683766398717,0.24024197673225275,-0.032026399907618935
classical_ext,laplacian_med_x10,8,1.7644741314067118,0.27320997807103997,0.26517414943342027,0.23164035931449029,-0.033533790118929985
classical_ext,matern15_med_x0.1,8,151.65347720482413,0.21560172168442698,0.2487473550475792,0.26730327164453493,0.01855591659695574
classical_ext,matern15_med_x0.3,8,37.13701325750598,0.3056906929980979,0.3132930396390314,0.28067338249464124,-0.032619657144390135
classical_ext,matern15_med_x3,8,1.730446456344638,0.2558053402181253,0.2542546730400335,0.1771998241373053,-0.0770548489027282
classical_ext,matern15_med_x10,8,1.094824280414319,0.2427535645161121,0.2431141097654644,0.1669212022604119,-0.0761929075050525
classical_ext,matern25_med_x0.1,8,134.32074266633632,0.21436214604371012,0.2488258997191791,0.2671522397413845,0.01832634002220543
classical_ext,matern25_med_x0.3,8,31.23727859645865,0.3075230055124799,0.3141539573490949,0.28057411185975595,-0.033579845489338955
classical_ext,matern25_med_x3,8,1.5183578766836046,0.24653154798551238,0.24598254722524962,0.16897508132955022,-0.0770074658956994
classical_ext,matern25_med_x10,8,1.0611267715214403,0.23801602448042253,0.23919453288152218,0.1630925799273878,-0.07610195295413438
quantum,zz_r1_full__as0.5,8,116.60823388373241,0.22812013488673888,0.2569709253364205,0.2641631309496631,0.007192205613242575
quantum,zz_r2_full__as0.5,8,190.85913195111038,0.18250144946145638,0.2220326847827127,0.24452802031909807,0.022495335536385358
quantum,pauli_xz_r1_full__as0.5,8,9.373119450725822,0.2899329866759871,0.28672532591709965,0.20997986114357906,-0.0767454647735206
quantum,zmap_r2__as0.5,8,13.545037890308354,0.31497738661949426,0.31483700402025233,0.24364070958634054,-0.07119629443391179
quantum,zz_r1_full,8,195.89745924443204,0.20028307521591943,0.23170592523281064,0.24998460613643028,0.018278680903619643
quantum,zz_r2_full,8,285.33044645285867,0.15485473702121993,0.19133677239295543,0.21590850750734644,0.024571735114391008
quantum,pauli_xz_r1_full,8,24.680713564731157,0.31175518012894665,0.3200756913492986,0.26602495760570094,-0.054050733743597645
quantum,zmap_r2,8,27.09542339888265,0.22977107922928308,0.23878665379457428,0.29568162686956295,0.05689497307498867
quantum,zz_r1_full__as2,8,290.5641237306518,0.1791442278507577,0.21175785311375075,0.226596343223256,0.014838490109505248
quantum,zz_r2_full__as2,8,382.0962219261496,0.12941983523408276,0.16255429289724743,0.1854085167820845,0.02285422388483707
quantum,pauli_xz_r1_full__as2,8,58.654807752166654,0.23248600651614076,0.26556336578526324,0.297485210330418,0.03192184454515479
quantum,zmap_r2__as2,8,65.57117282425058,0.23453938793764081,0.2642517504905831,0.32879956487396134,0.06454781438337825
classical_ext,linear,10,1.7635681227111455,0.24124812214758065,0.24829371139505713,0.13683344375355777,-0.11146026764149936
classical_ext,rbf_gscale,10,9.118559125395786,0.27964978478148883,0.27304706976382265,0.22513967664972426,-0.04790739311409839
classical_ext,poly2,10,2.1052171294778503,0.24692990169210471,0.25078961815933976,0.15672590815924917,-0.09406371000009059
classical_ext,poly3,10,2.6694846152525886,0.24996152195626867,0.2521094789723423,0.16067003965392465,-0.09143943931841766
classical_ext,laplacian_med,10,18.53795474772431,0.28929796737486096,0.2825180383843342,0.2739858280783623,-0.008532210305971899
classical_ext,matern15_med,10,7.102897537462634,0.2800169233609901,0.2759170607383706,0.22717654700216597,-0.04874051373620461
classical_ext,matern25_med,10,5.736658146224966,0.27244339751716906,0.2670922363301506,0.2171720153194377,-0.04992022101071292
classical_ext,rbf_gscale_x0.1,10,1.741214469905056,0.241899549709641,0.24073588846670502,0.18655735103212326,-0.05417853743458176
classical_ext,rbf_gscale_x0.3,10,3.2723661461319904,0.2533733772344373,0.24933977041307281,0.19533344741553046,-0.05400632299754235
classical_ext,rbf_gscale_x3,10,23.362835132671805,0.30146725586293066,0.3041363576395845,0.2697179773074227,-0.034418380332161824
classical_ext,rbf_gscale_x10,10,56.94456267347359,0.27076028686500564,0.2962665023392276,0.27983889036867976,-0.016427611970547817
classical_ext,laplacian_med_x0.1,10,295.1571736631919,0.20670373456805635,0.23787480099817898,0.2646823266070837,0.026807525608904703
classical_ext,laplacian_med_x0.3,10,101.33141798761048,0.28258735848588995,0.29050191522247704,0.2979860767525245,0.0074841615300474396
classical_ext,laplacian_med_x3,10,4.4343846756327805,0.2777804660656633,0.26948569193757066,0.254914373855518,-0.014571318082052642
classical_ext,laplacian_med_x10,10,1.8140789087562557,0.27180779617761885,0.26374623806820235,0.24630508148153166,-0.017441156586670697
classical_ext,matern15_med_x0.1,10,180.59337456617868,0.20898217689919038,0.2460786546735148,0.2648396334628536,0.0187609787893388
classical_ext,matern15_med_x0.3,10,49.317478987227,0.29521486300128424,0.3083599950109141,0.27997928089191537,-0.02838071411899873
classical_ext,matern15_med_x3,10,1.7847547120802056,0.25287170068277376,0.250135029489225,0.1974308274261703,-0.052704202063054706
classical_ext,matern15_med_x10,10,1.0989845721076466,0.24079399182075573,0.24033883935871073,0.18377232747230446,-0.05656651188640627
classical_ext,matern25_med_x0.1,10,162.51508878484472,0.2081145559576607,0.24640930686229218,0.2651532083779742,0.018743901515682004
classical_ext,matern25_med_x0.3,10,41.99950420443224,0.29681525886777965,0.3091627387555149,0.279163875170173,-0.02999886358534193
classical_ext,matern25_med_x3,10,1.5518418934297922,0.24424500903478502,0.2426466044580793,0.18872399032001635,-0.05392261413806296
classical_ext,matern25_med_x10,10,1.063591423152447,0.23639778543515633,0.2368918871723124,0.17680453272951993,-0.06008735444279248
quantum,zz_r1_full__as0.5,10,166.26113457722624,0.21536814357704595,0.2482423154068981,0.26359836652150753,0.015356051114609442
quantum,zz_r2_full__as0.5,10,248.10693772308068,0.17328990089648996,0.20950513707272111,0.24317135398128836,0.03366621690856725
quantum,pauli_xz_r1_full__as0.5,10,12.203907411659594,0.28577108810158,0.28075253558703767,0.23582545593392282,-0.04492707965311485
quantum,zmap_r2__as0.5,10,18.616024169715857,0.3084431568870457,0.30902885276050956,0.2629381923554154,-0.046090660405094186
quantum,zz_r1_full,10,246.66644266912084,0.19117068446534666,0.22403905740966046,0.24819204034067555,0.024152982931015088
quantum,zz_r2_full,10,337.9438189952381,0.14711348403930136,0.18312916029434145,0.2106566904339005,0.027527530139559053
quantum,pauli_xz_r1_full,10,35.93543725530201,0.29928273140768846,0.3146996850001423,0.2651097906120893,-0.049589894388053
quantum,zmap_r2,10,40.807198765033185,0.22533637276663,0.2361384679633618,0.2854362613543267,0.049297793390964906
quantum,zz_r1_full__as2,10,335.48051736565725,0.17153561150402488,0.2038162426575419,0.22551192978824014,0.02169568713069825
quantum,zz_r2_full__as2,10,431.4591350915902,0.1258598067353823,0.15906713201617337,0.17748997749151602,0.018422845475342647
quantum,pauli_xz_r1_full__as2,10,86.2811016404787,0.22819289112022623,0.2647841552919695,0.27771065205121553,0.012926496759246009
quantum,zmap_r2__as2,10,100.49729967777613,0.22327940639044283,0.2557284779526642,0.3027742457854115,0.04704576783274733
classical_ext,linear,12,1.7239589700287956,0.24169409306341177,0.246536024769873,0.1495874051026132,-0.09694861966725979
classical_ext,rbf_gscale,12,10.059111127300806,0.2740020955884395,0.2678664553837471,0.2304673522832857,-0.037399103100461406
classical_ext,poly2,12,2.0381346710256953,0.24532303192826269,0.24794694787430369,0.16612214530017663,-0.08182480257412705
classical_ext,poly3,12,2.5758949185599103,0.24781867370727806,0.2490139127218582,0.16956808316268002,-0.07944582955917817
classical_ext,laplacian_med,12,21.07926361050999,0.2821806818978783,0.2755364610334936,0.2922262972718112,0.0166898362383176
classical_ext,matern15_med,12,7.788276312271065,0.27463118142758275,0.27112050040904134,0.2353125117548908,-0.03580798865415055
classical_ext,matern25_med,12,6.228327866154228,0.26836824016821753,0.2634864794362699,0.222733816913839,-0.0407526625224309
classical_ext,rbf_gscale_x0.1,12,1.7756875592246812,0.2410811827449264,0.24066136376906894,0.18879700504616906,-0.05186435872289988
classical_ext,rbf_gscale_x0.3,12,3.4306637617849414,0.2517094812137511,0.24815183534997354,0.1978008282481871,-0.050351007101786444
classical_ext,rbf_gscale_x3,12,27.17133964292547,0.2870065232946682,0.29185332280037485,0.2905878364787218,-0.0012654863216530754
classical_ext,rbf_gscale_x10,12,69.57547153376812,0.25381528947564647,0.27942206799458236,0.31918508890726155,0.03976302091267919
classical_ext,laplacian_med_x0.1,12,344.4027569790964,0.19216343423027024,0.22268349071179905,0.27106743895361257,0.048383948241813524
classical_ext,laplacian_med_x0.3,12,120.85901220784133,0.2672525118891745,0.2758046334562404,0.3193146847041093,0.043510051247868886
classical_ext,laplacian_med_x3,12,4.732688428227204,0.2745660081409001,0.26691638188222333,0.2718609711577862,0.0049445892755628496
classical_ext,laplacian_med_x10,12,1.8590461285067688,0.26984147785551255,0.26289042118771916,0.26249149997967075,-0.00039892120804840836
classical_ext,matern15_med_x0.1,12,223.15340264735065,0.19399238768715643,0.22916235519195655,0.2819509618521663,0.052788606660209736
classical_ext,matern15_med_x0.3,12,59.744291694191396,0.2802478040976534,0.29440993133182525,0.3097882386851965,0.015378307353371257
classical_ext,matern15_med_x3,12,1.828665162545422,0.251125942139353,0.24899681809442165,0.20078972944465673,-0.04820708864976492
classical_ext,matern15_med_x10,12,1.1027963918156165,0.23997154964018555,0.2403366453582179,0.1827495744524114,-0.057587070905806476
classical_ext,matern25_med_x0.1,12,202.06213778298132,0.19323081630992314,0.2293230785928038,0.28376852358678195,0.05444544499397816
classical_ext,matern25_med_x0.3,12,50.72315834750101,0.28111003581317145,0.2950161783081215,0.3096379527228393,0.014621774414717792
classical_ext,matern25_med_x3,12,1.580500891264109,0.24329850340417006,0.2423920590117807,0.1910334987353308,-0.051358560276449916
classical_ext,matern25_med_x10,12,1.0659573695816271,0.23584898031219204,0.23725327588824863,0.17234464092873242,-0.06490863495951621
quantum,zz_r1_full__as0.5,12,231.46358602571544,0.19372014298866383,0.2248242431720604,0.2725604779094032,0.047736234737342786
quantum,zz_r2_full__as0.5,12,342.5002650492827,0.14495635227145734,0.17986151171647766,0.21570659632928088,0.035845084612803224
