family,model,dim,cfg,kernel,split,svc_c,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc_C0.01__d4,linear,id_test,0.01,0.12254142761230469,0.483,0.5,0.3256911665542819,0.6513823331085637,0.7254105746242656,0.68932454309549,,,,
classical_ext,svc,4,linear__svc_C0.01__d4,linear,ood_test,0.01,0.12254142761230469,0.49,0.5038910505836576,0.33565723039407247,0.6558704453441295,0.7426222158172006,0.6992098631883246,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,id_test,0.1,0.09708476066589355,0.656,0.6583931024264049,0.6552055936878568,0.6717557251908397,0.7277773105710201,0.6954077551617933,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,ood_test,0.1,0.09708476066589355,0.71,0.711790043394021,0.7094374709437471,0.7222222222222222,0.7414613056636404,0.6937966750585391,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,id_test,10.0,0.14439821243286133,0.657,0.6589517482209434,0.6565793096543266,0.6685990338164252,0.7322905278501949,0.694900569113744,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,ood_test,10.0,0.14439821243286133,0.708,0.7099005620406399,0.7073256783629482,0.7213740458015268,0.7282909801284205,0.649518862382211,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,id_test,100.0,0.11481070518493652,0.657,0.6589517482209434,0.6565793096543266,0.6685990338164252,0.7312853658829607,0.6939587391336328,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,ood_test,100.0,0.11481070518493652,0.708,0.7098445181021922,0.707380817810487,0.7208413001912046,0.7276184528670477,0.6487556678084696,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,id_test,0.01,0.14037728309631348,0.653,0.6563767715479094,0.6509303661408491,0.6778087279480037,0.7259712227334798,0.6894984903447869,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,ood_test,0.01,0.14037728309631348,0.704,0.7062336872107733,0.7029305499799277,0.720754716981132,0.7356587564650687,0.7101326321659797,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.1__d4,rbf_gscale,id_test,0.1,0.12803077697753906,0.657,0.6592240630168476,0.656364618179013,0.6711409395973155,0.7316618010420045,0.6844606555215089,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.1__d4,rbf_gscale,ood_test,0.1,0.12803077697753906,0.707,0.7089277993947254,0.7062948138480492,0.7206863679694948,0.7427563209556294,0.6923110508007808,,,,
classical_ext,svc,4,rbf_gscale__svc_C10__d4,rbf_gscale,id_test,10.0,0.14553070068359375,0.657,0.6590198269199194,0.6565297892815264,0.6692381870781099,0.7410005966897735,0.6940894143617692,,,,
classical_ext,svc,4,rbf_gscale__svc_C10__d4,rbf_gscale,ood_test,10.0,0.14553070068359375,0.715,0.7165978126851451,0.7146093001318805,0.7251687560270009,0.8007698035259644,0.7478796153828168,,,,
classical_ext,svc,4,rbf_gscale__svc_C100__d4,rbf_gscale,id_test,100.0,0.2116529941558838,0.685,0.6863714453908718,0.6849089386832794,0.6902654867256637,0.759345803749134,0.7164272560979068,,,,
classical_ext,svc,4,rbf_gscale__svc_C100__d4,rbf_gscale,ood_test,100.0,0.2116529941558838,0.733,0.7343317160653953,0.7328052150017362,0.7400194741966893,0.8131475076459944,0.739438091195284,,,,
classical_ext,svc,4,poly2__svc_C0.01__d4,poly2,id_test,0.01,0.1278369426727295,0.487,0.5038684719535783,0.3342495512997707,0.6531440162271805,0.7249620561368942,0.6889971503505796,,,,
classical_ext,svc,4,poly2__svc_C0.01__d4,poly2,ood_test,0.01,0.1278369426727295,0.497,0.5107003891050583,0.3504439063761098,0.6589830508474577,0.7414452931097981,0.7035362750042325,,,,
classical_ext,svc,4,poly2__svc_C0.1__d4,poly2,id_test,0.1,0.13330578804016113,0.658,0.6602592597042181,0.6573366036646948,0.6724137931034483,0.7269523569246048,0.6924434832506438,,,,
classical_ext,svc,4,poly2__svc_C0.1__d4,poly2,ood_test,0.1,0.13330578804016113,0.711,0.7127628060399354,0.710464649136253,0.7229146692233941,0.7394557332949032,0.6914430665345732,,,,
classical_ext,svc,4,poly2__svc_C10__d4,poly2,id_test,10.0,0.09289288520812988,0.656,0.6579846302325487,0.6555535974623112,0.667953667953668,0.7322825185914917,0.6821999894314886,,,,
classical_ext,svc,4,poly2__svc_C10__d4,poly2,ood_test,10.0,0.09289288520812988,0.709,0.7108172807481066,0.7084095292968261,0.7215311004784689,0.7394717458487454,0.6769700765780825,,,,
classical_ext,svc,4,poly2__svc_C100__d4,poly2,id_test,100.0,0.24582314491271973,0.663,0.6643459839574548,0.6629025788452862,0.6686332350049164,0.7326909907853478,0.6775736331978173,,,,
classical_ext,svc,4,poly2__svc_C100__d4,poly2,ood_test,100.0,0.24582314491271973,0.715,0.7164296808698019,0.7147258515433332,0.7235693501454898,0.7793910425773807,0.7139842487146519,,,,
classical_ext,svc,4,poly3__svc_C0.01__d4,poly3,id_test,0.01,0.05677437782287598,0.558,0.5696745437726011,0.5061584940739019,0.6661631419939577,0.7250261302065188,0.6891334023508189,,,,
classical_ext,svc,4,poly3__svc_C0.01__d4,poly3,ood_test,0.01,0.05677437782287598,0.521,0.5315247153768554,0.4492220692922331,0.6480529022777369,0.7418736289250774,0.7071843721156859,,,,
classical_ext,svc,4,poly3__svc_C0.1__d4,poly3,id_test,0.1,0.06023216247558594,0.66,0.6621934956810073,0.6593991801537913,0.6737044145873321,0.7267240930515676,0.686996580341027,,,,
classical_ext,svc,4,poly3__svc_C0.1__d4,poly3,ood_test,0.1,0.06023216247558594,0.712,0.7137916126242975,0.7114413504544799,0.7241379310344828,0.7339954524347089,0.6855242792113505,,,,
classical_ext,svc,4,poly3__svc_C10__d4,poly3,id_test,10.0,0.0768582820892334,0.662,0.6633788659690603,0.661890452506612,0.6679764243614931,0.7333317314815927,0.6846242422469102,,,,
classical_ext,svc,4,poly3__svc_C10__d4,poly3,ood_test,10.0,0.0768582820892334,0.714,0.7154569182238875,0.713706835799859,0.7228682170542635,0.7504163263998975,0.68300170145696,,,,
classical_ext,svc,4,poly3__svc_C100__d4,poly3,id_test,100.0,0.09850049018859863,0.665,0.6660759838373159,0.6649728628018869,0.66798810703667,0.7356103655826134,0.6851136116202545,,,,
classical_ext,svc,4,poly3__svc_C100__d4,poly3,ood_test,100.0,0.09850049018859863,0.715,0.7161494611775632,0.7148742595484608,0.7208619000979432,0.7974612095883172,0.7203276996385453,,,,
classical_ext,svc,4,laplacian_med__svc_C0.01__d4,laplacian_med,id_test,0.01,0.07031631469726562,0.656,0.658325023727429,0.655270552489067,0.6711281070745698,0.7395589301232224,0.7196004610420964,,,,
