group,scope,n_cells,median_kta_ood,median_null_mean,median_exceed_frac,frac_cells_significant
ember_m1,all,2475,0.1053919240813044,0.0064511829758791,0.0,1.0
ember_m1,classical,1575,0.0816685531769619,0.0052792124754888,0.0,1.0
ember_m1,quantum,900,0.151010975445561,0.00775146400958155,0.0,1.0
ember_m2,all,2475,0.0786321165257136,0.0060081258212335,0.0,1.0
ember_m2,classical,1575,0.0684939686060753,0.0051393024094126,0.0,1.0
ember_m2,quantum,900,0.08954465211298845,0.00755620014340775,0.0,1.0
toniot_scanning_m2_centroid,all,2475,0.2297662533534417,0.004915423694464,0.0,1.0
toniot_scanning_m2_centroid,classical,1575,0.1913200541057849,0.0042838232906923,0.0,1.0
toniot_scanning_m2_centroid,quantum,900,0.2660548178981582,0.00653372894958445,0.0,1.0
toniot_scanning_natural_cur,all,2475,0.4527625407978787,0.0044301324710398,0.0,1.0
toniot_scanning_natural_cur,classical,1575,0.4496463649904393,0.00396700332788,0.0,1.0
toniot_scanning_natural_cur,quantum,900,0.4691981863778374,0.00580774806085095,0.0,1.0
unsw_dos_m2_centroid,all,2475,0.2177425950684235,0.0049746605391884,0.0,0.9987878787878788
unsw_dos_m2_centroid,classical,1575,0.1875325396869429,0.0043357640438667,0.0,0.9980952380952381
unsw_dos_m2_centroid,quantum,900,0.2891514485184731,0.0078723541808518,0.0,1.0
unsw_dos_natural_cur,all,2475,0.2877071752864925,0.0045837804020449,0.0,1.0
unsw_dos_natural_cur,classical,1575,0.2803461335065801,0.0039345024711408,0.0,1.0
unsw_dos_natural_cur,quantum,900,0.3219491918078363,0.0075057409416126,0.0,1.0
unsw_recon_m2_centroid,all,2475,0.2244437930058789,0.0049738499418113,0.0,0.9959595959595959
unsw_recon_m2_centroid,classical,1575,0.1941528820394018,0.0042998669541278,0.0,0.9936507936507937
unsw_recon_m2_centroid,quantum,900,0.29721571618876536,0.00793197598107365,0.0,1.0
unsw_recon_natural_cur,all,2475,0.1605859199301017,0.0045194941588315,0.0,1.0
unsw_recon_natural_cur,classical,1575,0.1366467688257891,0.0039362192346276,0.0,1.0
unsw_recon_natural_cur,quantum,900,0.19198152683203465,0.00741224066250375,0.0,1.0
