task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
diabetes_readmission,q1000,2024,classical_ext,linear,4,linear__d4,svc,train_cv,100.0,0.56217359235581,validation,0.0140013694763183,analytic_cpu,0.568,0.5783333333333334,0.5662232504337767,0.5384615384615384,0.5730666666666666,0.4478346140780232,,,,
diabetes_readmission,q1000,2024,classical_ext,linear,4,linear__d4,svc,train_cv,100.0,0.56217359235581,id_test,0.0140013694763183,analytic_cpu,0.488,0.5118927296004312,0.4879672299027138,0.4838709677419355,0.5562967455023246,0.446734364005339,,,,
diabetes_readmission,q1000,2024,classical_ext,linear,4,linear__d4,svc,train_cv,100.0,0.56217359235581,ood_test,0.0140013694763183,analytic_cpu,0.56,0.5612645058023209,0.5588070141663057,0.5817490494296578,0.5760224089635855,0.552895139923653,,,,
diabetes_readmission,q1000,2024,classical_ext,linear,4,linear__d4,gpc,not_applicable,,,validation,0.2390089035034179,analytic_cpu,0.588,0.4916666666666667,0.3791440626883665,0.019047619047619,0.5928,0.450656580144472,0.6632084537722295,0.2353852430103326,0.0295639051366601,0.6728333051697118
diabetes_readmission,q1000,2024,classical_ext,linear,4,linear__d4,gpc,not_applicable,,,id_test,0.2390089035034179,analytic_cpu,0.612,0.5018866653190486,0.3891533791783168,0.0202020202020202,0.6186914628394313,0.4968556174190949,0.6546390428455638,0.2311414949092949,0.0329913993950737,0.6725082163214071
diabetes_readmission,q1000,2024,classical_ext,linear,4,linear__d4,gpc,not_applicable,,,ood_test,0.2390089035034179,analytic_cpu,0.506,0.4966386554621849,0.359702196714002,0.053639846743295,0.5409043617446978,0.5357819942521265,0.7024095114249682,0.2543938737334314,0.0735132858464019,0.6746490047073241
diabetes_readmission,q1000,2024,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,validation,0.0084056854248046,analytic_cpu,0.532,0.5383333333333333,0.5292811277941389,0.4935064935064935,0.5800666666666667,0.4402747448505205,,,,
diabetes_readmission,q1000,2024,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,id_test,0.0084056854248046,analytic_cpu,0.564,0.573984232868405,0.5609017225543435,0.5240174672489083,0.606293376457112,0.5038875109590073,,,,
diabetes_readmission,q1000,2024,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,ood_test,0.0084056854248046,analytic_cpu,0.528,0.5290116046418567,0.5272435897435896,0.5461538461538461,0.5483953581432572,0.543291293347834,,,,
diabetes_readmission,q1000,2024,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,1.0,0.560339187196015,validation,0.0089967250823974,analytic_cpu,0.548,0.5583333333333333,0.546366920915295,0.5191489361702127,0.5535333333333334,0.432797520981291,,,,
