dim,kernel,family,representation,spec_train_eff_rank,kta_train
4,linear,classical_ext_plain,plain,3.4022626537662704,0.24364252147461068
4,rbf_gscale,classical_ext_plain,plain,7.273049020069909,0.2579154990778289
4,poly2,classical_ext_plain,plain,5.272428623495316,0.25504777964226544
4,poly3,classical_ext_plain,plain,6.41313667048889,0.26069648578048515
4,laplacian_med,classical_ext_plain,plain,9.624686778671231,0.24595929616794307
4,matern15_med,classical_ext_plain,plain,4.66252109323219,0.25347585048027715
4,matern25_med,classical_ext_plain,plain,4.049255774460928,0.24817658310622293
6,linear,classical_ext_plain,plain,5.245618809300023,0.20577252731164705
6,rbf_gscale,classical_ext_plain,plain,12.144872875990135,0.22166393281521884
6,poly2,classical_ext_plain,plain,7.475985514685722,0.21790918090142136
6,poly3,classical_ext_plain,plain,10.080090272848508,0.2264532949425736
6,laplacian_med,classical_ext_plain,plain,14.911450550932825,0.22131713577699008
6,matern15_med,classical_ext_plain,plain,6.810836502395937,0.21800255133519597
6,matern25_med,classical_ext_plain,plain,5.630096219256595,0.2129198126081039
8,linear,classical_ext_plain,plain,6.464472072966814,0.20077005814616905
8,rbf_gscale,classical_ext_plain,plain,14.126091578266436,0.20746305649703112
8,poly2,classical_ext_plain,plain,8.427922306222674,0.20687093860221553
8,poly3,classical_ext_plain,plain,12.027772551430347,0.21400585615138895
8,laplacian_med,classical_ext_plain,plain,18.03218374529709,0.21198814287782872
8,matern15_med,classical_ext_plain,plain,8.33858500676366,0.20640246287806657
8,matern25_med,classical_ext_plain,plain,6.752841909209239,0.20159635519120467
10,linear,classical_ext_plain,plain,7.841638855117435,0.19220310054710613
10,rbf_gscale,classical_ext_plain,plain,17.748589613003904,0.19404365120782574
10,poly2,classical_ext_plain,plain,9.821865662558128,0.19492488553130152
10,poly3,classical_ext_plain,plain,14.745320648348024,0.2002319704744404
10,laplacian_med,classical_ext_plain,plain,21.244905457822174,0.2024448722333185
10,matern15_med,classical_ext_plain,plain,9.88040394022683,0.19563682831718132
10,matern25_med,classical_ext_plain,plain,7.872586075802004,0.19072926824436295
12,linear,classical_ext_plain,plain,9.375415298936309,0.1890114623831728
12,rbf_gscale,classical_ext_plain,plain,22.065493954714547,0.19269594227755427
12,poly2,classical_ext_plain,plain,11.45550548723712,0.1906170242660933
12,poly3,classical_ext_plain,plain,17.963573378306773,0.19901275979797894
12,laplacian_med,classical_ext_plain,plain,24.827186568350648,0.21128750078720768
12,matern15_med,classical_ext_plain,plain,11.502978815099885,0.19329622874302405
12,matern25_med,classical_ext_plain,plain,9.041021472234135,0.18709758831866763
