variant,master_seed,size_tag,model,ood_best_classical_orig_cfg,ood_best_classical_orig_bacc,ood_best_classical_ext_cfg,ood_best_classical_ext_bacc,ood_best_quantum_cfg,ood_best_quantum_bacc,ood_delta_q_vs_orig,ood_delta_q_vs_ext,gpc_ece_id_classical_orig,gpc_ece_ood_classical_orig,gpc_entropy_id_classical_orig,gpc_entropy_ood_classical_orig,gpc_ece_id_classical_ext,gpc_ece_ood_classical_ext,gpc_entropy_id_classical_ext,gpc_entropy_ood_classical_ext,gpc_ece_id_quantum,gpc_ece_ood_quantum,gpc_entropy_id_quantum,gpc_entropy_ood_quantum,id_best_classical_orig_cfg,id_best_classical_orig_bacc,id_best_classical_ext_cfg,id_best_classical_ext_bacc,id_best_quantum_cfg,id_best_quantum_bacc,id_delta_q_vs_orig,id_delta_q_vs_ext
m1_hist_byteent,42,size_q1000_id500_ood500,gpc,linear__gpc__d12,0.735047387295082,matern15_med__gpc__d4,0.7789126536885246,zmap_r2__gpc__d12,0.7799052254098361,0.04485783811475408,0.0009925717213115082,0.1434932698456668,0.1487114281405695,0.6677017789880203,0.6628581778279913,0.1224833243063057,0.1562112673314586,0.6029872501359291,0.6411605168730246,0.1218927839367867,0.1457726586092174,0.5803888646937999,0.6294481424262824,rbf_gscale__gpc__d12,0.7853321801524762,laplacian_med__gpc__d12,0.8196873598564931,zz_r1_full__gpc__d10,0.826270100582997,0.0409379204305208,0.006582740726503888
m1_hist_byteent,42,size_q1000_id500_ood500,svc,linear__svc__d12,0.7387295081967213,matern15_med__svc__d4,0.766297387295082,zmap_r2__svc__d12,0.7697553790983607,0.03102587090163933,0.0034579918032786594,,,,,,,,,,,,,rbf_gscale__svc__d12,0.7509770004484593,laplacian_med__svc__d12,0.8353193670318406,zz_r1_full__svc__d8,0.8239477224678071,0.07297072201934784,-0.0113716445640335
m1_hist_byteent,42,size_q2000_id1000_ood1000,gpc,rbf_gscale__gpc__d12,0.7466155126338192,laplacian_med__gpc__d10,0.7572450432862332,zz_r1_full__gpc__d12,0.7672504840697061,0.020634971435886884,0.010005440783472874,0.0594737033328091,0.1050578349526135,0.5909224558383058,0.6234907080887756,0.0773725995356527,0.0944086862392748,0.5558936147212822,0.5954901879650001,0.0604044360543562,0.1412719684691732,0.5459074657713906,0.5994198409449368,rbf_gscale__gpc__d10,0.726864167110016,laplacian_med__gpc__d12,0.7688296778684032,zz_r2_full__gpc__d12,0.7909624746490873,0.06409830753907131,0.02213279678068414
m1_hist_byteent,42,size_q2000_id1000_ood1000,svc,rbf_gscale__svc__d6,0.720943815909491,laplacian_med__svc__d12,0.7778520106895392,zz_r1_full__svc__d12,0.7680946056232097,0.04715078971371878,-0.009757405066329494,,,,,,,,,,,,,rbf_gscale__svc__d10,0.7049593785376274,laplacian_med__svc__d10,0.7797640715065742,zz_r1_full__svc__d10,0.7937765759567343,0.08881719741910699,0.014012504450160113
m1_hist_byteent,42,size_q4000_id1800_ood1800,gpc,rbf_gscale__gpc__d10,0.7774314022037717,rbf_gscale__gpc__d10,0.7774314022037717,zmap_r2__gpc__d12,0.7711997283866786,-0.0062316738170931085,-0.0062316738170931085,0.0553543413145236,0.1278578091413266,0.5777880786134346,0.6034124428552455,0.0553543413145236,0.1278578091413266,0.5777880786134346,0.6034124428552455,0.0670515007966244,0.1557080502229125,0.5411871159121746,0.5661930337989124,rbf_gscale__gpc__d12,0.7415897750673215,laplacian_med__gpc__d12,0.7861258514177095,zz_r2_full__gpc__d10,0.8004266988753366,0.058836923808015085,0.014300847457627053
m1_hist_byteent,42,size_q4000_id1800_ood1800,svc,rbf_gscale__svc__d12,0.7818698107966295,rbf_gscale__svc__d12,0.7818698107966295,zz_r2_full__svc__d10,0.7570480570387975,-0.02482175375783202,-0.02482175375783202,,,,,,,,,,,,,rbf_gscale__svc__d12,0.7198984238872168,laplacian_med__svc__d12,0.7940014652304768,zz_r1_full__svc__d12,0.7975605892602566,0.07766216537303983,0.00355912402977987
m1_hist_byteent,123,size_q1000_id500_ood500,gpc,rbf_gscale__gpc__d12,0.7633837090163935,laplacian_med__gpc__d12,0.7932569159836065,zz_r1_full__gpc__d12,0.7873335040983607,0.02394979508196715,-0.005923411885245811,0.1015788494535484,0.1582950335432203,0.6134570241329318,0.6389507860741996,0.0970128024556086,0.1593677340927809,0.5999377582188479,0.641425505153097,0.0977770079199914,0.1545863970579485,0.5887218783958436,0.6491298624776355,rbf_gscale__gpc__d12,0.7588684328693309,laplacian_med__gpc__d12,0.7781448457245494,zz_r1_full__gpc__d12,0.7886490474052217,0.02978061453589076,0.010504201680672232
m1_hist_byteent,123,size_q1000_id500_ood500,svc,rbf_gscale__svc__d12,0.7617827868852459,laplacian_med__svc__d12,0.7962986680327868,zz_r1_full__svc__d10,0.7858606557377049,0.024077868852458995,-0.0104380122950819,,,,,,,,,,,,,rbf_gscale__svc__d12,0.7347969722240041,laplacian_med__svc__d12,0.7714574379370069,zz_r1_full__svc__d12,0.7869330938482263,0.05213612162422221,0.015475655911219355
m1_hist_byteent,123,size_q2000_id1000_ood1000,gpc,rbf_gscale__gpc__d10,0.7499639948152534,laplacian_med__gpc__d12,0.7802643580675617,pauli_xz_r1_full__gpc__d12,0.7677785601126562,0.017814565297402774,-0.012485797954905453,0.0673630337296842,0.1429115067257629,0.5935367815622867,0.628597726970388,0.0722227735500956,0.1233426264612698,0.5542415079438847,0.5926114066108044,0.0592775106554003,0.1330013010955661,0.5634043190923447,0.5933092008492411,rbf_gscale__gpc__d12,0.7314813333119969,laplacian_med__gpc__d12,0.7865732665503833,zz_r2_full__gpc__d12,0.8078763341921237,0.07639500088012674,0.021303067641740392
m1_hist_byteent,123,size_q2000_id1000_ood1000,svc,rbf_gscale__svc__d10,0.7230401177769599,laplacian_med__svc__d4,0.7653422092781361,zz_r1_full__svc__d6,0.7570050087212559,0.033964890944296,-0.008337200556880253,,,,,,,,,,,,,rbf_gscale__svc__d12,0.710226272583252,laplacian_med__svc__d12,0.7916579987518203,zz_r2_full__svc__d12,0.8052719591621194,0.09504568657886736,0.013613960410299053
m1_hist_byteent,123,size_q4000_id1800_ood1800,gpc,rbf_gscale__gpc__d12,0.764835334423902,matern15_med__gpc__d12,0.7705855118985154,pauli_xz_r1_full__gpc__d12,0.7777925244606315,0.012957190036729571,0.0072070125621160885,0.0691516576759622,0.1416880844087526,0.5973873435063852,0.617262288912717,0.0612253381756291,0.0993753278858362,0.5526700525145124,0.5873487894666954,0.0559242463420675,0.1196416189952085,0.5525795026173936,0.5887587353720912,rbf_gscale__gpc__d12,0.7341172490681536,laplacian_med__gpc__d12,0.7869025410179135,zz_r2_full__gpc__d12,0.8053536571965465,0.07123640812839294,0.018451116178633042
