model,view,reference,n_settings,wins,mean_delta,median_delta,wilcoxon_p,effect_gt1,effect_gt1_quantum,wilcoxon_p_holm
gpc,ood,classical_orig,18,15,0.028273618051395055,0.033921631221827564,0.0001068115234375,11,11,0.000213623046875
gpc,ood,classical_ext,18,11,0.0023107233921614476,0.0028679144595396555,0.2645263671875,0,0,0.2645263671875
gpc,id,classical_orig,18,18,0.06485548784320055,0.06644454135732147,7.62939453125e-06,18,18,3.0517578125e-05
gpc,id,classical_ext,18,18,0.019201837732476443,0.016611502994233196,7.62939453125e-06,11,11,3.0517578125e-05
svc,ood,classical_orig,18,17,0.03738456760270292,0.04255594730868606,3.814697265625e-05,12,12,7.62939453125e-05
svc,ood,classical_ext,18,15,0.0044278794649019425,0.006381584063130108,0.02684783935546875,1,1,0.02684783935546875
svc,id,classical_orig,18,18,0.07745613393479439,0.0793738108803782,7.62939453125e-06,18,18,3.0517578125e-05
svc,id,classical_ext,18,18,0.014947690233130239,0.015216767909781437,7.62939453125e-06,11,11,3.0517578125e-05
