group,model,delta,spec_id,spec_label
ember_m1,gpc,0.01250634054702398,S1,Legacy oracle; C=1; linear/RBF; native
ember_m2,gpc,0.04404089555576613,S1,Legacy oracle; C=1; linear/RBF; native
toniot_scanning_m2_centroid,gpc,0.04647425144350116,S1,Legacy oracle; C=1; linear/RBF; native
toniot_scanning_natural_cur,gpc,0.042432978878613144,S1,Legacy oracle; C=1; linear/RBF; native
unsw_dos_m2_centroid,gpc,0.029876083812950222,S1,Legacy oracle; C=1; linear/RBF; native
unsw_dos_natural_cur,gpc,0.03552558414602558,S1,Legacy oracle; C=1; linear/RBF; native
unsw_recon_m2_centroid,gpc,0.03174972125051797,S1,Legacy oracle; C=1; linear/RBF; native
unsw_recon_natural_cur,gpc,0.020297278027734376,S1,Legacy oracle; C=1; linear/RBF; native
ember_m1,svc,0.019054425939680725,S1,Legacy oracle; C=1; linear/RBF; native
ember_m2,svc,0.05571470926572512,S1,Legacy oracle; C=1; linear/RBF; native
toniot_scanning_m2_centroid,svc,0.03519112770237146,S1,Legacy oracle; C=1; linear/RBF; native
toniot_scanning_natural_cur,svc,0.037328911447431876,S1,Legacy oracle; C=1; linear/RBF; native
unsw_dos_m2_centroid,svc,0.014547980500410495,S1,Legacy oracle; C=1; linear/RBF; native
unsw_dos_natural_cur,svc,0.0426049954106495,S1,Legacy oracle; C=1; linear/RBF; native
unsw_recon_m2_centroid,svc,0.01255548789617881,S1,Legacy oracle; C=1; linear/RBF; native
unsw_recon_natural_cur,svc,0.011319050496818781,S1,Legacy oracle; C=1; linear/RBF; native
ember_m1,gpc,0.002837184371615669,S2,Legacy ID-selected; C=1; linear/RBF; native
ember_m2,gpc,0.04999065608257515,S2,Legacy ID-selected; C=1; linear/RBF; native
toniot_scanning_m2_centroid,gpc,0.09471472840977449,S2,Legacy ID-selected; C=1; linear/RBF; native
toniot_scanning_natural_cur,gpc,0.05646237463091075,S2,Legacy ID-selected; C=1; linear/RBF; native
unsw_dos_m2_centroid,gpc,0.027052589868643808,S2,Legacy ID-selected; C=1; linear/RBF; native
unsw_dos_natural_cur,gpc,0.037139201508546646,S2,Legacy ID-selected; C=1; linear/RBF; native
unsw_recon_m2_centroid,gpc,0.007895228053816471,S2,Legacy ID-selected; C=1; linear/RBF; native
