kernel,eff_rank_mean,eff_rank_min,eff_rank_max,kta_id_mean,kta_ood_mean,kta_gain_ood_mean,kta_gain_pos_frac
linear,1.188,1.067,1.283,0.097,0.079,-0.017,0.322
poly2,1.286,1.108,1.506,0.099,0.082,-0.017,0.322
poly3,1.412,1.151,1.729,0.1,0.085,-0.015,0.378
rbf_gscale,2.762,1.461,4.53,0.104,0.093,-0.011,0.378
matern25_med,6.413,4.833,8.272,0.109,0.109,0.0,0.456
matern15_med,7.708,5.756,10.134,0.109,0.113,0.004,0.467
laplacian_med,17.692,12.097,24.167,0.106,0.125,0.019,0.656
