variant,master_seed,size_tag,sel_gd_lam1e-4,sel_gd_lam1e-2,sel_kta_ood_q_minus_c,sel_kta_drop_q_minus_c,sel_eff_rank_q,sel_novelty_ratio_q_minus_c,fam_kta_ood_best_q_minus_best_c,fam_kta_id_best_q_minus_best_c,fam_kta_train_best_q_minus_best_c,fam_gd_median_lam1e-4,fam_eff_rank_max_q,fam_novelty_ratio_mean_q_minus_c,apriori_eff_rank_q_at_best_train_kta,apriori_gd1e-2_vs_rbf_at_best_train_kta,delta_ood,winner
m1_hist_byteent,42,size_q1000_id500_ood500,8.004236209329724,2.215456501550605,0.08615278804910063,-0.07337814993253897,20.198232339389058,-0.13045305476837393,0.053169766856712396,0.027033630731412385,0.025367404031105163,22.833032463974437,199.4035531973961,-0.17258689088678209,23.529701873988934,2.2667078348142455,0.0362,quantum
m1_hist_byteent,42,size_q2000_id1000_ood1000,17.092904244185224,2.291441629172927,0.07953633436326037,-0.07555731245986433,117.01171300966894,-0.36195547597471966,0.03407865690166515,0.0018260919807850829,-0.001656148667720042,22.45078175056953,195.50105775768705,-0.18794484969853756,6.803795659450415,2.052088238541252,0.0525,quantum
m1_hist_byteent,42,size_q4000_id1800_ood1800,18.331495296574197,2.434852458195913,0.00465037077173242,0.004163373976066182,102.91140002170182,-0.3150179371292771,0.005980253465088498,0.008169734888276261,0.00544443370555982,22.085716523924113,175.6357638279248,-0.18341892963948675,15.921461916019306,2.278640580206506,0.0078,quantum
m1_hist_byteent,123,size_q1000_id500_ood500,7.398965439592369,2.1557294781543743,0.03879160931919226,-0.039523214002829245,19.91331987900046,-0.08369626614784505,0.05395531153439641,0.009928374742067664,0.005481913781183523,23.1874435772316,171.15809714949114,-0.15572450496919948,4.113195075793572,2.024051691038654,0.0204,quantum
m1_hist_byteent,123,size_q2000_id1000_ood1000,16.496619798901342,2.4135807415983646,0.040802367856264725,-0.05361387917769335,91.77909859217525,-0.28796166577344595,0.04749385152536777,0.004795356153001989,-0.00028735206651661627,21.659127594268234,189.42225216061212,-0.1785547031033427,5.516119739304022,2.024084107438096,0.0099,quantum
m1_hist_byteent,123,size_q4000_id1800_ood1800,17.979942627680845,2.494033679990352,0.018532356286203464,-0.012222252002647364,85.02282051050278,-0.28628894812989075,0.019503003554371144,0.008198593745279278,0.010127628575318817,22.67024291014377,178.0879287857591,-0.19352565525803608,23.675479194858614,2.575252916983735,0.0123,quantum
m1_hist_byteent,999,size_q1000_id500_ood500,6.99407636157685,2.0399413547538194,0.053646709166137764,-0.05236238509163664,20.38246107770053,-0.081525349608876,0.06168656666216436,0.015773947414162222,0.016716157468836916,21.364263018921772,199.83415505962907,-0.140786936674194,3.7561760312935517,1.8659875393038508,0.0305,quantum
m1_hist_byteent,999,size_q2000_id1000_ood1000,17.608752384534178,2.41255307286072,0.03376371505077026,-0.03272122086441912,115.52205355772765,-0.316947706661305,0.03860130579523802,0.013084906503084442,0.00872821487513736,21.4139096378553,192.20337562518733,-0.2146185861780437,6.40530151970772,2.028583338982385,0.0117,quantum
m1_hist_byteent,999,size_q4000_id1800_ood1800,17.72670780625421,2.5676970099413854,0.0150868782891794,-0.012751043109645283,71.60306615025885,-0.26714696821711076,0.015941730016597617,0.008306728930768125,0.009154520972794598,22.75039178456778,156.75212222527347,-0.17137883669104972,18.391099508939952,2.3204348585429506,-0.0101,classical
m2_hist_byteent,42,size_q1000_id500_ood500,5.912988017556328,2.014859967517982,0.01732371002758396,-0.00845105748767866,12.007467639939286,-0.06876697890663201,0.029608234233210563,-0.0006130157768192979,0.0060778554052138166,21.71628287035417,160.87319551692536,-0.14084022518808265,3.7716196215630817,1.9673181109881792,-0.0613,classical
m2_hist_byteent,42,size_q2000_id1000_ood1000,22.241366462625813,3.3063743602224394,0.007408572054053384,-0.026916523677566702,14.66204927116238,-0.0816485533801525,-0.0016894291288781366,-0.025192883871093953,-0.014231475496627117,22.075490550758957,130.50878717154234,-0.10558512222472823,5.7457870616829485,2.031292808258475,-0.0609,classical
m2_hist_byteent,42,size_q4000_id1800_ood1800,23.185654561671015,3.425258185810653,0.006987871325624617,0.00870680226312764,11.529854460998042,-0.04749437598675217,0.021507519181892722,0.00654914999813346,0.0014347524712038178,22.78998096634293,140.16740665674905,-0.07296297334993089,87.20795493396903,2.4434176208059704,-0.0555,classical
