model,view,reference,n_settings,wins,mean_delta,median_delta,wilcoxon_p,effect_gt1,effect_gt1_quantum,wilcoxon_p_holm
gpc,ood,classical_orig,27,26,0.037867723128456904,0.03628027065527073,2.9802322387695312e-08,0,0,1.1920928955078125e-07
gpc,ood,classical_ext,27,24,0.010972258772253997,0.008963361334577868,2.586841583251953e-05,0,0,5.173683166503906e-05
gpc,id,classical_orig,27,26,0.022124432664601963,0.013610349636897112,2.9802322387695312e-08,0,0,1.1920928955078125e-07
gpc,id,classical_ext,27,19,0.00802462529765353,0.006071175036266752,0.0005356669425964355,0,0,0.0005356669425964355
svc,ood,classical_orig,27,26,0.035752207388819936,0.03949767389675407,2.9802322387695312e-08,0,0,8.940696716308594e-08
svc,ood,classical_ext,27,19,0.00837229084845692,0.0030425963488843744,0.0004908249338836073,0,0,0.0009816498677672147
svc,id,classical_orig,27,27,0.025901788381922437,0.013423073998022783,1.4901161193847656e-08,0,0,5.960464477539063e-08
svc,id,classical_ext,27,20,0.004224924068077437,0.003321090157103801,0.003877997398376465,0,0,0.003877997398376465
