case,group,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
00_ember_m1,ember_m1,product_map,customary_30,0,-0.422,-0.422,-0.422,0.054,0.054,0.054
00_ember_m1,ember_m1,product_map,customary_30,5,-0.418,-0.422,-0.406,0.054,0.05,0.054
00_ember_m1,ember_m1,product_map,customary_30,10,-0.41,-0.41809999999999997,-0.398,0.054,0.046,0.054
00_ember_m1,ember_m1,product_map,customary_30,20,-0.398,-0.414,-0.382,0.054,0.046,0.054
00_ember_m1,ember_m1,product_map,customary_30,30,-0.386,-0.4021,-0.366,0.05,0.042,0.054
00_ember_m1,ember_m1,product_map,customary_30,40,-0.374,-0.394,-0.35,0.05,0.042,0.054
00_ember_m1,ember_m1,product_map,customary_30,50,-0.362,-0.3821,-0.334,0.05,0.038,0.054
00_ember_m1,ember_m1,product_map,customary_30,75,-0.33,-0.3581,-0.30589999999999995,0.046,0.034,0.054
00_ember_m1,ember_m1,product_map,customary_30,100,-0.301,-0.3261,-0.272,0.042,0.03,0.050100000000000026
00_ember_m1,ember_m1,product_map,customary_30,150,-0.246,-0.2741,-0.218,0.038,0.022,0.046
00_ember_m1,ember_m1,product_map,customary_30,200,-0.2,-0.224,-0.164,0.03,0.018,0.042
00_ember_m1,ember_m1,product_map,customary_30,300,-0.12,-0.152,-0.088,0.018,0.006,0.03005000000000001
00_ember_m1,ember_m1,product_map,customary_30,400,-0.05,-0.072,-0.034,0.006,-0.006,0.014050000000000012
00_ember_m1,ember_m1,product_map,customary_30,500,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014
00_ember_m1,ember_m1,product_map,full_115,0,-0.452,-0.452,-0.452,0.05,0.05,0.05
00_ember_m1,ember_m1,product_map,full_115,5,-0.448,-0.452,-0.436,0.05,0.046,0.05
00_ember_m1,ember_m1,product_map,full_115,10,-0.44,-0.448,-0.428,0.05,0.042,0.05
00_ember_m1,ember_m1,product_map,full_115,20,-0.428,-0.44,-0.412,0.046,0.038,0.05
00_ember_m1,ember_m1,product_map,full_115,30,-0.412,-0.432,-0.396,0.046,0.038,0.05
00_ember_m1,ember_m1,product_map,full_115,40,-0.4,-0.42,-0.38,0.046,0.034,0.05
00_ember_m1,ember_m1,product_map,full_115,50,-0.388,-0.412,-0.364,0.042,0.034,0.05
00_ember_m1,ember_m1,product_map,full_115,75,-0.356,-0.384,-0.32995,0.038,0.0299,0.05
00_ember_m1,ember_m1,product_map,full_115,100,-0.324,-0.35609999999999997,-0.29189999999999994,0.034,0.022,0.046
