status,case,run,group,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels,n_informative_counterexamples,n_draws,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.02,0,0,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.018000000000000016,adaptive_bottleneck_cover,0.005,0,0,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.018000000000000016,adaptive_bottleneck_cover,0.01,0,0,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.018000000000000016,adaptive_bottleneck_cover,0.02,0,0,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,zmap_r2__as0.5,product_map,customary_30,500,30,-0.010000000000000009,adaptive_bottleneck_cover,0.005,3,2,200,238.0,58.675000000000004,395.05,10,446,14.0,3.9750000000000005,21.0,0.01,0.025,0.06,0.385
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,zmap_r2__as0.5,product_map,customary_30,500,30,-0.010000000000000009,adaptive_bottleneck_cover,0.01,0,0,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,zmap_r2__as0.5,product_map,customary_30,500,30,-0.010000000000000009,adaptive_bottleneck_cover,0.02,0,0,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,zmap_r2__as0.5,product_map,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.005,3,2,200,198.5,58.675000000000004,339.07500000000005,10,382,16.0,4.9750000000000005,24.0,0.01,0.025,0.085,0.515
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,zmap_r2__as0.5,product_map,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.01,0,0,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,zmap_r2__as0.5,product_map,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.02,0,0,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.026000000000000023,adaptive_bottleneck_cover,0.005,12,10,200,293.5,161.82500000000002,391.025,122,423,31.0,19.975,40.0,0.0,0.0,0.0,0.11
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.026000000000000023,adaptive_bottleneck_cover,0.01,11,9,200,258.0,123.825,354.0,112,392,28.0,16.0,36.0,0.0,0.0,0.0,0.2
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.026000000000000023,adaptive_bottleneck_cover,0.02,6,6,200,164.0,71.85000000000001,307.07500000000005,56,341,18.0,10.0,29.0,0.0,0.0,0.105,0.745
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.026000000000000023,adaptive_bottleneck_cover,0.005,13,8,200,265.5,161.82500000000002,376.15000000000003,97,403,36.0,21.0,46.05000000000001,0.0,0.0,0.005,0.135
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.026000000000000023,adaptive_bottleneck_cover,0.01,11,6,200,220.0,94.925,331.05,57,354,29.0,15.975000000000001,41.0,0.0,0.0,0.03,0.375
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.026000000000000023,adaptive_bottleneck_cover,0.02,5,4,200,132.5,45.95,272.025,25,315,19.0,8.0,32.0,0.005,0.04,0.26,0.845
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.020000000000000018,adaptive_bottleneck_cover,0.005,21,13,200,337.0,251.9,411.0,220,431,23.0,19.0,26.0,0.0,0.0,0.0,0.0
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.020000000000000018,adaptive_bottleneck_cover,0.01,18,11,200,293.5,198.95,379.0,160,403,20.0,15.0,23.0,0.0,0.0,0.0,0.045
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.020000000000000018,adaptive_bottleneck_cover,0.02,15,9,200,230.0,127.85000000000001,343.025,71,376,16.0,11.0,20.0,0.0,0.0,0.01,0.24
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,adaptive_bottleneck_cover,0.005,17,11,200,271.5,191.9,360.025,160,407,21.0,17.0,25.0,0.0,0.0,0.0,0.06
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,adaptive_bottleneck_cover,0.01,14,9,200,234.0,164.95,336.05,141,384,18.0,14.0,23.0,0.0,0.0,0.0,0.21
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,adaptive_bottleneck_cover,0.02,11,7,200,169.5,93.95,264.025,70,293,13.0,9.975000000000001,18.025000000000006,0.0,0.0,0.045,0.71
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.016000000000000014,adaptive_bottleneck_cover,0.005,17,9,200,362.5,255.25000000000003,448.025,143,465,55.0,39.975,65.025,0.0,0.0,0.0,0.01
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.016000000000000014,adaptive_bottleneck_cover,0.01,16,8,200,325.0,192.55,419.05,139,431,50.0,31.0,60.0,0.0,0.0,0.0,0.035
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.016000000000000014,adaptive_bottleneck_cover,0.02,6,5,200,196.0,91.775,311.025,55,339,31.0,15.0,45.025000000000006,0.0,0.0,0.04,0.52
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.025999999999999912,adaptive_bottleneck_cover,0.005,34,14,200,352.0,255.25000000000003,414.025,143,456,66.0,45.975,76.0,0.0,0.0,0.0,0.01
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.025999999999999912,adaptive_bottleneck_cover,0.01,28,9,200,312.5,192.55,397.07500000000005,139,408,59.0,38.925000000000004,71.0,0.0,0.0,0.0,0.035
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.025999999999999912,adaptive_bottleneck_cover,0.02,11,4,200,184.0,91.775,302.025,55,339,35.0,16.975,56.025000000000006,0.0,0.0,0.04,0.575
