setting_label,splits_dir,dim,kernel,family,n_train,spec_train_top1_share,spec_train_top5_share,spec_train_top20_share,spec_train_eff_rank,spec_ood_top1_share,spec_ood_top5_share,spec_ood_top20_share,spec_ood_eff_rank,k_train_mean,k_train_std,k_id2train_mean,k_id2train_std,k_ood2train_mean,k_ood2train_std,ood_novelty_ratio,kta_train,kta_id,kta_ood,kta_drop_id_to_ood,gd_vs_linear_lam1e-06,gd_vs_linear_lam0.0001,gd_vs_linear_lam0.01,gd_vs_rbf_gscale_lam1e-06,gd_vs_rbf_gscale_lam0.0001,gd_vs_rbf_gscale_lam0.01,gd_vs_laplacian_med_lam1e-06,gd_vs_laplacian_med_lam0.0001,gd_vs_laplacian_med_lam0.01,gd_vs_matern15_med_lam1e-06,gd_vs_matern15_med_lam0.0001,gd_vs_matern15_med_lam0.01
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,4,linear,classical,4000,0.7698227783534466,0.9999999999999921,0.9999999999999961,2.0951125345086608,0.7320081840620783,0.9999999999999949,0.9999999999999973,2.206978766932549,0.7603985006157659,0.2010804318639995,0.7640867149919508,0.19902619909644886,0.7377088591689986,0.2119088927440517,0.9654779290028226,0.2856814183400666,0.42155246347326264,0.09544155025388851,0.32611091321937413,,,,,,,,,,,,
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,4,rbf_gscale,classical,4000,0.46640523807744816,0.9369720407807849,0.9987230461942239,5.122871308099896,0.43780863043434715,0.9366617322440749,0.9994848002151109,5.014867573069159,0.39090950839709976,0.3605892287521982,0.39393735146823766,0.3639274295334995,0.3761536882955157,0.3559242243439518,0.9548566209666569,0.2728220791645273,0.3782659804562699,0.14699346859609405,0.23127251186017586,,,,,,,,,,,,
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,4,laplacian_med,classical,4000,0.4753065727209313,0.8468951724820393,0.9652950659734807,7.460723113472377,0.4505191301481679,0.8622249271072183,0.9751772441783796,6.996044770921893,0.44723703822905175,0.26279438696621055,0.452994852692872,0.2665576877466398,0.4275987902694235,0.2547864331412735,0.9439374150225347,0.28549435443266546,0.393056104717753,0.18381963050431135,0.20923647421344163,,,,,,,,,,,,
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,4,matern15_med,classical,4000,0.5824039717956617,0.951853983546776,0.997338824976142,4.086889006847227,0.5640071228601363,0.949451538552601,0.9987566062134773,4.025157372576539,0.558308920748547,0.26732415397862125,0.5604066012854667,0.26982117142924905,0.54592649636521,0.26457407675168176,0.9741614304916428,0.2868997769438932,0.3994807997181751,0.14190612522799667,0.2575746744901784,,,,,,,,,,,,
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,4,zz_r1_full,quantum,4000,0.19618047364957816,0.6042724007395985,0.9184485968010114,18.191765602112977,0.2079485049716181,0.6489955390378681,0.9463448680850934,14.801144123498242,0.17508111291451964,0.24464867400459928,0.18402042578052988,0.25392216146965435,0.15112505100861184,0.21461941500301585,0.8212406333025749,0.23089680385371159,0.3073867931732407,0.2874498570627574,0.019936936110483305,320.0416783426631,32.00503052261512,3.2094363977728255,131.7043759209373,19.67187240107886,2.817583948748701,7.567136099429613,4.899240811948201,2.0907969830315816,31.1141381190113,14.021540136077553,2.791962761895858
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,4,zz_r2_full,quantum,4000,0.14777923480054272,0.5287497815965833,0.8889484987992251,22.732148157817868,0.19585250697531198,0.6223907213659657,0.9255139114967043,16.86674821181537,0.13647402266353856,0.22835813611544628,0.1411135396965562,0.2383447591607945,0.12321920529293058,0.19652992981333697,0.87319193861833,0.22391382833354426,0.3064474673959874,0.2840729117073929,0.022374555688594477,307.9818040550644,30.798350845081572,3.081527435441801,157.48021871458565,23.779154852435596,2.7778791463718764,7.893787504985651,5.060198576150245,2.1472135625858293,37.88681935781996,16.858800883350238,2.7473271388153897
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,4,pauli_xz_r1_full,quantum,4000,0.3312364636785523,0.821282927181085,0.9919528757219662,7.839705420734253,0.2978081985977889,0.8221883863932271,0.9961654857821318,8.280815692923996,0.23858115315851597,0.3696173627372929,0.24950970452745516,0.3804511008307702,0.20508893003923281,0.3320880600792976,0.821967748419443,0.21118324872424662,0.28306466464219704,0.20108886036041368,0.08197580428178336,328.3361985960719,32.88554878586034,3.7158543329198133,10.501636058521148,4.9454135780246276,1.8063974977159525,3.039969482979606,2.5924130495318964,1.688691278776865,4.734160158279898,3.67236748157934,1.9820407304676582
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,4,zmap_r2,quantum,4000,0.44851467650887605,0.8295070166765176,0.9881985702742369,7.14749267116234,0.37711378539696805,0.8371826520792054,0.9933264703745555,7.602496683842687,0.3890960159456008,0.30704441160729296,0.40552697487984785,0.31230327680907477,0.34223991821453126,0.28121434171155574,0.8439387252005426,0.2407542920649808,0.299933363305627,0.29901277307606966,0.0009205902295573165,306.8722823718824,30.69542564824082,3.1461415821564693,25.743146854953608,7.688202805954852,2.2191914026646398,3.086989588903011,2.603234472172467,1.7632172699804034,7.898859727448099,5.151790763162379,2.2792968805875162
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,6,linear,classical,4000,0.7512304886626338,0.9822860933711414,0.9999999999999963,2.4386908490109303,0.7312287332295113,0.9932276607056919,0.9999999999999973,2.4801155914713564,0.7462322431610505,0.16775608628035701,0.7505026277884347,0.16722182049877918,0.7298752546981491,0.17407363018931382,0.9725152553415171,0.3422422629806752,0.4572207511627722,0.17103768299259847,0.28618306817017375,,,,,,,,,,,,
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999__s42,data\processed\netflow\toniot_scanning\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed999,6,rbf_gscale,classical,4000,0.3674236991027211,0.8423418491810039,0.9964701135449765,7.017682929998232,0.3466821994783436,0.8766560281147536,0.9988314153514055,6.485641954971753,0.33574638415397434,0.302793195873532,0.34247778325462863,0.30769640275834503,0.32325152045389594,0.2917892952828869,0.9438612846123272,0.32696457770245074,0.4051271058797776,0.24575424080397737,0.15937286507580026,,,,,,,,,,,,
