setting_label,splits_dir,dim,kernel,family,n_train,spec_train_top1_share,spec_train_top5_share,spec_train_top20_share,spec_train_eff_rank,spec_ood_top1_share,spec_ood_top5_share,spec_ood_top20_share,spec_ood_eff_rank,k_train_mean,k_train_std,k_id2train_mean,k_id2train_std,k_ood2train_mean,k_ood2train_std,ood_novelty_ratio,kta_train,kta_id,kta_ood,kta_drop_id_to_ood,gd_vs_linear_lam1e-06,gd_vs_linear_lam0.0001,gd_vs_linear_lam0.01,gd_vs_rbf_gscale_lam1e-06,gd_vs_rbf_gscale_lam0.0001,gd_vs_rbf_gscale_lam0.01,gd_vs_laplacian_med_lam1e-06,gd_vs_laplacian_med_lam0.0001,gd_vs_laplacian_med_lam0.01,gd_vs_matern15_med_lam1e-06,gd_vs_matern15_med_lam0.0001,gd_vs_matern15_med_lam0.01
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,4,linear,classical,2000,0.8283731251378017,0.9999999999999949,0.9999999999999976,1.7938016939447334,0.8405271201814902,0.999999999999996,0.9999999999999979,1.7207999008710666,0.8265876541919805,0.14221288378427777,0.8271517609136207,0.14144457792692025,0.8318980014439517,0.14052724103446293,1.0057380528635864,0.17067989815859186,0.24816214453988503,0.01127791827922305,0.23688422626066197,,,,,,,,,,,,
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,4,rbf_gscale,classical,2000,0.3625746369590203,0.9223813334070952,0.99715955359629,5.835988526126382,0.4234783373179647,0.9285596552705266,0.9978333749954414,4.953553167688832,0.3545105089939353,0.3261136161538873,0.3502839116269694,0.32769038379026166,0.3728410005163008,0.32274908934514174,1.0643965884261144,0.26630492306881426,0.3032145272833277,0.2126914103668858,0.09052311691644191,,,,,,,,,,,,
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,4,laplacian_med,classical,2000,0.450971718078729,0.8235215491751454,0.9331432342875438,9.620963502982999,0.4912479016957909,0.8524701927809506,0.9462426854335485,7.613352636786235,0.44786851728276,0.21081976725429583,0.4457920250983388,0.21263724134405643,0.45597343143181,0.20513300222699013,1.0228389153691686,0.2699108100643336,0.3029661538740856,0.27990782578949,0.023058328084595625,,,,,,,,,,,,
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,4,matern15_med,classical,2000,0.5646263157745396,0.9457628274433353,0.9946737802191188,4.289259709495635,0.6057722526743156,0.9501475391580327,0.9959784339021798,3.724976371819169,0.561204824095892,0.23025974191705922,0.558009866609447,0.2311385595299526,0.5746024270908823,0.22828017916386245,1.029735245690644,0.25169733141402156,0.29424026791285296,0.1943145026611829,0.09992576525167007,,,,,,,,,,,,
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,4,zz_r1_full,quantum,2000,0.1303393772230189,0.4650053487742696,0.7906200998571897,33.220995161804936,0.18008010702877492,0.5814953747579887,0.8597822541712123,22.792484164425996,0.12404926090978824,0.1966879622746646,0.12642858878094648,0.2015786899043204,0.11549147537695917,0.17389882750125546,0.9134917702598322,0.23706100987988807,0.23129546283510466,0.40517401713753065,-0.173878554302426,282.55598450538486,28.255758910809554,2.8272848098384418,120.36509714653066,15.799433830010196,1.8980363654998853,18.43597382762279,8.158576314459662,1.5690424339078368,37.754973141214805,10.865090454871144,1.870550554119105
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,4,zz_r2_full,quantum,2000,0.12292521115020083,0.3640631618060156,0.7056412387346243,48.17950705062091,0.15949594036359155,0.4878576905215608,0.7883295073751861,32.638475895196706,0.1112939216091872,0.1660547949551428,0.11291591326687139,0.17054550482859063,0.10427377803472258,0.14166064126149863,0.92346397436716,0.1867744140513459,0.1866031901527589,0.3265228563144371,-0.13991966616167822,248.91119681798557,24.89281562099468,2.5091057554157987,159.9865490063639,17.986461921388525,2.020535279515678,21.727743315032953,7.925369558640536,1.7399970764264368,50.34782464550552,13.23343509063895,1.9964076042845986
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,4,pauli_xz_r1_full,quantum,2000,0.22445691456858544,0.8039686822504752,0.986997178859287,9.217284867603063,0.2715689723916642,0.8589232985747742,0.989364269100871,7.539107150368031,0.2115941076385407,0.32087045981100243,0.21120440442955044,0.3232689864204276,0.2143328531085676,0.3129951414432441,1.0148124215849896,0.30738254278961835,0.32897707367938944,0.3242196454180802,0.00475742826130926,395.39998907177437,39.547345202269085,4.019383690688948,7.851165254138822,3.7790274039290965,1.4901695519989708,2.7342369665539494,2.242695562051418,1.5220276512413333,3.341449407758711,2.7730001495878125,1.8165424560790069
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,4,zmap_r2,quantum,2000,0.26907295557215777,0.7805380348549779,0.9773045252391167,10.081991108631794,0.29819635390977356,0.8402531993853675,0.9817171430249543,8.317942643476277,0.2570159703365257,0.2868581756698666,0.25737247040798567,0.2903907610258629,0.25195426318623787,0.27556120146728524,0.9789479923273888,0.2060830689191201,0.20679938209105153,0.36398641745341914,-0.1571870353623676,376.29510552482907,37.636125077181674,3.820059757227073,30.247942109814716,7.436554218796452,1.683876968878074,3.231685553614105,2.481595641305073,1.499190905321627,5.688174438639504,4.089928617557145,1.9259869193033943
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,6,linear,classical,2000,0.8420287368203966,0.9916953560010833,0.9999999999999973,1.8705730569568029,0.8301739112526371,0.9961100774766315,0.9999999999999978,1.913138472081,0.8401929028215145,0.11421157757241665,0.8434649443008899,0.1115167081439764,0.8299654741594789,0.12577694382076687,0.9839952208652842,0.18186992948862407,0.24876982191679345,0.08146346955258395,0.1673063523642095,,,,,,,,,,,,
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,6,rbf_gscale,classical,2000,0.42046020547578167,0.8617666436871997,0.9930367305147868,6.470530031756398,0.43230525379418167,0.9014770754004413,0.9948740174808496,5.73847151529995,0.4029122484549287,0.28647454699978836,0.4086029349008437,0.28641752619427063,0.38752474082764554,0.291459898794734,0.9484139924782644,0.24635250402254152,0.2833203522649228,0.22323332339437482,0.06008702887054798,,,,,,,,,,,,
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,6,laplacian_med,classical,2000,0.44544798965854376,0.7574378694399422,0.9066274355963261,12.511526621201616,0.4469561291205803,0.803684070205205,0.9222574375598539,10.223612255404177,0.4383529243568462,0.1936919180385602,0.44347177809311367,0.19427115236326067,0.4230319352105256,0.19266781408942515,0.9539094844536051,0.2646229348600328,0.29528044965039124,0.2871032891730341,0.008177160477357115,,,,,,,,,,,,
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000__qs999__s42,data\processed\netflow\unsw_recon\splits_m2_centroid__ms42\qsplits\splits_sparsity_q2000_id1000_ood1000_seed999,6,matern15_med,classical,2000,0.5654902907779777,0.8828965882573577,0.9869769119637822,5.193440204891056,0.5627582650455324,0.9157025769415195,0.9905254197202399,4.7576676364623856,0.558172149711626,0.20912558630790298,0.5633210328341656,0.2076758404042839,0.5427462602442473,0.21774969253137103,0.9634759375370683,0.2439950751245746,0.2838850613442689,0.22278356454855758,0.06110149679571131,,,,,,,,,,,,
