run,group,dataset,dim,scope,n_kernels,rho_spec_train_eff_rank,rho_kta_ood,rho_kta_survival,partial_rho_eff_rank,partial_rho_kta_ood
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember_m1,ember,10,all,35,0.32425239942252054,0.20715736446907465,0.25477974710564355,0.19269011538744174,0.1105878713242372
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember_m1,ember,10,classical,23,0.18532246673987582,0.1487521666365403,0.18532246673987582,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember_m1,ember,10,quantum,12,0.6153846153846154,0.4755244755244756,0.2867132867132868,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember_m1,ember,12,all,35,-0.387028999454639,-0.19610589910839474,-0.09637204184755396,-0.3675728378394445,-0.16842518568276446
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember_m1,ember,12,classical,23,-0.5460835353268341,-0.5021003365539035,-0.3148010968354691,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember_m1,ember,12,quantum,12,0.06993006993006995,0.5874125874125874,0.25874125874125875,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,4,all,35,0.6650325669365561,0.5921983346688625,0.3102458162941179,0.6442421969412228,0.5610707229505193
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,4,classical,23,0.7264640696203131,0.684951837070581,0.4077094268277268,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,4,quantum,12,-0.034965034965034975,-0.006993006993006993,-0.17482517482517487,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,6,all,35,0.6914186063359289,0.6695622127009936,0.5773730651895365,0.640479285806628,0.6343825548239929
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,6,classical,23,0.7192289558887671,0.7118142243847592,0.7474049356039971,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,6,quantum,12,0.4825174825174825,0.4895104895104896,0.35664335664335667,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,8,all,35,0.729934171609889,0.7092029765612875,0.7162067586723015,0.6511621297347698,0.6401007699393972
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,8,classical,23,0.8606031698985178,0.8566486464297136,0.8161147808744703,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,8,quantum,12,0.21678321678321683,0.17482517482517487,0.2447552447552448,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,10,all,35,0.32425239942252054,0.20715736446907465,0.25477974710564355,0.19269011538744174,0.1105878713242372
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,10,classical,23,0.18532246673987582,0.1487521666365403,0.18532246673987582,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,10,quantum,12,0.6153846153846154,0.4755244755244756,0.2867132867132868,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,12,all,35,-0.387028999454639,-0.19610589910839474,-0.09637204184755396,-0.3675728378394445,-0.16842518568276446
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,12,classical,23,-0.5460835353268341,-0.5021003365539035,-0.3148010968354691,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m1,ember,12,quantum,12,0.06993006993006995,0.5874125874125874,0.25874125874125875,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,4,all,35,0.6549019607843137,0.5792717086834734,0.28991596638655465,0.631744372308296,0.5466957090721732
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,4,classical,23,0.7252964426877472,0.6857707509881423,0.40711462450592883,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,4,quantum,12,-0.06993006993006995,-0.04195804195804196,-0.22377622377622378,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,6,all,35,0.6900175554618945,0.6681611618269593,0.5759720143155022,0.6389490473029842,0.6327710977657628
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,6,classical,23,0.7162630632871638,0.708848331783156,0.7444390430023939,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,6,quantum,12,0.4825174825174825,0.4895104895104896,0.35664335664335667,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,8,all,35,0.7288135664721269,0.7080823714235253,0.7167670612411826,0.6491550609092112,0.6383971060312056
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,8,classical,23,0.8606031698985178,0.8566486464297136,0.8161147808744703,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,8,quantum,12,0.20979020979020982,0.16083916083916086,0.2517482517482518,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,10,all,35,0.32425239942252054,0.20715736446907465,0.25477974710564355,0.19269011538744174,0.1105878713242372
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,10,classical,23,0.18532246673987582,0.1487521666365403,0.18532246673987582,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,10,quantum,12,0.6153846153846154,0.4755244755244756,0.2867132867132868,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,12,all,35,-0.387028999454639,-0.19610589910839474,-0.09637204184755396,-0.3675728378394445,-0.16842518568276446
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,12,classical,23,-0.5460835353268341,-0.5021003365539035,-0.3148010968354691,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember_m1,ember,12,quantum,12,0.06993006993006995,0.5874125874125874,0.25874125874125875,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,4,all,35,0.37675070028011204,0.2915966386554622,0.017366946778711485,0.43312022950917684,0.31304761935160436
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,4,classical,23,0.5523715415019763,0.42193675889328064,-0.07015810276679843,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,4,quantum,12,0.02097902097902098,-0.027972027972027972,0.1328671328671329,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,6,all,35,0.3151260504201681,0.3109243697478992,0.029691876750700282,0.4028085059797945,0.3635801306133543
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,6,classical,23,0.5681818181818182,0.567193675889328,0.15513833992094864,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,6,quantum,12,-0.17482517482517487,-0.1958041958041958,-0.21678321678321683,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,8,all,35,0.5428571428571429,0.5759103641456582,0.5408963585434174,0.5644906756260938,0.5991410621872659
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,8,classical,23,0.6610671936758893,0.6936758893280633,0.7213438735177865,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,8,quantum,12,0.22377622377622378,0.25874125874125875,0.1258741258741259,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,10,all,35,0.49684830295534,0.5972825384272822,0.5527384842012325,0.5254936942808283,0.6287599348010229
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,10,classical,23,0.7071905330793661,0.7625401764790091,0.743266639938062,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,10,quantum,12,0.15384615384615385,0.2867132867132868,0.3356643356643357,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,12,all,35,-0.12984102560029223,0.1012675960183509,0.05350514755049798,-0.04272959060787117,0.17661596321199713
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,12,classical,23,-0.08944897727978006,-0.10328638812969078,-0.03360514063549748,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember_m1,ember,12,quantum,12,-0.0979020979020979,0.6363636363636365,0.41958041958041964,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,4,all,35,0.3672268907563025,0.26246498599439777,-0.012605042016806725,0.41548392506928994,0.28210857717218873
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,4,classical,23,0.5523715415019763,0.42193675889328064,-0.07015810276679843,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,4,quantum,12,-0.0979020979020979,-0.1398601398601399,0.02097902097902098,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,6,all,35,0.3151260504201681,0.3109243697478992,0.029691876750700282,0.4028085059797945,0.3635801306133543
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,6,classical,23,0.5681818181818182,0.567193675889328,0.15513833992094864,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,6,quantum,12,-0.17482517482517487,-0.1958041958041958,-0.21678321678321683,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,8,all,35,0.5428571428571429,0.5759103641456582,0.5408963585434174,0.5644906756260938,0.5991410621872659
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,8,classical,23,0.6610671936758893,0.6936758893280633,0.7213438735177865,,
