status,case,run,group,quantum_kernel,quantum_stratum,tier,shots,replicate,projection_condition,self_disagreement_from_exact,exact_accuracy_upper,shot_accuracy_upper,accuracy_upper_change,exact_nearest_cfg,shot_nearest_cfg,witness_identity_stable,exact_realized_accuracy_advantage,shot_realized_accuracy_advantage,realized_accuracy_advantage_change,exact_realized_bacc_advantage,shot_realized_bacc_advantage,realized_bacc_advantage_change,shot_quantum_ood_bacc
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,0,pre_psd,0.1,0.054,0.086,0.031999999999999994,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.0020000000000000018,0.01200000000000001,-0.01472848360655743,-0.003201844262295195,0.011526639344262235,0.7565957991803278
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,0,pre_psd,0.1,0.05,0.086,0.03599999999999999,matern25_med_x0.3__svc__d12,rbf_gscale_x3__svc__d12,False,-0.02400000000000002,-0.01200000000000001,0.01200000000000001,-0.02382172131147542,-0.012295081967213184,0.011526639344262235,0.7565957991803278
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,0,independent_square_psd,0.088,0.054,0.09,0.036,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,0.006000000000000005,0.020000000000000018,-0.01472848360655743,0.00480276639344257,0.01953125,0.7646004098360656
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,0,independent_square_psd,0.088,0.05,0.09,0.039999999999999994,matern25_med_x0.3__svc__d12,rbf_gscale_x3__svc__d12,False,-0.02400000000000002,-0.0040000000000000036,0.020000000000000018,-0.02382172131147542,-0.004290471311475419,0.01953125,0.7646004098360656
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,0,nystrom_psd,0.094,0.054,0.1,0.046000000000000006,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d6,False,-0.014000000000000012,0.0,0.014000000000000012,-0.01472848360655743,-0.0015368852459016757,0.013191598360655754,0.7582607581967213
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,0,nystrom_psd,0.094,0.05,0.084,0.034,matern25_med_x0.3__svc__d12,matern25_med_x0.1__svc__d12,False,-0.02400000000000002,-0.010000000000000009,0.014000000000000012,-0.02382172131147542,-0.010630122950819665,0.013191598360655754,0.7582607581967213
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,1,pre_psd,0.07,0.054,0.092,0.038,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d6,False,-0.014000000000000012,-0.0040000000000000036,0.010000000000000009,-0.01472848360655743,-0.005443135245901676,0.009285348360655754,0.7543545081967213
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,1,pre_psd,0.07,0.05,0.08,0.03,matern25_med_x0.3__svc__d12,matern15_med__svc__d8,False,-0.02400000000000002,-0.014000000000000012,0.010000000000000009,-0.02382172131147542,-0.014536372950819665,0.009285348360655754,0.7543545081967213
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,1,independent_square_psd,0.084,0.054,0.094,0.04,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.006000000000000005,0.008000000000000007,-0.01472848360655743,-0.007396260245901676,0.007332223360655754,0.7524013831967213
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,1,independent_square_psd,0.084,0.05,0.082,0.032,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.016000000000000014,0.008000000000000007,-0.02382172131147542,-0.016489497950819665,0.007332223360655754,0.7524013831967213
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,1,nystrom_psd,0.082,0.054,0.092,0.038,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.01200000000000001,0.0020000000000000018,-0.01472848360655743,-0.013351690573770503,0.001376793032786927,0.7464459528688525
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,1,nystrom_psd,0.082,0.05,0.08,0.03,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.02200000000000002,0.0020000000000000018,-0.02382172131147542,-0.022444928278688492,0.001376793032786927,0.7464459528688525
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,2,pre_psd,0.09,0.054,0.108,0.054,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d10,True,-0.014000000000000012,0.0040000000000000036,0.018000000000000016,-0.01472848360655743,0.0024654200819671512,0.01719390368852458,0.7622630635245902
