case,run,group,quantum_kernel,quantum_stratum,tier,shots,projection_condition,n_replicates,median_self_disagreement_from_exact,q025_self_disagreement_from_exact,q975_self_disagreement_from_exact,median_exact_accuracy_upper,q025_exact_accuracy_upper,q975_exact_accuracy_upper,median_shot_accuracy_upper,q025_shot_accuracy_upper,q975_shot_accuracy_upper,median_accuracy_upper_change,q025_accuracy_upper_change,q975_accuracy_upper_change,median_realized_accuracy_advantage_change,q025_realized_accuracy_advantage_change,q975_realized_accuracy_advantage_change,median_realized_bacc_advantage_change,q025_realized_bacc_advantage_change,q975_realized_bacc_advantage_change,median_shot_quantum_ood_bacc,q025_shot_quantum_ood_bacc,q975_shot_quantum_ood_bacc,witness_identity_stability
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,independent_square_psd,30,0.094,0.0829,0.10855,0.054,0.054,0.054,0.104,0.08145000000000001,0.12,0.049999999999999996,0.027450000000000002,0.066,0.006000000000000005,-0.0065500000000000055,0.022550000000000018,0.0057633196721311175,-0.007287397540983623,0.02213434938524592,0.7508324795081966,0.737781762295082,0.7672035092213115,0.23333333333333334
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,nystrom_psd,30,0.092,0.082,0.10984999999999998,0.054,0.054,0.054,0.092,0.08,0.10855,0.038,0.026000000000000002,0.054549999999999994,0.0050000000000000044,-0.009100000000000007,0.016000000000000014,0.0045466188524589946,-0.009515881147540957,0.015528944672131062,0.7496157786885246,0.7355532786885246,0.7605981045081966,0.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,pre_psd,30,0.094,0.07725,0.11055,0.054,0.054,0.054,0.1,0.08145000000000001,0.11309999999999999,0.046000000000000006,0.027450000000000002,0.0591,0.010000000000000009,-0.0065500000000000055,0.020550000000000016,0.009861680327868827,-0.0073738473360656165,0.020346919825819678,0.7549308401639344,0.7376953125,0.7654160796618853,0.16666666666666666
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,512,independent_square_psd,30,0.09,0.0749,0.21569999999999995,0.054,0.054,0.054,0.087,0.0738,0.23004999999999998,0.032999999999999995,0.0198,0.17604999999999998,-0.0040000000000000036,-0.10254999999999997,0.011650000000000002,-0.004482581967213073,-0.10240138319672133,0.011403368340163918,0.7405865778688525,0.6426677766393443,0.7564725281762295,0.3
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,512,nystrom_psd,30,0.088,0.076,0.14184999999999998,0.054,0.054,0.054,0.08499999999999999,0.07235,0.1662,0.031,0.018349999999999998,0.1122,-0.0050000000000000044,-0.04565000000000004,0.013100000000000006,-0.005363089139344246,-0.04526207095286884,0.01305471951844266,0.7397060706967213,0.6998070888831968,0.7581238793545082,0.26666666666666666
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,512,pre_psd,30,0.086,0.072,0.10474999999999998,0.054,0.054,0.054,0.08499999999999999,0.074,0.11154999999999994,0.031,0.019999999999999997,0.05754999999999994,0.006000000000000005,-0.0033000000000000017,0.016550000000000013,0.005571209016393408,-0.003798988217213072,0.01634461449795082,0.750640368852459,0.7412701716188526,0.7614137743340164,0.03333333333333333
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,2048,independent_square_psd,30,0.1,0.0718,0.13055,0.054,0.054,0.054,0.122,0.0769,0.14964999999999998,0.068,0.0229,0.09565,-0.01200000000000001,-0.048550000000000045,0.008000000000000007,-0.012583247950819665,-0.049294793801229475,0.00805744108606562,0.7324859118852459,0.6957743660348361,0.7531266009221312,0.9
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,2048,nystrom_psd,30,0.062,0.042,0.09274999999999999,0.054,0.054,0.054,0.088,0.07089999999999999,0.12054999999999999,0.033999999999999996,0.0169,0.06655,0.0030000000000000027,-0.03200000000000003,0.020200000000000006,0.002545466188524581,-0.032001632940573746,0.019997918801229538,0.7476146260245902,0.7130675268954918,0.7650670786372952,0.9333333333333333
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,2048,pre_psd,30,0.078,0.05925,0.09584999999999998,0.054,0.054,0.054,0.092,0.076,0.11824999999999997,0.038,0.022,0.06424999999999996,0.0020000000000000018,-0.02330000000000002,0.018550000000000014,0.001376793032786927,-0.0232101690573771,0.018343365778688493,0.7464459528688525,0.7218589907786885,0.763412525614754,0.6666666666666666
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,8192,independent_square_psd,30,0.051000000000000004,0.0398,0.064,0.054,0.054,0.054,0.084,0.06945000000000001,0.09255,0.030000000000000006,0.015450000000000007,0.038549999999999994,0.010000000000000009,-0.005100000000000004,0.020550000000000016,0.009477459016393408,-0.005503970286885217,0.020121189805327882,0.754546618852459,0.7395651895491804,0.7651903496413934,0.9666666666666667
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,8192,nystrom_psd,30,0.039,0.0289,0.058,0.054,0.054,0.054,0.074,0.05835,0.084,0.019999999999999997,0.00435,0.030000000000000006,0.015000000000000013,0.0020000000000000018,0.027650000000000015,0.01479252049180324,0.0018042392418032072,0.027220478995901683,0.7598616803278688,0.7468733990778688,0.7722896388319672,1.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,8192,pre_psd,30,0.053,0.0449,0.06655,0.054,0.054,0.054,0.083,0.0669,0.09819999999999998,0.029000000000000005,0.012900000000000005,0.04419999999999999,0.01200000000000001,0.0020000000000000018,0.02200000000000002,0.011430584016393408,0.0016553534836065253,0.021712506403688495,0.756499743852459,0.7467245133196722,0.7667816662397541,1.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,independent_square_psd,30,0.094,0.0829,0.10855,0.05,0.05,0.05,0.09,0.08,0.1011,0.039999999999999994,0.03,0.05109999999999999,0.006000000000000005,-0.0065500000000000055,0.022550000000000018,0.0057633196721311175,-0.007287397540983623,0.02213434938524592,0.7508324795081966,0.737781762295082,0.7672035092213115,0.06666666666666667
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,nystrom_psd,30,0.092,0.082,0.10984999999999998,0.05,0.05,0.05,0.082,0.072,0.09874999999999999,0.032,0.021999999999999992,0.04874999999999998,0.0050000000000000044,-0.009100000000000007,0.016000000000000014,0.0045466188524589946,-0.009515881147540957,0.015528944672131062,0.7496157786885246,0.7355532786885246,0.7605981045081966,0.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,pre_psd,30,0.094,0.07725,0.11055,0.05,0.05,0.05,0.088,0.078,0.1,0.03799999999999999,0.027999999999999997,0.05,0.010000000000000009,-0.0065500000000000055,0.020550000000000016,0.009861680327868827,-0.0073738473360656165,0.020346919825819678,0.7549308401639344,0.7376953125,0.7654160796618853,0.06666666666666667
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,512,independent_square_psd,30,0.09,0.0749,0.21569999999999995,0.05,0.05,0.05,0.083,0.06945000000000001,0.21585,0.033,0.019450000000000002,0.16584999999999997,-0.0040000000000000036,-0.10254999999999997,0.011650000000000002,-0.004482581967213073,-0.10240138319672133,0.011403368340163918,0.7405865778688525,0.6426677766393443,0.7564725281762295,0.3
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,512,nystrom_psd,30,0.088,0.076,0.14184999999999998,0.05,0.05,0.05,0.08,0.066,0.13674999999999998,0.03,0.016,0.08674999999999998,-0.0050000000000000044,-0.04565000000000004,0.013100000000000006,-0.005363089139344246,-0.04526207095286884,0.01305471951844266,0.7397060706967213,0.6998070888831968,0.7581238793545082,0.3333333333333333
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,512,pre_psd,30,0.086,0.072,0.10474999999999998,0.05,0.05,0.05,0.08,0.07145,0.09984999999999998,0.03,0.021449999999999997,0.04984999999999998,0.006000000000000005,-0.0033000000000000017,0.016550000000000013,0.005571209016393408,-0.003798988217213072,0.01634461449795082,0.750640368852459,0.7412701716188526,0.7614137743340164,0.03333333333333333
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,2048,independent_square_psd,30,0.1,0.0718,0.13055,0.05,0.05,0.05,0.098,0.07145,0.13004999999999997,0.048,0.021449999999999997,0.08004999999999997,-0.01200000000000001,-0.048550000000000045,0.008000000000000007,-0.012583247950819665,-0.049294793801229475,0.00805744108606562,0.7324859118852459,0.6957743660348361,0.7531266009221312,0.9333333333333333
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,2048,nystrom_psd,30,0.062,0.042,0.09274999999999999,0.05,0.05,0.05,0.062,0.0478,0.08094999999999997,0.011999999999999997,-0.0021999999999999993,0.03094999999999997,0.0030000000000000027,-0.03200000000000003,0.020200000000000006,0.002545466188524581,-0.032001632940573746,0.019997918801229538,0.7476146260245902,0.7130675268954918,0.7650670786372952,0.9333333333333333
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,2048,pre_psd,30,0.078,0.05925,0.09584999999999998,0.05,0.05,0.05,0.075,0.05945,0.10474999999999998,0.024999999999999994,0.009449999999999997,0.05474999999999998,0.0020000000000000018,-0.02330000000000002,0.018550000000000014,0.001376793032786927,-0.0232101690573771,0.018343365778688493,0.7464459528688525,0.7218589907786885,0.763412525614754,0.7
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,8192,independent_square_psd,30,0.051000000000000004,0.0398,0.064,0.05,0.05,0.05,0.05,0.038,0.06874999999999999,0.0,-0.012000000000000004,0.018749999999999985,0.010000000000000009,-0.005100000000000004,0.020550000000000016,0.009477459016393408,-0.005503970286885217,0.020121189805327882,0.754546618852459,0.7395651895491804,0.7651903496413934,1.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,8192,nystrom_psd,30,0.039,0.0289,0.058,0.05,0.05,0.05,0.043,0.03145,0.054199999999999984,-0.007000000000000003,-0.018550000000000004,0.004199999999999983,0.015000000000000013,0.0020000000000000018,0.027650000000000015,0.01479252049180324,0.0018042392418032072,0.027220478995901683,0.7598616803278688,0.7468733990778688,0.7722896388319672,1.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,8192,pre_psd,30,0.053,0.0449,0.06655,0.05,0.05,0.05,0.051000000000000004,0.03945,0.06255,0.0009999999999999974,-0.010550000000000002,0.012549999999999995,0.01200000000000001,0.0020000000000000018,0.02200000000000002,0.011430584016393408,0.0016553534836065253,0.021712506403688495,0.756499743852459,0.7467245133196722,0.7667816662397541,1.0
01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,pauli_xz_r1_full__as2,product_map,customary_30,128,independent_square_psd,30,0.13,0.11524999999999999,0.17239999999999986,0.064,0.064,0.064,0.063,0.0489,0.12384999999999974,-0.0010000000000000009,-0.015099999999999999,0.059849999999999744,0.01200000000000001,-0.018499999999999982,0.02400000000000002,0.013111552254098324,-0.0181864754098361,0.024616579149590184,0.7372406506147541,0.7059426229508197,0.7487456775102459,0.03333333333333333
01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,pauli_xz_r1_full__as2,product_map,customary_30,128,nystrom_psd,30,0.134,0.122,0.15424999999999994,0.064,0.064,0.064,0.052,0.04235,0.09189999999999983,-0.012000000000000004,-0.021650000000000003,0.027899999999999828,0.013000000000000012,-0.006950000000000005,0.028000000000000025,0.01404008709016391,-0.006278016137295065,0.028837410348360622,0.7381691854508197,0.7178510822233607,0.7529665087090164,0.0
