family,model,dim,cfg,kernel,split,regularization,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,feature_policy,n_input_features,n_retained_features,n_removed_features,removed_features,id_split_hash_salt
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,train_cv,100.0,0.8959604440314812,0.00858616828918457,0.872,0.8637619690251269,0.8675145733969263,0.8918918918918919,0.935672514619883,0.904416210944525,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,train_cv,100.0,0.8959604440314812,0.00858616828918457,0.868,0.8610307820834137,0.8643516006511123,0.8865979381443299,0.9239766081871346,0.8686982134053041,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,train_cv,100.0,0.8959604440314812,0.00858616828918457,0.876,0.8849651702786377,0.8759285348360656,0.87890625,0.9046697626418989,0.8496865577448125,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_val,fixed_c1,1.0,,0.006592512130737305,0.856,0.8461538461538461,0.8494882600842866,0.8807947019867549,0.9138230190861769,0.8697162056758692,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,fixed_c1,1.0,,0.006592512130737305,0.86,0.8504273504273504,0.8539207666238168,0.8837209302325582,0.9212775528565003,0.8942053900518869,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,fixed_c1,1.0,,0.006592512130737305,0.846,0.8584558823529411,0.8453262411062589,0.8555347091932458,0.810548890608875,0.6301322432608161,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_val,train_cv,100.0,0.8959109096546236,0.013005256652832031,0.872,0.8642760748023905,0.8679083283798956,0.891156462585034,0.9423558897243107,0.9158959895689468,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,train_cv,100.0,0.8959109096546236,0.013005256652832031,0.876,0.8700918964076858,0.8732230783072419,0.89198606271777,0.9257759784075573,0.8761838223321547,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,train_cv,100.0,0.8959109096546236,0.013005256652832031,0.876,0.8849651702786377,0.8759285348360656,0.87890625,0.9121194530443757,0.8676192725755821,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,id_val,fixed_c1,1.0,,0.004999637603759766,0.864,0.8547008547008548,0.8583333333333334,0.8866666666666667,0.9381145170618854,0.9143986199146845,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,id_test,fixed_c1,1.0,,0.004999637603759766,0.86,0.850941456204614,0.854406895289439,0.882943143812709,0.9061114324272219,0.8292463742803122,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
