spec_id,spec_label,model,dataset_equal_delta,n_datasets,min_dataset_delta,max_dataset_delta
S1,Legacy oracle; C=1; linear/RBF; native,gpc,0.03402980000725308,3,0.028273618051395055,0.044453615161057156
S1,Legacy oracle; C=1; linear/RBF; native,svc,0.03130048858453966,3,0.020256878576014395,0.03738456760270292
S2,Legacy ID-selected; C=1; linear/RBF; native,gpc,0.04180922954411789,3,0.02342521688491566,0.07558855152034262
S2,Legacy ID-selected; C=1; linear/RBF; native,svc,0.04746416674055901,3,0.02356514906755308,0.08473780902832047
S3,Legacy oracle; C=1; extended; native,gpc,0.014548673832696124,3,0.0023107233921614476,0.021483971450593657
S3,Legacy oracle; C=1; extended; native,svc,0.005799580982372817,3,0.0044278794649019425,0.006955570912964982
S4,Legacy ID-selected; C=1; extended; native,gpc,0.012197164339628752,3,-0.000551234301255693,0.02201081579456797
S4,Legacy ID-selected; C=1; extended; native,svc,0.0014152796235409337,3,-0.002614046486878302,0.006944680285973815
S5,v4 oracle; train-CV; linear/RBF; native,gpc,0.012454909638106708,3,0.0075791162773636254,0.01686015936196205
S5,v4 oracle; train-CV; linear/RBF; native,svc,0.0034484541520476072,3,0.00022763652966347261,0.007330068819147499
S6,v4 ID-validation; train-CV; linear/RBF; native,gpc,0.005906911264276949,3,-0.00062633122321345,0.01336774743346925
S6,v4 ID-validation; train-CV; linear/RBF; native,svc,-0.004073294840264066,3,-0.009429611518097899,0.0021989086760356505
S7,v4 oracle; train-CV; extended; native,gpc,0.001233007134206983,3,0.0005450331785761984,0.0020737441744886
S7,v4 oracle; train-CV; extended; native,svc,-0.005380243449706533,3,-0.011830402058269449,-8.782788907119997e-05
S8,v4 ID-validation; train-CV; extended; native,gpc,-0.0029273780341101644,3,-0.0073565178628543,-0.00011007058657864379
S8,v4 ID-validation; train-CV; extended; native,svc,-0.0037786940587188084,3,-0.0050281342392098005,-0.0024844646162059747
S9,v4 oracle; train-CV; extended; equal budget,gpc,0.0038206468958270484,3,0.0030620399567950147,0.004292636396256915
S9,v4 oracle; train-CV; extended; equal budget,svc,-0.003199216315437724,3,-0.008221797513979853,0.0008311786104611429
S10,v4 ID-validation; train-CV; extended; equal budget,gpc,-0.0009374629820545832,3,-0.004690302595400082,0.000988330660107368
S10,v4 ID-validation; train-CV; extended; equal budget,svc,-0.005649277466020212,3,-0.007943865071880593,-0.0029000590267009765
