dim,kernel,family,representation,spec_train_eff_rank,kta_train
4,linear,classical_ext_plain,plain,3.2098464558371997,0.09178080246399231
4,rbf_gscale,classical_ext_plain,plain,6.350337516014188,0.09728437009499533
4,poly2,classical_ext_plain,plain,4.185681694255881,0.09292929365525937
4,poly3,classical_ext_plain,plain,5.787393341079956,0.09436160644862208
4,laplacian_med,classical_ext_plain,plain,20.001727392066464,0.0944508321751004
4,matern15_med,classical_ext_plain,plain,8.26919725748198,0.09806069116839879
4,matern25_med,classical_ext_plain,plain,6.677228195520957,0.09745248949905566
6,linear,classical_ext_plain,plain,4.811864640675096,0.0706510353647458
6,rbf_gscale,classical_ext_plain,plain,10.778578259524927,0.07679649122032466
6,poly2,classical_ext_plain,plain,6.458579168742527,0.07018728255145278
6,poly3,classical_ext_plain,plain,9.797447108206422,0.07236682602467738
6,laplacian_med,classical_ext_plain,plain,20.81103314010729,0.0776568368540611
6,matern15_med,classical_ext_plain,plain,9.120719253019416,0.0760149233425033
6,matern25_med,classical_ext_plain,plain,7.39711490893062,0.07522678643249432
8,linear,classical_ext_plain,plain,6.009306882800267,0.06939255854107841
8,rbf_gscale,classical_ext_plain,plain,12.556772688954258,0.07235154772605272
8,poly2,classical_ext_plain,plain,7.632814274641376,0.0691720597517368
8,poly3,classical_ext_plain,plain,11.589253791041141,0.07199178638836361
8,laplacian_med,classical_ext_plain,plain,21.433113571983192,0.07424870027404644
8,matern15_med,classical_ext_plain,plain,9.640911169623001,0.07225334118190212
8,matern25_med,classical_ext_plain,plain,7.909133528483083,0.07114789447956985
10,linear,classical_ext_plain,plain,7.002766692901026,0.07449778043451122
10,rbf_gscale,classical_ext_plain,plain,12.98903456544979,0.07185256468110178
10,poly2,classical_ext_plain,plain,8.000074986525222,0.07240152260644606
10,poly3,classical_ext_plain,plain,12.318526037714587,0.07412712913485418
10,laplacian_med,classical_ext_plain,plain,22.75960636804507,0.07598159324272491
10,matern15_med,classical_ext_plain,plain,10.273927984767585,0.07350567427529657
10,matern25_med,classical_ext_plain,plain,8.356025959106836,0.07237214986221248
12,linear,classical_ext_plain,plain,8.054646909202223,0.07984329201160857
12,rbf_gscale,classical_ext_plain,plain,14.769219836668467,0.07135748919632288
12,poly2,classical_ext_plain,plain,8.851530798845099,0.07360545869613629
12,poly3,classical_ext_plain,plain,13.904643763026712,0.07499132299967483
12,laplacian_med,classical_ext_plain,plain,25.124938896595413,0.07674489591053144
12,matern15_med,classical_ext_plain,plain,11.37397770912343,0.07365136110882248
12,matern25_med,classical_ext_plain,plain,9.150541021843136,0.07209853034693499
