task,model,quantum_stratum,tier,policy,threshold,n_seed_draws,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,probability_by_25,probability_by_50,probability_by_100
brfss_diabetes,gpc,product_map,customary_30,hash_all,0.005,1000,1.0,0.0,0.0,260.07499999999993,0.0,403.0,0.8,0.804,0.821
brfss_diabetes,gpc,product_map,customary_30,hash_all,0.01,1000,1.0,0.0,0.0,171.02499999999998,0.0,269.0,0.812,0.843,0.904
brfss_diabetes,gpc,product_map,customary_30,hash_all,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,nonadaptive_initial_coverage,0.005,1000,1.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,nonadaptive_initial_coverage,0.01,1000,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,nonadaptive_initial_coverage,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,random_active_disagreement,0.005,1000,1.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,random_active_disagreement,0.01,1000,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,random_active_disagreement,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,full_115,hash_all,0.005,1000,1.0,0.0,0.0,234.0,0.0,347.0,0.8,0.801,0.821
brfss_diabetes,gpc,product_map,full_115,hash_all,0.01,1000,1.0,0.0,0.0,162.0,0.0,336.0,0.807,0.837,0.924
brfss_diabetes,gpc,product_map,full_115,hash_all,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,full_115,nonadaptive_initial_coverage,0.005,1000,1.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,full_115,nonadaptive_initial_coverage,0.01,1000,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,full_115,nonadaptive_initial_coverage,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,full_115,random_active_disagreement,0.005,1000,1.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,full_115,random_active_disagreement,0.01,1000,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,full_115,random_active_disagreement,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
brfss_diabetes,svc,product_map,customary_30,hash_all,0.005,1000,1.0,264.0,19.975,375.025,3.0,412.0,0.036,0.07,0.146
brfss_diabetes,svc,product_map,customary_30,hash_all,0.01,1000,1.0,112.0,0.0,339.025,0.0,400.0,0.283,0.357,0.475
brfss_diabetes,svc,product_map,customary_30,hash_all,0.02,1000,1.0,0.0,0.0,165.02499999999998,0.0,345.0,0.836,0.866,0.919
brfss_diabetes,svc,product_map,customary_30,nonadaptive_initial_coverage,0.005,1000,1.0,5.0,1.0,333.0,1.0,390.0,0.8,0.8,0.8
brfss_diabetes,svc,product_map,customary_30,nonadaptive_initial_coverage,0.01,1000,1.0,2.0,0.0,12.0,0.0,12.0,1.0,1.0,1.0
brfss_diabetes,svc,product_map,customary_30,nonadaptive_initial_coverage,0.02,1000,1.0,0.0,0.0,5.0,0.0,8.0,1.0,1.0,1.0
brfss_diabetes,svc,product_map,customary_30,random_active_disagreement,0.005,1000,1.0,5.0,1.0,27.0,1.0,27.0,0.924,1.0,1.0
brfss_diabetes,svc,product_map,customary_30,random_active_disagreement,0.01,1000,1.0,2.0,0.0,12.0,0.0,12.0,1.0,1.0,1.0
brfss_diabetes,svc,product_map,customary_30,random_active_disagreement,0.02,1000,1.0,0.0,0.0,5.0,0.0,7.0,1.0,1.0,1.0
brfss_diabetes,svc,product_map,full_115,hash_all,0.005,1000,1.0,221.5,11.975000000000001,352.0,1.0,414.0,0.055,0.109,0.218
brfss_diabetes,svc,product_map,full_115,hash_all,0.01,1000,1.0,91.0,0.0,301.04999999999995,0.0,396.0,0.418,0.443,0.516
brfss_diabetes,svc,product_map,full_115,hash_all,0.02,1000,1.0,0.0,0.0,151.0,0.0,260.0,0.84,0.87,0.928
brfss_diabetes,svc,product_map,full_115,nonadaptive_initial_coverage,0.005,1000,1.0,5.0,1.0,313.0,1.0,353.0,0.8,0.8,0.806
brfss_diabetes,svc,product_map,full_115,nonadaptive_initial_coverage,0.01,1000,1.0,2.0,0.0,12.0,0.0,12.0,1.0,1.0,1.0
brfss_diabetes,svc,product_map,full_115,nonadaptive_initial_coverage,0.02,1000,1.0,0.0,0.0,5.0,0.0,8.0,1.0,1.0,1.0
brfss_diabetes,svc,product_map,full_115,random_active_disagreement,0.005,1000,1.0,5.0,1.0,17.0,1.0,17.0,1.0,1.0,1.0
brfss_diabetes,svc,product_map,full_115,random_active_disagreement,0.01,1000,1.0,2.0,0.0,12.0,0.0,12.0,1.0,1.0,1.0
brfss_diabetes,svc,product_map,full_115,random_active_disagreement,0.02,1000,1.0,0.0,0.0,4.0,0.0,8.0,1.0,1.0,1.0
