task,seed,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,status,n_positive,n_signatures,bacc_lower,bacc_upper,realized_balanced_accuracy_advantage
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,77,155,-0.43026004728132394,0.03364956556445919,-0.026572718062079725
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,77,222,-0.5000000000000001,0.03364956556445918,-0.029520125264806074
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,77,27,-0.3140523778821651,-0.0,-0.05308403180743604
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,77,61,-0.34651991034969765,-0.0,-0.06252494550366894
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,76,98,-0.35966981132075465,0.028674280039721944,-0.0053997020854023026
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,76,139,-0.35966981132075465,0.02631578947368421,-0.030163853028798426
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,76,29,-0.24342105263157893,0.006578947368421052,-0.0652929493545184
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,76,69,-0.270916087388282,0.006578947368421052,-0.07981628599801388
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,96,120,-0.4282178217821782,0.01758457095709571,-0.04290429042904287
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,96,192,-0.4282178217821782,0.01758457095709571,-0.04290429042904287
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,96,28,-0.12474216171617164,0.010416666666666666,-0.04563737623762376
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,96,58,-0.14557549504950495,0.010416666666666666,-0.046875
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,87,112,-0.38498789346246975,0.023600790403829564,-0.02662046700620646
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,87,147,-0.38498789346246975,0.023600790403829564,-0.02662046700620646
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,87,27,-0.18511869973003814,0.0012106537530266344,-0.05292087612368146
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,87,53,-0.2138543319139462,0.0012106537530266344,-0.05292087612368146
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,89,144,-0.3589764619043714,0.019751770141337926,-0.0332431176358019
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,89,183,-0.3589764619043714,0.019751770141337926,-0.0332431176358019
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,89,28,-0.17583859591568934,0.05056179775280899,-0.0645178927800103
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,89,65,-0.2083299160720632,0.04297547773312556,-0.07163946526695641
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,116,146,-0.5335398706896551,0.01854346264367816,-0.010012571839080553
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,116,245,-0.5335398706896551,0.01854346264367816,-0.01302083333333337
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,116,84,-0.10093390804597702,0.012526939655172414,-0.022359913793103425
