task,seed,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,zero_label_lower,zero_label_upper,disagreement_min,disagreement_max,n_positive,quantum_accuracy,best_classical_accuracy,realized_accuracy_advantage,quantum_balanced_accuracy,best_classical_balanced_accuracy,realized_balanced_accuracy_advantage
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,customary_30,500,30,-0.426,0.012,0.012,0.426,77,0.692,0.832,-0.14,0.701114488348531,0.7276872064106107,-0.026572718062079725
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,full_115,500,115,-0.57,0.012,0.012,0.57,77,0.692,0.846,-0.15400000000000003,0.701114488348531,0.730634613613337,-0.029520125264806074
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.1,0.0,0.0,0.1,77,0.846,0.854,-0.008000000000000007,0.5053114733965798,0.5583955052040158,-0.05308403180743604
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.11,0.0,0.0,0.11,77,0.846,0.854,-0.008000000000000007,0.5053114733965798,0.5678364189002487,-0.06252494550366894
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.478,0.012,0.012,0.478,76,0.692,0.836,-0.14400000000000002,0.7428003972194637,0.748200099304866,-0.0053997020854023026
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.498,0.008,0.008,0.498,76,0.692,0.848,-0.15600000000000003,0.7428003972194637,0.7729642502482621,-0.030163853028798426
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.074,0.002,0.002,0.074,76,0.846,0.856,-0.010000000000000009,0.4988207547169811,0.5641137040714995,-0.0652929493545184
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.084,0.002,0.002,0.084,76,0.846,0.856,-0.010000000000000009,0.4988207547169811,0.578637040714995,-0.07981628599801388
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.612,0.008,0.008,0.612,96,0.7,0.744,-0.04400000000000004,0.7111179867986799,0.7540222772277227,-0.04290429042904287
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.612,0.008,0.008,0.612,96,0.7,0.81,-0.1100000000000001,0.7111179867986799,0.7540222772277227,-0.04290429042904287
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.054,0.004,0.004,0.054,96,0.798,0.814,-0.015999999999999903,0.501753300330033,0.5473906765676567,-0.04563737623762376
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.062,0.004,0.004,0.062,96,0.798,0.816,-0.017999999999999905,0.501753300330033,0.548628300330033,-0.046875
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,customary_30,500,30,-0.4,0.024,0.024,0.4,87,0.73,0.81,-0.08000000000000007,0.7685146530850797,0.7951351200912862,-0.02662046700620646
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,full_115,500,115,-0.4,0.024,0.024,0.4,87,0.73,0.826,-0.09599999999999997,0.7685146530850797,0.7951351200912862,-0.02662046700620646
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.066,0.002,0.002,0.066,87,0.832,0.834,-0.0020000000000000018,0.5172413793103449,0.5701622554340263,-0.05292087612368146
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.076,0.002,0.002,0.076,87,0.832,0.834,-0.0020000000000000018,0.5172413793103449,0.5701622554340263,-0.05292087612368146
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,customary_30,500,30,-0.38,0.018,0.018,0.38,89,0.704,0.814,-0.10999999999999999,0.7231198228491758,0.7563629404849777,-0.0332431176358019
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,full_115,500,115,-0.394,0.018,0.018,0.394,89,0.704,0.822,-0.118,0.7231198228491758,0.7563629404849777,-0.0332431176358019
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.072,0.018,0.018,0.072,89,0.8,0.826,-0.025999999999999912,0.4910194373821045,0.5555373301621148,-0.0645178927800103
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.082,0.018,0.018,0.082,89,0.8,0.826,-0.025999999999999912,0.4910194373821045,0.5626589026490609,-0.07163946526695641
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.314,0.01,0.01,0.314,116,0.754,0.78,-0.026000000000000023,0.7285380747126436,0.7385506465517242,-0.010012571839080553
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.67,0.01,0.01,0.67,116,0.754,0.784,-0.030000000000000027,0.7285380747126436,0.741558908045977,-0.01302083333333337
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.098,0.01,0.01,0.098,116,0.798,0.802,-0.0040000000000000036,0.6157956178160919,0.6381555316091954,-0.022359913793103425
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.098,0.01,0.01,0.098,116,0.798,0.802,-0.0040000000000000036,0.6157956178160919,0.6381555316091954,-0.022359913793103425
