task,seed,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,policy,threshold,n_labels,n_informative_counterexamples
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,0,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,0,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,0,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,0,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,8,4
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,5,2
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,8,4
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,4,2
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,4,4
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,2,2
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,4,4
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,2,2
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,4,2
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,5,2
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,5,2
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,2,2
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,4,3
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,1,1
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,3,3
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,1,1
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,2,1
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,1,1
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,999,svc,zmap_r2,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,80,43
acsfoodstamps,999,svc,zmap_r2,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,78,42
acsfoodstamps,999,svc,zmap_r2,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,71,39
acsfoodstamps,999,svc,zmap_r2,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,81,41
acsfoodstamps,999,svc,zmap_r2,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,76,40
acsfoodstamps,999,svc,zmap_r2,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,70,37
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,6,5
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,3,3
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,1,1
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,6,5
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,3,3
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,1,1
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,4,2
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,2,2
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,31,14
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,14,6
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,11,4
