task,seed,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,policy,threshold,n_labels
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,2
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,1
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,2
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,1
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,2
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,1
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,1
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,0
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,0
