model,kernel,delta_ood,setting,qs,seed
gpc,matern15_med,0.016773615400617704,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
gpc,matern25_med,0.07892976588628768,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
gpc,poly2,-0.03798627002288333,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
gpc,poly3,-0.00786193211822508,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
gpc,rbf_gscale,0.04727560768750698,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
svc,laplacian_med,-0.006159286937319019,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
svc,linear,0.013382727112704228,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
svc,matern15_med,0.05365572642460521,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
svc,matern25_med,0.08406970603766946,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
svc,poly2,-0.00409979036981325,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
svc,poly3,-0.02896897153190057,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
svc,rbf_gscale,0.12147669264374075,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
gpc,laplacian_med,-0.005871245459346097,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
gpc,linear,0.012870653374085883,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
gpc,matern15_med,0.01636875710102257,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
gpc,matern25_med,0.07892976588628768,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
gpc,poly2,-0.03798627002288333,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
gpc,poly3,-0.00786193211822508,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
gpc,rbf_gscale,0.04727560768750698,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
svc,laplacian_med,-0.006159286937319019,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
svc,linear,0.012592213278712117,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
svc,matern15_med,0.05365572642460521,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
svc,matern25_med,0.08406970603766946,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
svc,poly2,-0.004495047286809295,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
svc,poly3,-0.029373829831495703,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
svc,rbf_gscale,0.12066697604455043,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
gpc,laplacian_med,-0.000411522633744843,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
gpc,linear,-0.0011144737474179766,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
gpc,matern15_med,0.0021961217594594017,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
gpc,matern25_med,0.0020952426702534723,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
gpc,poly2,0.029885830491105048,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
gpc,poly3,0.03943411634721623,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
gpc,rbf_gscale,0.038767193479688086,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
svc,laplacian_med,-0.002180909833309341,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
svc,linear,0.013019807529102857,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
svc,matern15_med,-0.001129685673568015,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
svc,matern25_med,-0.0008902979936269873,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
svc,poly2,0.024050055243310785,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
svc,poly3,0.028386254823781855,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
svc,rbf_gscale,0.03039102656482682,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
gpc,laplacian_med,-0.000411522633744843,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
gpc,linear,-0.0011144737474179766,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
gpc,matern15_med,0.0021961217594594017,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
gpc,matern25_med,0.0020952426702534723,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
gpc,poly2,0.029885830491105048,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
gpc,poly3,0.03943411634721623,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
gpc,rbf_gscale,0.038767193479688086,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
svc,laplacian_med,-0.0019863573041264625,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
svc,linear,0.013019807529102857,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
svc,matern15_med,-0.001129685673568015,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
svc,matern25_med,-0.0008902979936269873,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
svc,poly2,0.024050055243310785,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
svc,poly3,0.028191702294598976,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
svc,rbf_gscale,0.03039102656482682,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42
gpc,laplacian_med,-0.000411522633744843,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
gpc,linear,-0.0011144737474179766,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
gpc,matern15_med,0.0021961217594594017,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
gpc,matern25_med,0.0020952426702534723,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
gpc,poly2,0.029885830491105048,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
gpc,poly3,0.03943411634721623,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
gpc,rbf_gscale,0.038767193479688086,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
svc,laplacian_med,-0.002180909833309341,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
svc,linear,0.013019807529102857,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
svc,matern15_med,-0.001129685673568015,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
svc,matern25_med,-0.0006957454644441086,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
svc,poly2,0.024050055243310785,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
svc,poly3,0.028386254823781855,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
svc,rbf_gscale,0.03039102656482682,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999
gpc,laplacian_med,0.007566147735280926,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
gpc,linear,0.012760266512909246,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
gpc,matern15_med,0.01318149785380227,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
gpc,matern25_med,0.0102504965084246,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
gpc,poly2,0.025192196809532996,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
gpc,poly3,0.037489589339483584,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
gpc,rbf_gscale,0.013889422768915315,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
svc,laplacian_med,0.0010971234544173037,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
svc,linear,0.03034947786533413,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
svc,matern15_med,0.007902492151963614,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
svc,matern25_med,0.0051797040169133226,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
svc,poly2,0.010538791722724072,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
svc,poly3,0.024455442372989977,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
