dim,kernel,family,representation,spec_train_eff_rank,kta_train,setting,qs,seed
6,linear,classical_ext_plain,plain,4.6289568635509735,0.0900774457704722,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
6,rbf_gscale,classical_ext_plain,plain,12.258977570844213,0.0880077483304771,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
6,poly2,classical_ext_plain,plain,6.998729518434732,0.0902550852676477,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
6,poly3,classical_ext_plain,plain,10.544293934142155,0.0875174394987878,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
6,laplacian_med,classical_ext_plain,plain,19.579007124727525,0.0867402650780018,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
6,matern15_med,classical_ext_plain,plain,8.658372925627722,0.088809805531281,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
6,matern25_med,classical_ext_plain,plain,7.035321814061993,0.089534547393783,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
8,linear,classical_ext_plain,plain,6.211698081250337,0.0887735494295112,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
8,rbf_gscale,classical_ext_plain,plain,15.735310056771151,0.0829709071451983,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
8,poly2,classical_ext_plain,plain,8.7287258659204,0.0872844437937471,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
8,poly3,classical_ext_plain,plain,13.563244071223052,0.0844603100089008,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
8,laplacian_med,classical_ext_plain,plain,22.507594637072145,0.0819677644890008,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
8,matern15_med,classical_ext_plain,plain,10.009332930765542,0.0845438199518405,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
8,matern25_med,classical_ext_plain,plain,8.114938134745373,0.0855530535020704,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
10,linear,classical_ext_plain,plain,7.249344327036869,0.0888436019720033,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
10,rbf_gscale,classical_ext_plain,plain,16.161112135972385,0.0800787230758098,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
10,poly2,classical_ext_plain,plain,9.126899218685992,0.0868339690890848,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
10,poly3,classical_ext_plain,plain,14.496278254688244,0.0837370938794671,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
10,laplacian_med,classical_ext_plain,plain,26.560712932421605,0.0796905202584426,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
10,matern15_med,classical_ext_plain,plain,11.395310384254069,0.0814479420986543,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
10,matern25_med,classical_ext_plain,plain,9.183390485712769,0.082521216543039,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
12,linear,classical_ext_plain,plain,8.216267656867316,0.0896485472484012,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
12,rbf_gscale,classical_ext_plain,plain,16.697240733098397,0.0765585675659838,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
12,poly2,classical_ext_plain,plain,9.540158578354754,0.0846742482164981,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
12,poly3,classical_ext_plain,plain,15.207260387127643,0.081497358156853,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
12,laplacian_med,classical_ext_plain,plain,27.78264870882709,0.0771465673636851,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
12,matern15_med,classical_ext_plain,plain,12.076287608225796,0.078642789272841,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
12,matern25_med,classical_ext_plain,plain,9.706880710647813,0.0791162878330229,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
4,linear,classical_ext_plain,plain,3.0081093003384627,0.1188987855871315,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
4,rbf_gscale,classical_ext_plain,plain,6.8655879033845215,0.1177419632933978,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
4,poly2,classical_ext_plain,plain,4.377128505650036,0.1201339433858125,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
4,poly3,classical_ext_plain,plain,6.073938716594661,0.1175184544502146,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
4,laplacian_med,classical_ext_plain,plain,18.02294596606241,0.1109720703221451,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
4,matern15_med,classical_ext_plain,plain,7.388132533237641,0.1169945984138305,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
4,matern25_med,classical_ext_plain,plain,6.004042271021352,0.1180838576761845,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
6,linear,classical_ext_plain,plain,4.628957148378747,0.0900774556514398,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
6,rbf_gscale,classical_ext_plain,plain,12.25897731517454,0.0880077519885471,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
