family,model,dim,cfg,kernel,split,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc__d4,linear,id_test,0.024627685546875,0.867,0.8663438033854636,0.8665354097613793,0.874409820585458,0.92141659765314,0.9229069869129956,,,,
classical_ext,svc,4,linear__svc__d4,linear,ood_test,0.024627685546875,0.908,0.906217981557377,0.9071442413280796,0.916058394160584,0.8514144147028688,0.7486435759388929,,,,
classical_ext,gpc,4,linear__gpc__d4,linear,id_test,2.194776773452759,0.809,0.8078003288644575,0.8071858112985077,0.8258887876025525,0.9150473492804589,0.8784579043882617,0.4380542796010887,0.141593632741843,0.20522804086394164,0.48559002208204965
classical_ext,gpc,4,linear__gpc__d4,linear,ood_test,2.194776773452759,0.572,0.5754514600409837,0.5646424575322958,0.5080459770114942,0.7653328317110656,0.6729336208957906,0.5619192517001738,0.19461016638259515,0.3149591664147147,0.5666412708710312
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,0.015558481216430664,0.9,0.8988881820836885,0.8991463749173001,0.9084249084249084,0.9684458153798144,0.955538081166661,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,0.015558481216430664,0.822,0.822233606557377,0.8219821982198219,0.8237623762376237,0.8596311475409836,0.7716370594612829,,,,
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_test,2.634737491607666,0.896,0.8949714143972218,0.8952250847266383,0.9042357274401474,0.9609683497965601,0.9410355513431228,0.27002856610360226,0.07856090751306882,0.1375862362103813,0.3586937997542168
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,ood_test,2.634737491607666,0.824,0.8242827868852459,0.8239887352790578,0.8253968253968254,0.8891721631659836,0.8209454270969962,0.4163415451387192,0.13702424531003482,0.23528030237197564,0.47321109160082564
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,0.020998477935791016,0.859,0.8586502954579097,0.8588067063810356,0.8640308582449373,0.956207416653664,0.9369740848834913,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,0.020998477935791016,0.514,0.521788550204918,0.46158891094724896,0.2936046511627907,0.8730428726946722,0.7924098563593449,,,,
classical_ext,gpc,4,poly2__gpc__d4,poly2,id_test,2.287384033203125,0.854,0.8535512960540266,0.8537167957165072,0.8601532567049809,0.9499141831799033,0.9362435870962826,0.34176029328043234,0.10374804805029135,0.1085833536219336,0.43896636617905005
classical_ext,gpc,4,poly2__gpc__d4,poly2,ood_test,2.287384033203125,0.584,0.5900998975409837,0.5585738539898133,0.45263157894736844,0.8710097015881147,0.7847367243679695,0.521049129997764,0.18048251265684878,0.30024702203537135,0.5331839306373686
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,0.01800084114074707,0.859,0.8586502954579097,0.8588067063810356,0.8640308582449373,0.9552272245360091,0.9371904403660303,,,,
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,0.01800084114074707,0.515,0.522765112704918,0.4630673357844033,0.2960812772133527,0.8662749743852459,0.7832735595632752,,,,
classical_ext,gpc,4,poly3__gpc__d4,poly3,id_test,2.2043089866638184,0.855,0.8545654948369881,0.8547313983555594,0.8609779482262704,0.955555288836612,0.9428352909107166,0.31481175212452367,0.09442553816100258,0.11324109118058986,0.4078571438627197
classical_ext,gpc,4,poly3__gpc__d4,poly3,ood_test,2.2043089866638184,0.515,0.5228131403688525,0.4623244655671479,0.2940320232896652,0.8642017802254098,0.7833829110413122,0.5314980826061628,0.18852586861415743,0.3150042297322126,0.5061989307849736
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,id_test,0.011572837829589844,0.96,0.9601041804193622,0.9599985599481582,0.9602385685884692,0.9920184356133801,0.9864163175861571,,,,
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,ood_test,0.011572837829589844,0.976,0.9756980020491803,0.9759688556369055,0.9768339768339769,0.9964259413422131,0.9960196664554366,,,,
classical_ext,gpc,4,laplacian_med__gpc__d4,laplacian_med,id_test,2.572199821472168,0.973,0.972924693239875,0.9729902494800624,0.9735034347399412,0.9887217894707363,0.9859763359559485,0.18257430197293328,0.04463043899037524,0.10296361169968499,0.3250029430262598
classical_ext,gpc,4,laplacian_med__gpc__d4,laplacian_med,ood_test,2.572199821472168,0.982,0.9815573770491803,0.9819681918904948,0.982725527831094,0.9886454597848361,0.9778380723168654,0.2277209172497901,0.05526155437312501,0.16891418889517787,0.40968755090918674
classical_ext,svc,4,matern15_med__svc__d4,matern15_med,id_test,0.019744157791137695,0.906,0.9048333473360779,0.90512563787869,0.9142335766423357,0.9718904905361451,0.9637715989139597,,,,
classical_ext,svc,4,matern15_med__svc__d4,matern15_med,ood_test,0.019744157791137695,0.918,0.915983606557377,0.9170681780485535,0.9258589511754068,0.8739433913934427,0.821877104220838,,,,
classical_ext,gpc,4,matern15_med__gpc__d4,matern15_med,id_test,2.5593061447143555,0.894,0.8929990278094506,0.8932467490613771,0.9022140221402214,0.9608243215670271,0.9416043809419189,0.27168968135904653,0.07885810816394731,0.12225012944168996,0.3727366172031076
classical_ext,gpc,4,matern15_med__gpc__d4,matern15_med,ood_test,2.5593061447143555,0.828,0.8281890368852459,0.8279752284328943,0.8300395256916996,0.8899205942622951,0.8207591094179664,0.4198440025378069,0.13804978669839607,0.23434128381157915,0.4826185397856455
classical_ext,svc,4,matern25_med__svc__d4,matern25_med,id_test,0.016000032424926758,0.898,0.896943800984993,0.897203947368421,0.90625,0.9556553084404544,0.9421781130459297,,,,
classical_ext,svc,4,matern25_med__svc__d4,matern25_med,ood_test,0.016000032424926758,0.644,0.6483574538934427,0.6339120813126514,0.5731414868105515,0.8599913550204918,0.7768536400304775,,,,
classical_ext,gpc,4,matern25_med__gpc__d4,matern25_med,id_test,2.566628932952881,0.89,0.8891942820792875,0.8894583458948849,0.897196261682243,0.9570635844625547,0.9392808336497235,0.2874040767770596,0.08453748857482554,0.11166329417962804,0.38413898059225066
classical_ext,gpc,4,matern25_med__gpc__d4,matern25_med,ood_test,2.566628932952881,0.729,0.731749487704918,0.7264259416853172,0.6998892580287929,0.8696809362192622,0.789890153229202,0.4600916690689775,0.15637488039203998,0.29467274089617557,0.49150818144074254
quantum,svc,4,zz_r1_full__svc__d4,zz_r1_full,id_test,0.010999441146850586,0.96,0.960132185908438,0.9599993599897598,0.9601593625498008,0.9809882737016454,0.9862247090741484,,,,
quantum,svc,4,zz_r1_full__svc__d4,zz_r1_full,ood_test,0.010999441146850586,0.978,0.9777471823770492,0.977974538566583,0.9787234042553191,0.9890657018442622,0.9866020139233302,,,,
quantum,gpc,4,zz_r1_full__gpc__d4,zz_r1_full,id_test,2.1350576877593994,0.966,0.965965329204524,0.9659912937712054,0.9665354330708661,0.9885497557521273,0.9887893708309669,0.16302182953832878,0.03929471677161902,0.08530350418151414,0.2900269115883849
quantum,gpc,4,zz_r1_full__gpc__d4,zz_r1_full,ood_test,2.1350576877593994,0.98,0.9795562243852459,0.9799646576561054,0.980806142034549,0.9848112512807378,0.9770841897695314,0.20526333996097015,0.04923640058006616,0.13781264821002315,0.3786152573068482
quantum,svc,4,zz_r2_full__svc__d4,zz_r2_full,id_test,0.012000083923339844,0.963,0.9631747822573224,0.962999962999963,0.9630369630369631,0.9795719961112378,0.9825864592051557,,,,
quantum,svc,4,zz_r2_full__svc__d4,zz_r2_full,ood_test,0.012000083923339844,0.987,0.9869204661885246,0.9869905160862269,0.9873417721518988,0.9888255635245901,0.9839493587455362,,,,
quantum,gpc,4,zz_r2_full__gpc__d4,zz_r2_full,id_test,2.15000057220459,0.967,0.9670635444547131,0.9669973267834695,0.9672943508424182,0.9883937251701334,0.9881292511067041,0.1606744170857648,0.03795147191171075,0.07980600559228503,0.2884922255902214
quantum,gpc,4,zz_r2_full__gpc__d4,zz_r2_full,ood_test,2.15000057220459,0.968,0.9678374743852459,0.967971174056651,0.9689320388349515,0.9866523117315574,0.9826634707869715,0.21301147003939336,0.052429500478545006,0.1407156437686737,0.3863493783268317
quantum,svc,4,pauli_xz_r1_full__svc__d4,pauli_xz_r1_full,id_test,0.017002344131469727,0.908,0.9068617449020009,0.9071798410757452,0.9159049360146252,0.9798520510019962,0.9781827408173207,,,,
quantum,svc,4,pauli_xz_r1_full__svc__d4,pauli_xz_r1_full,ood_test,0.017002344131469727,0.918,0.915983606557377,0.9170681780485535,0.9258589511754068,0.9511878842213115,0.9385601026627683,,,,
quantum,gpc,4,pauli_xz_r1_full__gpc__d4,pauli_xz_r1_full,id_test,2.4952189922332764,0.905,0.903903165020344,0.9042067359806558,0.9129239230064161,0.971486411336622,0.967556727508871,0.26569089568583015,0.07433133439238125,0.11453538004436378,0.3923938311354254
quantum,gpc,4,pauli_xz_r1_full__gpc__d4,pauli_xz_r1_full,ood_test,2.4952189922332764,0.867,0.8662749743852459,0.8666531648818577,0.873453853472883,0.9135902279713115,0.8651667973852397,0.37584271230351235,0.11743660556402562,0.221995900299678,0.4888313976681735
quantum,svc,4,zmap_r2__svc__d4,zmap_r2,id_test,0.021007776260375977,0.94,0.9394001224239952,0.93981124807396,0.9431818181818182,0.9804641709775116,0.9782546163167276,,,,
quantum,svc,4,zmap_r2__svc__d4,zmap_r2,ood_test,0.021007776260375977,0.948,0.9467213114754098,0.9476979030882376,0.9516728624535316,0.9830182184938524,0.9823522164789726,,,,
quantum,gpc,4,zmap_r2__gpc__d4,zmap_r2,id_test,2.168264389038086,0.933,0.9324127528995683,0.9327967100478949,0.9364928909952607,0.9704061996151245,0.9656072065736474,0.26034043660427725,0.07204323838705035,0.14498295580289658,0.39769205190711227
quantum,gpc,4,zmap_r2__gpc__d4,zmap_r2,ood_test,2.168264389038086,0.943,0.9415983606557377,0.9426235531320997,0.9472710453283997,0.9717517289959016,0.9533989630709869,0.2591203727130452,0.06829113869445354,0.15048769890506256,0.4136778990491255
classical_ext,svc,6,linear__svc__d6,linear,id_test,0.016000032424926758,0.904,0.9042892406911754,0.9039938556067588,0.9032258064516129,0.9740989233889842,0.9723403304580424,,,,
classical_ext,svc,6,linear__svc__d6,linear,ood_test,0.016000032424926758,0.56,0.568055199795082,0.5091017007394714,0.35103244837758113,0.9012911436987706,0.860984420101412,,,,
classical_ext,gpc,6,linear__gpc__d6,linear,id_test,2.1343348026275635,0.933,0.9331689011046165,0.932999932999933,0.9330669330669331,0.9758632692007634,0.9749687966445025,0.24739805351863015,0.06969886764570085,0.10716021229164197,0.3606964588195817
classical_ext,gpc,6,linear__gpc__d6,linear,ood_test,2.1343348026275635,0.668,0.6745325307377049,0.6447161153345661,0.553763440860215,0.9006867955942625,0.8688583062004693,0.4447054077090627,0.15565537927936451,0.25001399272987596,0.4614936398254129
classical_ext,svc,6,rbf_gscale__svc__d6,rbf_gscale,id_test,0.010998725891113281,0.938,0.9374557413252997,0.9378318974507067,0.94106463878327,0.9836607975163132,0.9769871028491253,,,,
classical_ext,svc,6,rbf_gscale__svc__d6,rbf_gscale,ood_test,0.010998725891113281,0.95,0.9488665471311475,0.949753793588584,0.9532710280373832,0.9732085681352459,0.9694696417338083,,,,
classical_ext,gpc,6,rbf_gscale__gpc__d6,rbf_gscale,id_test,2.464726448059082,0.963,0.963062760301019,0.9629970027572233,0.9633300297324083,0.9848410288416529,0.9835031208886917,0.19301482270328807,0.05293038936924519,0.07724385025588305,0.2831189220924323
classical_ext,gpc,6,rbf_gscale__gpc__d6,rbf_gscale,ood_test,2.464726448059082,0.866,0.8683721823770492,0.8651797536210304,0.8546637744034707,0.9631307633196721,0.9521941513643771,0.3493851781690858,0.11339546982945098,0.1878062985272,0.4274487556860155
classical_ext,svc,6,poly2__svc__d6,poly2,id_test,0.013000249862670898,0.923,0.9233629791439122,0.9229869848004313,0.9219858156028369,0.9789118667258784,0.9778600326486538,,,,
classical_ext,svc,6,poly2__svc__d6,poly2,ood_test,0.013000249862670898,0.57,0.5787333504098361,0.50997150997151,0.3384615384615385,0.8996301869877049,0.8665400512791662,,,,
classical_ext,gpc,6,poly2__gpc__d6,poly2,id_test,2.1529300212860107,0.94,0.9401562706290433,0.93999975999904,0.9401197604790419,0.9771075130725622,0.9762572296997676,0.2320355796401318,0.06477854038775664,0.10349267637466768,0.33886045096834083
