group,shots,model,split,n,mean_abs_dev,p95_abs_dev,mean_exact,mean_shots
ember_m1,128,gpc,id_test,900,0.017457552166128057,0.04455426070345431,0.7463079331622985,0.7347305102115665
ember_m1,128,gpc,id_val,900,0.017401136417472377,0.044582216895983816,0.7396171856778427,0.729258332938968
ember_m1,128,gpc,ood_test,900,0.029613086475613358,0.07952247877280395,0.722035347584773,0.6969314630677997
ember_m1,128,svc,id_test,900,0.04296173004578795,0.11600377189043566,0.7634685526744651,0.7252456826706787
ember_m1,128,svc,id_val,900,0.0423202356186996,0.11156020811946878,0.7568898063248897,0.718220316991443
ember_m1,128,svc,ood_test,900,0.04037888363602698,0.12951705789442783,0.7125184914336905,0.6946776455628506
ember_m1,512,gpc,id_test,900,0.010206182025927159,0.028074987343280088,0.7463079331622985,0.7431027337951576
ember_m1,512,gpc,id_val,900,0.010115248972638402,0.025905530409860825,0.7396171856778427,0.7369670751218043
ember_m1,512,gpc,ood_test,900,0.015023656445963606,0.04840482152380751,0.722035347584773,0.7126019177688467
ember_m1,512,svc,id_test,900,0.03350717842767952,0.09995352317932933,0.7634685526744651,0.7364021144299905
ember_m1,512,svc,id_val,900,0.032076798585719705,0.09486947408536593,0.7568898063248897,0.7296825767213122
ember_m1,512,svc,ood_test,900,0.032963543102652065,0.11982468079590392,0.7125184914336905,0.7075989566709107
ember_m1,2048,gpc,id_test,900,0.007218642342028989,0.019780465949820816,0.7463079331622985,0.7457803953188823
ember_m1,2048,gpc,id_val,900,0.007239634633894209,0.01893939393939393,0.7396171856778427,0.7390023082228525
ember_m1,2048,gpc,ood_test,900,0.008866389633463855,0.029908306796178664,0.722035347584773,0.7185171357810013
ember_m1,2048,svc,id_test,900,0.04529719308571778,0.13997811059907836,0.7634685526744651,0.722241862408074
ember_m1,2048,svc,id_val,900,0.04332260010038416,0.13899593799435245,0.7568898063248897,0.7170250645155799
ember_m1,2048,svc,ood_test,900,0.042452708157220534,0.13380987448770496,0.7125184914336905,0.6914409574713865
ember_m1,8192,gpc,id_test,900,0.004963483744996583,0.012499999999999956,0.7463079331622985,0.7460335440785717
ember_m1,8192,gpc,id_val,900,0.004699698751771623,0.012180074827133713,0.7396171856778427,0.7392491376343864
ember_m1,8192,gpc,ood_test,900,0.005859803350001613,0.017098487733406557,0.722035347584773,0.720848884874574
ember_m1,8192,svc,id_test,900,0.03468966365164115,0.10812121445854785,0.7634685526744651,0.7323259084751705
ember_m1,8192,svc,id_val,900,0.035689670223053804,0.10485606073433502,0.7568898063248897,0.725768129522653
ember_m1,8192,svc,ood_test,900,0.03474024863049931,0.11310401590567667,0.7125184914336905,0.6938291797535538
ember_m2,128,gpc,id_test,900,0.015808534377819573,0.044103225806451624,0.7334850619012889,0.724821042652311
ember_m2,128,gpc,id_val,900,0.017892148225005067,0.05144805850172133,0.748717219532006,0.7358971367535843
ember_m2,128,gpc,ood_test,900,0.0162880852742753,0.04487539290525376,0.738171440058227,0.7249037775549474
ember_m2,128,svc,id_test,900,0.05156955846436872,0.1305733412030531,0.7583531010221591,0.7097536952374226
ember_m2,128,svc,id_val,900,0.054465153521607315,0.13204126339374972,0.7716558194212553,0.7201522325059667
ember_m2,128,svc,ood_test,900,0.038915195355683156,0.10569344020777423,0.7505598111154551,0.7150552642522736
ember_m2,512,gpc,id_test,900,0.009947032868059228,0.027647751297328473,0.7334850619012889,0.7313020775596484
ember_m2,512,gpc,id_val,900,0.009962189861745768,0.02873468858880756,0.748717219532006,0.7453444800469212
ember_m2,512,gpc,ood_test,900,0.008561554088848594,0.02160023791143015,0.738171440058227,0.7338882764344887
ember_m2,512,svc,id_test,900,0.03822196204639826,0.10034193548387098,0.7583531010221591,0.7234950306428439
ember_m2,512,svc,id_val,900,0.03810347848471817,0.10725511578677271,0.7716558194212553,0.7369283922851824
ember_m2,512,svc,ood_test,900,0.02605248489054128,0.08078918231377656,0.7505598111154551,0.7297152585504281
ember_m2,2048,gpc,id_test,900,0.006536700824544396,0.019536492868697544,0.7334850619012889,0.7331242900490099
ember_m2,2048,gpc,id_val,900,0.006531876986262974,0.018303654377023883,0.748717219532006,0.7477721303789275
ember_m2,2048,gpc,ood_test,900,0.005348707135953757,0.013970145371294438,0.738171440058227,0.7371096093982429
ember_m2,2048,svc,id_test,900,0.048913548822932904,0.14349243166948394,0.7583531010221591,0.7121730949295003
ember_m2,2048,svc,id_val,900,0.050214834834231885,0.15830398809707757,0.7716558194212553,0.7244116924192087
ember_m2,2048,svc,ood_test,900,0.03799013884900829,0.12382752588635773,0.7505598111154551,0.7162667534261111
ember_m2,8192,gpc,id_test,900,0.00413896720687979,0.012161275015815886,0.7334850619012889,0.7334885843650232
ember_m2,8192,gpc,id_val,900,0.003980214117714749,0.012140431802165397,0.748717219532006,0.7484444197764687
ember_m2,8192,gpc,ood_test,900,0.003552106481081088,0.01006389008983044,0.738171440058227,0.7378085554397923
ember_m2,8192,svc,id_test,900,0.03948872389146608,0.11196518316302684,0.7583531010221591,0.7225285292421956
ember_m2,8192,svc,id_val,900,0.042822067986595345,0.12218872281737124,0.7716558194212553,0.7323529078979942
ember_m2,8192,svc,ood_test,900,0.03192154396123218,0.09661263824392377,0.7505598111154551,0.7225923908231616
toniot_scanning_m2_centroid,128,gpc,id_test,900,0.003784915931689268,0.01579457364341086,0.9687895929878038,0.96752824804271
toniot_scanning_m2_centroid,128,gpc,id_val,900,0.0038643295776710613,0.016134723048212868,0.9675531988509319,0.9663559340172541
toniot_scanning_m2_centroid,128,gpc,ood_test,900,0.006102038574302851,0.022216972905739353,0.9139540202594264,0.9126421039688797
toniot_scanning_m2_centroid,128,svc,id_test,900,0.033622968954266114,0.12358390462216592,0.9829829873745943,0.9499720674682536
toniot_scanning_m2_centroid,128,svc,id_val,900,0.03448750692571954,0.13151284761749887,0.9832224490863173,0.9497776445982277
toniot_scanning_m2_centroid,128,svc,ood_test,900,0.049314277124473456,0.16406621583976544,0.9466833296491182,0.8988293787160568
toniot_scanning_m2_centroid,512,gpc,id_test,900,0.0020971331810472733,0.009009009009009028,0.9687895929878038,0.9683097508155795
toniot_scanning_m2_centroid,512,gpc,id_val,900,0.002130169877230881,0.008928571428571397,0.9675531988509319,0.9670183521417716
toniot_scanning_m2_centroid,512,gpc,ood_test,900,0.0035814999668659048,0.010165802445426106,0.9139540202594264,0.9134640385557717
toniot_scanning_m2_centroid,512,svc,id_test,900,0.025624053824318396,0.09636964671543924,0.9829829873745943,0.9580529001154207
toniot_scanning_m2_centroid,512,svc,id_val,900,0.02641866000526937,0.10025801366628712,0.9832224490863173,0.9574969730046574
toniot_scanning_m2_centroid,512,svc,ood_test,900,0.03617402317568297,0.13315738276845723,0.9466833296491182,0.9119817179647954
toniot_scanning_m2_centroid,2048,gpc,id_test,900,0.0010315770771825127,0.0045045045045044585,0.9687895929878038,0.9685356348472908
toniot_scanning_m2_centroid,2048,gpc,id_val,900,0.0011712524263298761,0.004464285714285599,0.9675531988509319,0.9674208055130177
toniot_scanning_m2_centroid,2048,gpc,ood_test,900,0.0022222309515657385,0.0059055118110236116,0.9139540202594264,0.9136189222217606
toniot_scanning_m2_centroid,2048,svc,id_test,900,0.01199622001814901,0.04419695361560719,0.9829829873745943,0.9719491586384615
toniot_scanning_m2_centroid,2048,svc,id_val,900,0.011830902336708703,0.04826891407536583,0.9832224490863173,0.972264767557128
toniot_scanning_m2_centroid,2048,svc,ood_test,900,0.017633097793569877,0.06251917547428451,0.9466833296491182,0.9313690586779616
toniot_scanning_m2_centroid,8192,gpc,id_test,900,0.0005540196197780064,0.004065040650406476,0.9687895929878038,0.9686372045227521
toniot_scanning_m2_centroid,8192,gpc,id_val,900,0.000545680353246182,0.00403225806451602,0.9675531988509319,0.9675630962065248
toniot_scanning_m2_centroid,8192,gpc,ood_test,900,0.001319483602380671,0.0040126768900141715,0.9139540202594264,0.9136406927353947
toniot_scanning_m2_centroid,8192,svc,id_test,900,0.009992014500519748,0.04391792114695318,0.9829829873745943,0.9742787906750108
toniot_scanning_m2_centroid,8192,svc,id_val,900,0.009966628923229382,0.04925316977822687,0.9832224490863173,0.9745908864572784
toniot_scanning_m2_centroid,8192,svc,ood_test,900,0.015045170400345016,0.07331637826160854,0.9466833296491182,0.9343550112000722
toniot_scanning_natural_cur,128,gpc,id_test,900,0.004371265725353545,0.016064619784446788,0.9552748409321776,0.9543363233695985
toniot_scanning_natural_cur,128,gpc,id_val,900,0.004688869096670834,0.016033782067564006,0.9547961458713938,0.9536780362280466
toniot_scanning_natural_cur,128,gpc,ood_test,900,0.007066212555382421,0.02644777986241394,0.9413901472844562,0.9391708382092593
