run,group,model,shots,same_selection,ood_exact_selection,ood_shots_selection,selection_regret
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m1,svc,2048,False,0.6338550780996824,0.7410720072590576,-0.1072169291593752
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m1,svc,8192,True,0.6338550780996824,0.6338550780996824,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember_m1,gpc,128,False,0.7478343020928409,0.7145361963779604,0.033298105714880455
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember_m1,gpc,512,False,0.7478343020928409,0.7543434052297,-0.006509103136859151
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember_m1,gpc,2048,False,0.7478343020928409,0.7323821876351059,0.015452114457734978
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember_m1,gpc,8192,True,0.7478343020928409,0.7478343020928409,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember_m1,svc,128,False,0.7425981969864374,0.7483947414773182,-0.0057965444908808506
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember_m1,svc,512,False,0.7425981969864374,0.7241517349602088,0.01844646202622857
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember_m1,svc,2048,False,0.7425981969864374,0.7241517349602088,0.01844646202622857
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember_m1,svc,8192,True,0.7425981969864374,0.7425981969864374,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember_m1,gpc,128,True,0.6001507473218295,0.6001507473218295,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember_m1,gpc,512,False,0.6001507473218295,0.7407146064532684,-0.14056385913143887
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember_m1,gpc,2048,True,0.6001507473218295,0.6001507473218295,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember_m1,gpc,8192,True,0.6001507473218295,0.6001507473218295,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember_m1,svc,128,False,0.6064051574828404,0.6182885367887613,-0.011883379305920871
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember_m1,svc,512,False,0.6064051574828404,0.6182885367887613,-0.011883379305920871
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember_m1,svc,2048,False,0.6064051574828404,0.6182885367887613,-0.011883379305920871
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember_m1,svc,8192,True,0.6064051574828404,0.6064051574828404,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,128,False,0.7461577868852459,0.755827356557377,-0.009669569672131062
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,512,True,0.7461577868852459,0.7461577868852459,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,2048,False,0.7461577868852459,0.7444928278688525,0.001664959016393408
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,8192,True,0.7461577868852459,0.7461577868852459,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,128,False,0.7450691598360656,0.7605020491803278,-0.015432889344262235
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,512,False,0.7450691598360656,0.7397220799180328,0.005347079918032738
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,2048,False,0.7450691598360656,0.7605020491803278,-0.015432889344262235
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,8192,False,0.7450691598360656,0.7234246926229508,0.02164446721311475
m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,ember_m1,gpc,128,False,0.7236802099502329,0.7711510457505881,-0.04747083580035527
m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,ember_m1,gpc,512,False,0.7236802099502329,0.7711510457505881,-0.04747083580035527
m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,ember_m1,gpc,2048,False,0.7236802099502329,0.7303771743131011,-0.006696964362868263
m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,ember_m1,gpc,8192,True,0.7236802099502329,0.7236802099502329,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,ember_m1,svc,128,False,0.5676657438671169,0.5882447072378423,-0.0205789633707254
m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,ember_m1,svc,512,False,0.5676657438671169,0.5882447072378423,-0.0205789633707254
m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,ember_m1,svc,2048,False,0.5676657438671169,0.5491590789073627,0.01850666495975417
m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,ember_m1,svc,8192,False,0.5676657438671169,0.5882447072378423,-0.0205789633707254
m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,ember_m1,gpc,128,False,0.7474722924363212,0.7358059498347268,0.011666342601594382
m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,ember_m1,gpc,512,False,0.7474722924363212,0.751993000194439,-0.004520707758117859
m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,ember_m1,gpc,2048,False,0.7474722924363212,0.7358059498347268,0.011666342601594382
m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,ember_m1,gpc,8192,False,0.7474722924363212,0.7358059498347268,0.011666342601594382
m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,ember_m1,svc,128,False,0.7240423877114525,0.7366323157690065,-0.01258992805755399
m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,ember_m1,svc,512,False,0.7240423877114525,0.7366323157690065,-0.01258992805755399
m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,ember_m1,svc,2048,False,0.7240423877114525,0.7244960788126256,-0.00045369110117310374
m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,ember_m1,svc,8192,False,0.7240423877114525,0.740245641324778,-0.01620325361332553
m1_hist_byteent__ms999__q1000_id500_ood500__qs123__s42,ember_m1,gpc,128,True,0.6598373124529632,0.6598373124529632,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs123__s42,ember_m1,gpc,512,False,0.6598373124529632,0.6929112424140527,-0.03307392996108949
m1_hist_byteent__ms999__q1000_id500_ood500__qs123__s42,ember_m1,gpc,2048,True,0.6598373124529632,0.6598373124529632,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs123__s42,ember_m1,gpc,8192,True,0.6598373124529632,0.6598373124529632,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs123__s42,ember_m1,svc,128,False,0.7045443627804198,0.6993803141663064,0.005164048614113348
m1_hist_byteent__ms999__q1000_id500_ood500__qs123__s42,ember_m1,svc,512,False,0.7045443627804198,0.7151686922547277,-0.010624329474307914
m1_hist_byteent__ms999__q1000_id500_ood500__qs123__s42,ember_m1,svc,2048,False,0.7045443627804198,0.6993803141663064,0.005164048614113348
m1_hist_byteent__ms999__q1000_id500_ood500__qs123__s42,ember_m1,svc,8192,False,0.7045443627804198,0.7341755936654337,-0.02963123088501396
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024__s42,ember_m1,gpc,128,True,0.7574892552440824,0.7574892552440824,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024__s42,ember_m1,gpc,512,False,0.7574892552440824,0.7542497915196613,0.0032394637244210767
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024__s42,ember_m1,gpc,2048,False,0.7574892552440824,0.7542497915196613,0.0032394637244210767
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024__s42,ember_m1,gpc,8192,False,0.7574892552440824,0.7307396240939124,0.02674963115017004
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024__s42,ember_m1,svc,128,False,0.7189043556353839,0.6973025851561999,0.02160177047918399
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024__s42,ember_m1,svc,512,True,0.7189043556353839,0.7189043556353839,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024__s42,ember_m1,svc,2048,True,0.7189043556353839,0.7189043556353839,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024__s42,ember_m1,svc,8192,False,0.7189043556353839,0.6973025851561999,0.02160177047918399
m1_hist_byteent__ms999__q1000_id500_ood500__qs42__s42,ember_m1,gpc,128,False,0.7459656762295082,0.7602138831967213,-0.014248206967213184
m1_hist_byteent__ms999__q1000_id500_ood500__qs42__s42,ember_m1,gpc,512,True,0.7459656762295082,0.7459656762295082,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs42__s42,ember_m1,gpc,2048,True,0.7459656762295082,0.7459656762295082,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs42__s42,ember_m1,gpc,8192,True,0.7459656762295082,0.7459656762295082,0.0
