shots,n,eff_rank_ratio_median,eff_rank_ratio_p5,eff_rank_ratio_p95,kta_ood_dev_median,kta_ood_dev_p95
128,7200,2.1219663786283967,1.0814626052177292,6.497656353576059,0.00040806948805839627,0.0014660930843128756
512,7200,1.5647218711191608,1.048195389556145,3.318405427265563,0.00013122512245625217,0.0007230101765399555
2048,7200,1.290893430813753,1.0260266811885392,2.045275269656669,5.010349932854652e-05,0.0003833186887715446
8192,7200,1.1505707124423452,1.0134826386739124,1.4999728723342045,2.3136968566400684e-05,0.00019475979059120955
