shots,model,n,frac_same_selection,mean_regret,p95_regret
128,gpc,120,0.31666666666666665,-0.0017800657163239216,0.02794073000442311
128,svc,120,0.06666666666666667,0.0007195574409377366,0.03946025083779865
512,gpc,120,0.4083333333333333,-0.0028275371971372095,0.028072516825444198
512,svc,120,0.1,0.0017295590816518362,0.045771492453770386
2048,gpc,120,0.5833333333333334,0.001205705740110156,0.017659599741581915
2048,svc,120,0.19166666666666668,-0.002482640203304006,0.03253798026212422
8192,gpc,120,0.7,-0.0007224720754148308,0.016096753812454193
8192,svc,120,0.20833333333333334,-8.54307744907847e-05,0.039166944722500256
