family,model,dim,cfg,kernel,split,svc_c,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,laplacian_med_x0.1__svc__d4,laplacian_med_x0.1,id_test,1.0,0.06466150283813477,0.897,0.8973863059070126,0.8966402045520456,0.902738432483475,0.9460140565060341,0.9088201021910117,,,,
classical_ext,svc,4,laplacian_med_x0.1__svc__d4,laplacian_med_x0.1,ood_test,1.0,0.06466150283813477,0.834,0.829217118329169,0.8286936133676772,0.858843537414966,0.8891905311038504,0.8441190539006824,,,,
classical_ext,gpc,4,laplacian_med_x0.1__gpc__d4,laplacian_med_x0.1,id_test,,5.948777914047241,0.9,0.9004164149909397,0.8995887153781891,0.9060150375939849,0.9583825017700637,0.9473474066696218,0.26493841769094384,0.07683856663694541,0.05715849902566748,0.3661107925649571
classical_ext,gpc,4,laplacian_med_x0.1__gpc__d4,laplacian_med_x0.1,ood_test,,5.948777914047241,0.829,0.8239236978666153,0.8229401258057001,0.8556962025316456,0.8552277532192966,0.7602016947813786,0.4416161365346161,0.14047532928684128,0.1112527475098003,0.477787575513275
classical_ext,svc,4,laplacian_med_x0.3__svc__d4,laplacian_med_x0.3,id_test,1.0,0.07634353637695312,0.896,0.8964402718497866,0.8955168700069119,0.9026217228464419,0.9513102471688981,0.9217374691072817,,,,
classical_ext,svc,4,laplacian_med_x0.3__svc__d4,laplacian_med_x0.3,ood_test,1.0,0.07634353637695312,0.833,0.8279277980652188,0.8270818772488415,0.8590717299578059,0.8971426740982765,0.8565567793451945,,,,
classical_ext,gpc,4,laplacian_med_x0.3__gpc__d4,laplacian_med_x0.3,id_test,,7.662759780883789,0.893,0.8934461640619062,0.8924881360155701,0.8999064546304958,0.959146529275054,0.9473530112958557,0.25120737859998576,0.07466470352134541,0.041859017086830035,0.3201030585156269
classical_ext,gpc,4,laplacian_med_x0.3__gpc__d4,laplacian_med_x0.3,ood_test,,7.662759780883789,0.818,0.8122397334870908,0.8099343751435936,0.8490878938640133,0.8495459350374783,0.745181031911752,0.44557395124997773,0.1430696353968109,0.13762925754936003,0.45412971929748824
classical_ext,svc,4,laplacian_med_x3__svc__d4,laplacian_med_x3,id_test,1.0,0.06933355331420898,0.881,0.8816497393906181,0.8797239918293173,0.8921124206708976,0.9491621698381141,0.9139968314279204,,,,
classical_ext,svc,4,laplacian_med_x3__svc__d4,laplacian_med_x3,ood_test,1.0,0.06933355331420898,0.781,0.7737603305785123,0.766275097412057,0.8249400479616307,0.8483086680761099,0.7589027945600817,,,,
classical_ext,gpc,4,laplacian_med_x3__gpc__d4,laplacian_med_x3,id_test,,5.947932481765747,0.874,0.874643487165538,0.8726753139665075,0.8856624319419237,0.9521502774099867,0.9378809030989004,0.2823774184145933,0.08334728420653284,0.062212165526699434,0.3796778920043881
classical_ext,gpc,4,laplacian_med_x3__gpc__d4,laplacian_med_x3,ood_test,,5.947932481765747,0.763,0.7551652892561984,0.7445126821964148,0.8132387706855791,0.7836864949708502,0.6838941990402861,0.4950007948424526,0.1653307673074847,0.12030775687570198,0.49326437615556906
classical_ext,svc,4,laplacian_med_x10__svc__d4,laplacian_med_x10,id_test,1.0,0.07114958763122559,0.874,0.8746914888936002,0.8724567263893107,0.8864864864864865,0.9317695437035733,0.885745429059492,,,,
classical_ext,svc,4,laplacian_med_x10__svc__d4,laplacian_med_x10,ood_test,1.0,0.07114958763122559,0.763,0.7551652892561984,0.7445126821964148,0.8132387706855791,0.7887556858222821,0.6734494991383722,,,,
classical_ext,gpc,4,laplacian_med_x10__gpc__d4,laplacian_med_x10,id_test,,5.05597448348999,0.867,0.8676252345084423,0.8656835646168093,0.8789808917197452,0.940753867139217,0.9280664902290027,0.324370794324659,0.09401710125122843,0.08696564443603298,0.46064222893057827
classical_ext,gpc,4,laplacian_med_x10__gpc__d4,laplacian_med_x10,ood_test,,5.05597448348999,0.763,0.7551652892561984,0.7445126821964148,0.8132387706855791,0.7295190274841438,0.6532302829228035,0.5130058195354075,0.17161773299969946,0.14195579959109023,0.5383852864997714
classical_ext,svc,4,matern15_med_x0.1__svc__d4,matern15_med_x0.1,id_test,1.0,0.06055140495300293,0.899,0.8994103787736358,0.8985975336109017,0.9049858889934148,0.9494581804944977,0.9234351421325752,,,,
classical_ext,svc,4,matern15_med_x0.1__svc__d4,matern15_med_x0.1,ood_test,1.0,0.06055140495300293,0.837,0.8319318982638222,0.8312236286919832,0.8624472573839662,0.8891384778012684,0.8324468392284532,,,,
classical_ext,gpc,4,matern15_med_x0.1__gpc__d4,matern15_med_x0.1,id_test,,5.990023136138916,0.898,0.8984283434203632,0.8975537441093402,0.9043151969981238,0.9588185174666288,0.9475628583382021,0.2592035585997878,0.07563884033210427,0.05183819344472733,0.34710598129678577
classical_ext,gpc,4,matern15_med_x0.1__gpc__d4,matern15_med_x0.1,ood_test,,5.990023136138916,0.833,0.8279277980652188,0.8270818772488415,0.8590717299578059,0.8570416106092639,0.7546961681521925,0.4346770210564315,0.1371660264449941,0.13612563949620143,0.4644864964019353
classical_ext,svc,4,matern15_med_x0.3__svc__d4,matern15_med_x0.3,id_test,1.0,0.05355119705200195,0.899,0.8994703809337137,0.8984588874110133,0.9058713886300093,0.955282390166046,0.9356170146038403,,,,
classical_ext,svc,4,matern15_med_x0.3__svc__d4,matern15_med_x0.3,ood_test,1.0,0.05355119705200195,0.829,0.8234752386443718,0.8219490024458584,0.8573811509591326,0.9020877378435517,0.865312587309017,,,,
classical_ext,gpc,4,matern15_med_x0.3__gpc__d4,matern15_med_x0.3,id_test,,6.880789518356323,0.895,0.8954582364965139,0.8944680132548175,0.9019607843137255,0.9593825377713598,0.9464524443828528,0.2469938136443767,0.07392797773550135,0.034727603233733785,0.3026781316383799
