source,setting,qs,model,scope,predictor,kind,rho,n_cells,group
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,svc,all,ood_novelty_ratio,label_free,-0.6631813125695216,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,svc,quantum,kta_ood,diagnostic,0.5428571428571428,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,svc,quantum,kta_drop_id_to_ood,diagnostic,-0.5428571428571428,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,svc,quantum,kta_train,honest,-0.21052631578947367,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,svc,quantum,kta_id,honest,-0.41654135338345866,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,svc,quantum,spec_train_eff_rank,honest,0.4646616541353384,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,svc,quantum,ood_novelty_ratio,label_free,-0.4481203007518797,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,all,kta_ood,diagnostic,0.5817575083426029,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,all,kta_drop_id_to_ood,diagnostic,-0.5661846496106785,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,all,kta_train,honest,-0.6266963292547274,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,all,kta_id,honest,-0.4874304783092325,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,all,spec_train_eff_rank,honest,0.6502780867630701,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,all,ood_novelty_ratio,label_free,-0.6453837597330366,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,quantum,kta_ood,diagnostic,0.27518796992481204,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,quantum,kta_drop_id_to_ood,diagnostic,-0.18345864661654135,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,quantum,kta_train,honest,-0.3488721804511278,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,quantum,kta_id,honest,-0.12330827067669171,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,quantum,spec_train_eff_rank,honest,0.47368421052631576,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,gpc,quantum,ood_novelty_ratio,label_free,-0.4526315789473684,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,all,kta_ood,diagnostic,0.3659621802002225,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,all,kta_drop_id_to_ood,diagnostic,-0.33659621802002226,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,all,kta_train,honest,-0.33793103448275863,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,all,kta_id,honest,-0.160845383759733,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,all,spec_train_eff_rank,honest,0.32858731924360396,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,all,ood_novelty_ratio,label_free,-0.35350389321468295,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,quantum,kta_ood,diagnostic,0.11127819548872178,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,quantum,kta_drop_id_to_ood,diagnostic,-0.022556390977443608,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,quantum,kta_train,honest,-0.04210526315789473,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,quantum,kta_id,honest,0.14285714285714285,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,quantum,spec_train_eff_rank,honest,0.09473684210526315,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,123,svc,quantum,ood_novelty_ratio,label_free,-0.10075187969924812,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,all,kta_ood,diagnostic,0.6484983314794216,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,all,kta_drop_id_to_ood,diagnostic,-0.4309232480533926,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,all,kta_train,honest,-0.11946607341490545,30,ember_m1
