group,model,scope,predictor,kind,n_units,median_rho,frac_pos
toniot_scanning_m2_centroid,gpc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.6997744644628234,0.06666666666666667
toniot_scanning_m2_centroid,gpc,quantum,kta_id,honest,45,-0.33684210526315783,0.044444444444444446
toniot_scanning_m2_centroid,gpc,quantum,kta_ood,diagnostic,45,0.3846445808993004,0.8222222222222222
toniot_scanning_m2_centroid,gpc,quantum,kta_train,honest,45,-0.13383458646616542,0.24444444444444444
toniot_scanning_m2_centroid,gpc,quantum,ood_novelty_ratio,label_free,45,-0.7717187458121376,0.0
toniot_scanning_m2_centroid,gpc,quantum,spec_train_eff_rank,honest,45,0.8431741852391875,1.0
toniot_scanning_m2_centroid,svc,all,kta_drop_id_to_ood,diagnostic,45,-0.7523935865565795,0.0
toniot_scanning_m2_centroid,svc,all,kta_id,honest,45,-0.6773931355008579,0.0
toniot_scanning_m2_centroid,svc,all,kta_ood,diagnostic,45,0.6615636004055441,1.0
toniot_scanning_m2_centroid,svc,all,kta_train,honest,45,-0.5537827046761251,0.0
toniot_scanning_m2_centroid,svc,all,ood_novelty_ratio,label_free,45,-0.7680684529431749,0.0
toniot_scanning_m2_centroid,svc,all,spec_train_eff_rank,honest,45,0.870784209271277,1.0
toniot_scanning_m2_centroid,svc,classical,kta_drop_id_to_ood,diagnostic,45,-0.7746386152880981,0.0
toniot_scanning_m2_centroid,svc,classical,kta_id,honest,45,-0.6087675803163906,0.0
toniot_scanning_m2_centroid,svc,classical,kta_ood,diagnostic,45,0.7250208055328412,1.0
toniot_scanning_m2_centroid,svc,classical,kta_train,honest,45,-0.09667772987654837,0.3111111111111111
toniot_scanning_m2_centroid,svc,classical,ood_novelty_ratio,label_free,45,-0.6272597474915889,0.0
toniot_scanning_m2_centroid,svc,classical,spec_train_eff_rank,honest,45,0.8361113044792113,1.0
toniot_scanning_m2_centroid,svc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.5114705137936195,0.08888888888888889
toniot_scanning_m2_centroid,svc,quantum,kta_id,honest,45,-0.2854995646557818,0.1111111111111111
toniot_scanning_m2_centroid,svc,quantum,kta_ood,diagnostic,45,0.35727719713524886,0.8666666666666667
toniot_scanning_m2_centroid,svc,quantum,kta_train,honest,45,-0.08610360317130089,0.28888888888888886
toniot_scanning_m2_centroid,svc,quantum,ood_novelty_ratio,label_free,45,-0.7341875795969978,0.022222222222222223
toniot_scanning_m2_centroid,svc,quantum,spec_train_eff_rank,honest,45,0.7876514956497023,0.9777777777777777
toniot_scanning_natural_cur,gpc,all,kta_drop_id_to_ood,diagnostic,45,-0.5939098523304593,0.0
toniot_scanning_natural_cur,gpc,all,kta_id,honest,45,-0.5504621889351359,0.0
toniot_scanning_natural_cur,gpc,all,kta_ood,diagnostic,45,0.2960878144187165,0.9777777777777777
toniot_scanning_natural_cur,gpc,all,kta_train,honest,45,-0.542708382791326,0.0
toniot_scanning_natural_cur,gpc,all,ood_novelty_ratio,label_free,45,-0.5479452151269725,0.0
toniot_scanning_natural_cur,gpc,all,spec_train_eff_rank,honest,45,0.7831688069565294,1.0
toniot_scanning_natural_cur,gpc,classical,kta_drop_id_to_ood,diagnostic,45,-0.8128074677139541,0.0
toniot_scanning_natural_cur,gpc,classical,kta_id,honest,45,-0.16246710438150266,0.26666666666666666
toniot_scanning_natural_cur,gpc,classical,kta_ood,diagnostic,45,0.7909774436090224,1.0
toniot_scanning_natural_cur,gpc,classical,kta_train,honest,45,-0.22523580430627643,0.24444444444444444
toniot_scanning_natural_cur,gpc,classical,ood_novelty_ratio,label_free,45,0.14156642560434418,0.6888888888888889
toniot_scanning_natural_cur,gpc,classical,spec_train_eff_rank,honest,45,0.8225563909774435,1.0
toniot_scanning_natural_cur,gpc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.06619030178505664,0.4666666666666667
toniot_scanning_natural_cur,gpc,quantum,kta_id,honest,45,-0.17374954218577365,0.26666666666666666
toniot_scanning_natural_cur,gpc,quantum,kta_ood,diagnostic,45,0.024078261142806826,0.5555555555555556
toniot_scanning_natural_cur,gpc,quantum,kta_train,honest,45,-0.08584347084518744,0.37777777777777777
toniot_scanning_natural_cur,gpc,quantum,ood_novelty_ratio,label_free,45,-0.4546483891647309,0.0
toniot_scanning_natural_cur,gpc,quantum,spec_train_eff_rank,honest,45,0.5233809635445367,1.0
toniot_scanning_natural_cur,svc,all,kta_drop_id_to_ood,diagnostic,45,-0.6794049930580713,0.0
toniot_scanning_natural_cur,svc,all,kta_id,honest,45,-0.3990991628948402,0.0
toniot_scanning_natural_cur,svc,all,kta_ood,diagnostic,45,0.4994133541122412,0.9777777777777777
toniot_scanning_natural_cur,svc,all,kta_train,honest,45,-0.3884744053192199,0.0
toniot_scanning_natural_cur,svc,all,ood_novelty_ratio,label_free,45,-0.37742225092006765,0.0
toniot_scanning_natural_cur,svc,all,spec_train_eff_rank,honest,45,0.5927734111137487,1.0
toniot_scanning_natural_cur,svc,classical,kta_drop_id_to_ood,diagnostic,45,-0.8164035418732939,0.0
toniot_scanning_natural_cur,svc,classical,kta_id,honest,45,-0.1903342806944546,0.2
toniot_scanning_natural_cur,svc,classical,kta_ood,diagnostic,45,0.7640200579506652,1.0
toniot_scanning_natural_cur,svc,classical,kta_train,honest,45,-0.2023422503871445,0.17777777777777778
toniot_scanning_natural_cur,svc,classical,ood_novelty_ratio,label_free,45,0.04528334128517262,0.5555555555555556
toniot_scanning_natural_cur,svc,classical,spec_train_eff_rank,honest,45,0.8225671481077733,1.0
toniot_scanning_natural_cur,svc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.49424993338213724,0.022222222222222223
toniot_scanning_natural_cur,svc,quantum,kta_id,honest,45,-0.0007527291211336603,0.4888888888888889
toniot_scanning_natural_cur,svc,quantum,kta_ood,diagnostic,45,0.42346749892030544,0.9777777777777777
toniot_scanning_natural_cur,svc,quantum,kta_train,honest,45,0.015037593984962403,0.5333333333333333
toniot_scanning_natural_cur,svc,quantum,ood_novelty_ratio,label_free,45,-0.06139268040438497,0.4222222222222222
toniot_scanning_natural_cur,svc,quantum,spec_train_eff_rank,honest,45,0.14678217862106374,0.8
unsw_dos_m2_centroid,gpc,all,kta_drop_id_to_ood,diagnostic,45,-0.31575984990619144,0.0
unsw_dos_m2_centroid,gpc,all,kta_id,honest,45,0.29305816135084434,1.0
unsw_dos_m2_centroid,gpc,all,kta_ood,diagnostic,45,0.6860601880846877,1.0
unsw_dos_m2_centroid,gpc,all,kta_train,honest,45,0.47478774854051886,1.0
unsw_dos_m2_centroid,gpc,all,ood_novelty_ratio,label_free,45,-0.08199643529846586,0.3111111111111111
unsw_dos_m2_centroid,gpc,all,spec_train_eff_rank,honest,45,0.16250703982875278,0.9555555555555556
unsw_dos_m2_centroid,gpc,classical,kta_drop_id_to_ood,diagnostic,45,-0.7419114214627355,0.0
unsw_dos_m2_centroid,gpc,classical,kta_id,honest,45,0.370203265070655,0.9777777777777777
unsw_dos_m2_centroid,gpc,classical,kta_ood,diagnostic,45,0.7286417892573832,1.0
unsw_dos_m2_centroid,gpc,classical,kta_train,honest,45,0.4857142857142857,1.0
unsw_dos_m2_centroid,gpc,classical,ood_novelty_ratio,label_free,45,-0.6165413533834586,0.0
unsw_dos_m2_centroid,gpc,classical,spec_train_eff_rank,honest,45,0.7386235949196094,1.0
unsw_dos_m2_centroid,gpc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.1918736434817419,0.06666666666666667
unsw_dos_m2_centroid,gpc,quantum,kta_id,honest,45,0.5954887218045113,1.0
unsw_dos_m2_centroid,gpc,quantum,kta_ood,diagnostic,45,0.742384407521033,1.0
unsw_dos_m2_centroid,gpc,quantum,kta_train,honest,45,0.7453930576021719,1.0
unsw_dos_m2_centroid,gpc,quantum,ood_novelty_ratio,label_free,45,0.6511278195488721,0.9777777777777777
unsw_dos_m2_centroid,gpc,quantum,spec_train_eff_rank,honest,45,-0.631578947368421,0.0
unsw_dos_m2_centroid,svc,all,kta_drop_id_to_ood,diagnostic,45,-0.21542220182702956,0.06666666666666667
unsw_dos_m2_centroid,svc,all,kta_id,honest,45,0.3057289143454948,1.0
unsw_dos_m2_centroid,svc,all,kta_ood,diagnostic,45,0.49854583200920777,1.0
unsw_dos_m2_centroid,svc,all,kta_train,honest,45,0.4360275042509717,1.0
unsw_dos_m2_centroid,svc,all,ood_novelty_ratio,label_free,45,-0.11465028025531612,0.28888888888888886
unsw_dos_m2_centroid,svc,all,spec_train_eff_rank,honest,45,0.144795600686,0.8
unsw_dos_m2_centroid,svc,classical,kta_drop_id_to_ood,diagnostic,45,-0.7409303529896746,0.0
unsw_dos_m2_centroid,svc,classical,kta_id,honest,45,0.2984934141901143,0.9777777777777777
unsw_dos_m2_centroid,svc,classical,kta_ood,diagnostic,45,0.7028628040980276,1.0
unsw_dos_m2_centroid,svc,classical,kta_train,honest,45,0.3699248120300751,1.0
unsw_dos_m2_centroid,svc,classical,ood_novelty_ratio,label_free,45,-0.6322924617522747,0.0
unsw_dos_m2_centroid,svc,classical,spec_train_eff_rank,honest,45,0.6797840882965439,1.0
unsw_dos_m2_centroid,svc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.16992481203007515,0.17777777777777778
unsw_dos_m2_centroid,svc,quantum,kta_id,honest,45,0.5323308270676691,1.0
unsw_dos_m2_centroid,svc,quantum,kta_ood,diagnostic,45,0.5513351273687104,1.0
unsw_dos_m2_centroid,svc,quantum,kta_train,honest,45,0.6240601503759398,1.0
unsw_dos_m2_centroid,svc,quantum,ood_novelty_ratio,label_free,45,0.42196317387973603,0.9777777777777777
unsw_dos_m2_centroid,svc,quantum,spec_train_eff_rank,honest,45,-0.3557728720946794,0.0
unsw_dos_natural_cur,gpc,all,kta_drop_id_to_ood,diagnostic,45,-0.6094139438844394,0.0
unsw_dos_natural_cur,gpc,all,kta_id,honest,45,-0.3296435272045029,0.044444444444444446
unsw_dos_natural_cur,gpc,all,kta_ood,diagnostic,45,0.23414634146341468,0.9111111111111111
unsw_dos_natural_cur,gpc,all,kta_train,honest,45,-0.3304094942421868,0.044444444444444446
unsw_dos_natural_cur,gpc,all,ood_novelty_ratio,label_free,45,0.27729831144465295,0.9777777777777777
unsw_dos_natural_cur,gpc,all,spec_train_eff_rank,honest,45,0.8254995814544636,1.0
unsw_dos_natural_cur,gpc,classical,kta_drop_id_to_ood,diagnostic,45,-0.35639097744360904,0.06666666666666667
unsw_dos_natural_cur,gpc,classical,kta_id,honest,45,0.2986085205530396,0.8888888888888888
unsw_dos_natural_cur,gpc,classical,kta_ood,diagnostic,45,0.7503759398496239,1.0
unsw_dos_natural_cur,gpc,classical,kta_train,honest,45,0.3069978295707871,0.9111111111111111
unsw_dos_natural_cur,gpc,classical,ood_novelty_ratio,label_free,45,0.2700263447822197,0.8
unsw_dos_natural_cur,gpc,classical,spec_train_eff_rank,honest,45,0.7112781954887217,0.9555555555555556
unsw_dos_natural_cur,gpc,quantum,kta_drop_id_to_ood,diagnostic,45,0.07969924812030074,0.5333333333333333
unsw_dos_natural_cur,gpc,quantum,kta_id,honest,45,-0.3533834586466165,0.1111111111111111
unsw_dos_natural_cur,gpc,quantum,kta_ood,diagnostic,45,-0.25864661654135335,0.26666666666666666
unsw_dos_natural_cur,gpc,quantum,kta_train,honest,45,-0.3203007518796992,0.13333333333333333
unsw_dos_natural_cur,gpc,quantum,ood_novelty_ratio,label_free,45,0.1263157894736842,0.8222222222222222
unsw_dos_natural_cur,gpc,quantum,spec_train_eff_rank,honest,45,0.5906698436594799,0.9555555555555556
unsw_dos_natural_cur,svc,all,kta_drop_id_to_ood,diagnostic,45,-0.6046469463885814,0.0
unsw_dos_natural_cur,svc,all,kta_id,honest,45,-0.34452015110170686,0.022222222222222223
unsw_dos_natural_cur,svc,all,kta_ood,diagnostic,45,0.2546397616891103,0.9111111111111111
unsw_dos_natural_cur,svc,all,kta_train,honest,45,-0.35248862759347194,0.06666666666666667
