family,model,dim,cfg,kernel,split,svc_c,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc_C0.01__d4,linear,id_test,0.01,0.2235736846923828,0.475,0.5056837335660037,0.33279439123666027,0.6408209806157354,0.7557841222312558,0.6893140016483162,,,,
classical_ext,svc,4,linear__svc_C0.01__d4,linear,ood_test,0.01,0.2235736846923828,0.5222222222222223,0.5278825602343067,0.3963302494700341,0.6720061022120518,0.7412317148611088,0.7070348831331308,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,id_test,0.1,0.25005674362182617,0.6872222222222222,0.694300402546154,0.6856573975819752,0.707836014530358,0.7633008784627892,0.7076079071921269,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,ood_test,0.1,0.25005674362182617,0.6616666666666666,0.6628453139296118,0.6590059659957838,0.6891271056661562,0.7446186405623557,0.7027302677828782,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,id_test,10.0,0.25621628761291504,0.695,0.7000262745642388,0.6945768380945081,0.7059453668987681,0.7605271768228599,0.7057492883013695,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,ood_test,10.0,0.25621628761291504,0.6738888888888889,0.6747705521442092,0.6725523161670708,0.6934725848563968,0.7333564643607254,0.6724199755884626,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,id_test,100.0,0.42612242698669434,0.6955555555555556,0.7005492871165402,0.6951456958800164,0.7063236870310825,0.7582826845664201,0.7008546503907884,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,ood_test,100.0,0.42612242698669434,0.6722222222222223,0.6730968453312162,0.6709021742768215,0.6917450365726228,0.7322637085292988,0.6702427865587394,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,id_test,0.01,0.24534177780151367,0.6888888888888889,0.6960776537309881,0.6872576091340634,0.7098445595854922,0.7580546411786868,0.6918889794630914,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,ood_test,0.01,0.24534177780151367,0.65,0.6513738472043354,0.6461398664942508,0.6830985915492958,0.7427702162915695,0.7051413936567087,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.1__d4,rbf_gscale,id_test,0.1,0.2440018653869629,0.6872222222222222,0.694300402546154,0.6856573975819752,0.707836014530358,0.7616574788316246,0.6974747399618596,,,,
