tag,protocol,model,reference,scope,n_settings,wins,mean_delta,median_delta,wilcoxon_p
netflow_sweep_full,p1,gpc,classical_orig,ALL,27,18,0.003451241138454984,0.0031726970646805963,0.16235288977622986
netflow_sweep_full,p1,gpc,classical_orig,toniot_scanning_natural_cur,9,4,-0.0022737138214657207,-0.003008338915493347,0.25
netflow_sweep_full,p1,gpc,classical_orig,unsw_dos_natural_cur,9,6,0.0029158127496520863,0.0032042273147888656,0.42578125
netflow_sweep_full,p1,gpc,classical_orig,unsw_recon_natural_cur,9,8,0.009711624487178586,0.01124376018990425,0.02734375
netflow_sweep_full,p1,svc,classical_orig,ALL,27,17,-0.006184678854301904,0.0038187019126658672,0.6109333634376526
netflow_sweep_full,p1,svc,classical_orig,toniot_scanning_natural_cur,9,0,-0.03596564155062963,-0.02914143785784651,0.00390625
netflow_sweep_full,p1,svc,classical_orig,unsw_dos_natural_cur,9,9,0.011088963926327954,0.010658745421013083,0.00390625
netflow_sweep_full,p1,svc,classical_orig,unsw_recon_natural_cur,9,8,0.006322641061395968,0.005366916646123876,0.0546875
netflow_sweep_full,p2,gpc,classical_orig,ALL,27,20,0.004859094309274407,0.0033434879224749636,0.008215054869651794
netflow_sweep_full,p2,gpc,classical_orig,toniot_scanning_natural_cur,9,7,0.0028629755809982393,0.0029929030183003524,0.0390625
netflow_sweep_full,p2,gpc,classical_orig,unsw_dos_natural_cur,9,7,0.0074425851481463795,0.00294229480624153,0.12890625
netflow_sweep_full,p2,gpc,classical_orig,unsw_recon_natural_cur,9,6,0.004271722198678601,0.006451165635949718,0.359375
netflow_sweep_full,p2,svc,classical_orig,ALL,27,16,0.008314526150079224,0.003983136498987738,0.009608790278434753
netflow_sweep_full,p2,svc,classical_orig,toniot_scanning_natural_cur,9,0,-0.002274587237206502,-0.00151596541770882,0.00390625
netflow_sweep_full,p2,svc,classical_orig,unsw_dos_natural_cur,9,8,0.01956996267793947,0.016434977607084456,0.0078125
netflow_sweep_full,p2,svc,classical_orig,unsw_recon_natural_cur,9,8,0.007648203009504701,0.007299233970654462,0.0390625
netflow_sweep_full,p3,gpc,classical_orig,ALL,27,26,0.007975889015915004,0.006060727823372969,2.9802322387695312e-08
netflow_sweep_full,p3,gpc,classical_orig,toniot_scanning_natural_cur,9,9,0.004059335664661595,0.0034398303926017615,0.00390625
netflow_sweep_full,p3,gpc,classical_orig,unsw_dos_natural_cur,9,9,0.010772210829446424,0.009894244706587396,0.00390625
