tag,protocol,model,reference,scope,n_settings,wins,mean_delta,median_delta,wilcoxon_p
ember_sweep,p1,gpc,classical_orig,ALL,18,11,0.0054063828839826834,0.0040405267124146715,0.2121429443359375
ember_sweep,p1,gpc,classical_orig,ember_m1,9,3,-0.006871218691341663,-0.004730199421656867,0.1640625
ember_sweep,p1,gpc,classical_orig,ember_m2,9,8,0.01768398445930703,0.02209238384876111,0.0078125
ember_sweep,p1,svc,classical_orig,ALL,18,11,0.0065312855915552965,0.012455173589924429,0.2121429443359375
ember_sweep,p1,svc,classical_orig,ember_m1,9,2,-0.014345658357783219,-0.006741988801009957,0.09765625
ember_sweep,p1,svc,classical_orig,ember_m2,9,9,0.02740822954089381,0.025055469794687313,0.00390625
ember_sweep,p2,gpc,classical_orig,ALL,18,14,0.011553779906127092,0.010535804397869886,0.0076904296875
ember_sweep,p2,gpc,classical_orig,ember_m1,9,5,0.0019405202364122982,0.005124317376962173,0.91015625
ember_sweep,p2,gpc,classical_orig,ember_m2,9,9,0.021167039575841887,0.024155634375999435,0.00390625
ember_sweep,p2,svc,classical_orig,ALL,18,15,0.01511688127975889,0.020208677974350886,0.00128936767578125
ember_sweep,p2,svc,classical_orig,ember_m1,9,6,0.006951506911897375,0.0026685452762236217,0.30078125
ember_sweep,p2,svc,classical_orig,ember_m2,9,9,0.023282255647620407,0.02601220866563614,0.00390625
ember_sweep,p3,gpc,classical_orig,ALL,18,17,0.013358237491462779,0.010375584962128814,2.288818359375e-05
ember_sweep,p3,gpc,classical_orig,ember_m1,9,8,0.005549073893698643,0.007183874452078465,0.01171875
ember_sweep,p3,gpc,classical_orig,ember_m2,9,9,0.021167401089226916,0.02174677027645422,0.00390625
ember_sweep,p3,svc,classical_orig,ALL,18,18,0.01630064633816712,0.014779918552661309,7.62939453125e-06
ember_sweep,p3,svc,classical_orig,ember_m1,9,9,0.00843664182922483,0.0050976533478980235,0.00390625
ember_sweep,p3,svc,classical_orig,ember_m2,9,9,0.024164650847109417,0.027230123801671002,0.00390625
ember_sweep,p1,gpc,classical_ext,ALL,18,8,-0.002494323164495851,-0.0012794956696527415,0.6094589233398438
ember_sweep,p1,gpc,classical_ext,ember_m1,9,1,-0.014996027389400868,-0.014493033639133568,0.01171875
ember_sweep,p1,gpc,classical_ext,ember_m2,9,7,0.010007381060409166,0.009976169980334681,0.01953125
ember_sweep,p1,svc,classical_ext,ALL,18,8,-0.006716040510067344,-0.0031539057292352957,0.4171142578125
ember_sweep,p1,svc,classical_ext,ember_m1,9,0,-0.023620814985851113,-0.01716270821649435,0.00390625
ember_sweep,p1,svc,classical_ext,ember_m2,9,8,0.010188733965716425,0.009571827433028757,0.0078125
ember_sweep,p2,gpc,classical_ext,ALL,18,12,0.0027559062270224558,0.007190161495121528,0.49507904052734375
ember_sweep,p2,gpc,classical_ext,ember_m1,9,3,-0.008666664145006116,-0.010242263810242846,0.1640625
ember_sweep,p2,gpc,classical_ext,ember_m2,9,9,0.014178476599051026,0.011492903108317964,0.00390625
ember_sweep,p2,svc,classical_ext,ALL,18,16,0.009680774234320998,0.011561439567643828,0.0023345947265625
ember_sweep,p2,svc,classical_ext,ember_m1,9,7,0.0053789984156752645,0.007276809450538324,0.1640625
ember_sweep,p2,svc,classical_ext,ember_m2,9,9,0.013982550052966732,0.014139266130060335,0.00390625
ember_sweep,p3,gpc,classical_ext,ALL,18,12,0.006167508806416372,0.005029997632721717,0.03423309326171875
ember_sweep,p3,gpc,classical_ext,ember_m1,9,3,-0.0018540027334617015,-0.0013720983732051772,0.49609375
ember_sweep,p3,gpc,classical_ext,ember_m2,9,9,0.014189020346294446,0.01216509492883977,0.00390625
ember_sweep,p3,svc,classical_ext,ALL,18,16,0.007762006555964078,0.007163886746498316,0.00104522705078125
ember_sweep,p3,svc,classical_ext,ember_m1,9,7,0.001522393065935305,0.00207754373906488,0.203125
ember_sweep,p3,svc,classical_ext,ember_m2,9,9,0.01400162004599285,0.014323733927626758,0.00390625
