setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
m2_hist_byteent__ms42__q1000_id500_ood500,svc,0.7586000361532552,0.01740511437323315,0.7859341880594071,15,0.7601799877572581,5,0.7626751687896095,zz_r1_full__svc__d10,quantum,20,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7769687400839643,0.008451370186671326,0.7895869244610242,15,0.7742091395771978,5,0.7775411888838234,zz_r2_full__gpc__d12,quantum,20,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7831172736740395,0.008385804691595099,0.7914475265164178,15,0.7836346815141019,5,0.7836346815141019,zz_r2_full__svc__d12,quantum,20,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7921669271351335,0.00838119497013187,0.8051739767600298,15,0.7931428887231319,5,0.7931428887231319,zz_r2_full__gpc__d12,quantum,20,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7944827375067238,0.01036334013411416,0.8012819564194962,15,0.7949136150029429,5,0.7949136150029428,zz_r2_full__svc__d12,quantum,20,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7750847514240405,0.021146707346726034,0.798776648476251,15,0.7672360752946872,5,0.7745483411095773,zz_r1_full__gpc__d10,quantum,20,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,svc,0.767494446478087,0.02191410010472712,0.7982003676233358,15,0.7692636480542426,5,0.7749974685908573,zz_r1_full__svc__d12,quantum,20,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7777451747398361,0.02146274979763358,0.7899147152196098,15,0.7799046857094156,5,0.7799046857094155,zz_r2_full__gpc__d12,quantum,20,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7773270689510229,0.022064186733169604,0.7875433502475677,15,0.7800383698906503,5,0.7800383698906503,zz_r2_full__svc__d12,quantum,20,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7976017750224943,0.010791330431967996,0.7930171541974602,15,0.7976017750224943,5,0.7976017750224943,zz_r2_full__gpc__d12,quantum,20,ember_m2
