setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
m2_hist_byteent__ms42__q1000_id500_ood500,svc,0.7635546252717842,0.02113924465394937,0.788312701115616,15,0.763370071384452,5,0.7658548784896159,zz_r1_full__as0.5__svc__d12,quantum,60,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7841248666318132,0.011219060182265676,0.7965332073470517,15,0.791164317645093,5,0.7911643176450931,zz_r2_full__as2__gpc__d12,quantum,60,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7857353663661598,0.013032699749767444,0.7991826879739917,15,0.7879667492125562,5,0.7879667492125562,zz_r2_full__as2__svc__d12,quantum,60,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.795292355629419,0.005931338362728285,0.8064093279601986,15,0.8023655718952607,5,0.8023655718952608,zz_r2_full__as2__gpc__d12,quantum,60,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.792196977959939,0.011582682838231946,0.8048795263956339,15,0.8045648543255244,5,0.8045648543255245,zz_r2_full__as2__svc__d12,quantum,60,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7752368835569385,0.027190894729784105,0.8108390622195562,15,0.776041642244562,5,0.778690118650064,zz_r2_full__as2__gpc__d12,quantum,60,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,svc,0.7733726860724663,0.02300906413304549,0.8079055891645164,15,0.7762911128853698,5,0.7796723965163836,zz_r1_full__as2__svc__d12,quantum,60,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7785738553942387,0.020560602938257976,0.7921414282651915,15,0.7845437684286398,5,0.7864864867620537,zz_r2_full__as2__gpc__d10,quantum,60,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7822020427725911,0.018045394254767033,0.7928241023392459,15,0.7866268996266383,5,0.7877896903243127,zz_r2_full__as2__svc__d10,quantum,60,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7998601247848857,0.01428259889978196,0.7973463932736349,15,0.802643557187874,5,0.8046411497061615,zz_r2_full__as2__gpc__d12,quantum,60,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.803276677652802,0.009173279408116177,0.7986887979948872,15,0.8044560019634434,5,0.8070996719789079,zz_r2_full__as2__svc__d12,quantum,60,ember_m2
m1_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7586888201171734,0.020322474135931624,0.7762234444391284,15,0.7653093633743995,5,0.7653093633743996,laplacian_med__gpc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms123__q1000_id500_ood500,svc,0.7593595219136523,0.021462352855112218,0.7718459505345439,15,0.7554237416915395,5,0.7616983604005679,laplacian_med__svc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7804644841768343,0.024756293301015787,0.7871465428658078,15,0.775339826357736,5,0.7753398263577361,laplacian_med__gpc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7595046570030183,0.02673357056859035,0.7880229232205328,15,0.7179864570999455,5,0.7595046570030183,laplacian_med__svc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7494486663879312,0.016584863059983853,0.7842497153222893,15,0.7431047075063527,5,0.7576003385047032,matern25_med__gpc__d10,classical_ext,55,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7515731037190946,0.0186503451617284,0.7855650341303471,15,0.7411257776883363,5,0.7513333569536766,laplacian_med__svc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7557274112899609,0.010693352255126609,0.7728243522262551,15,0.7673370900709923,5,0.7673370900709923,laplacian_med__gpc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,svc,0.7564840924028631,0.008307379077863487,0.7763746822345005,15,0.7389907742884622,5,0.7562392368627352,laplacian_med__svc__d4,classical_ext,55,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.765214264867771,0.019698687007742004,0.778348988579197,15,0.7645555573582812,5,0.7645555573582811,laplacian_med__gpc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7508820446781057,0.016340399706496127,0.7818145325193261,15,0.728415826066211,5,0.7527361281897168,laplacian_med__svc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7543692120429902,0.007049940786907454,0.7887811065173427,15,0.7358419436772137,5,0.7637135977517093,rbf_gscale__gpc__d10,classical_ext,55,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7502126134897159,0.014224659519712229,0.7937141736650944,15,0.7403034237606921,5,0.7533704714232766,rbf_gscale_x3__svc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7531769919770236,0.03248239350151511,0.7735869341975216,15,0.7663231727968458,5,0.7663231727968457,laplacian_med__gpc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,svc,0.7629443271886184,0.02686628484623034,0.7678658375532664,15,0.7673958571690997,5,0.7673958571690999,laplacian_med__svc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7614776673057332,0.010187395545964628,0.7856361755868747,15,0.7642924155314256,5,0.7677093700883287,matern25_med__gpc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7535289598235664,0.007433800212456497,0.7884736650719241,15,0.7404593304303331,5,0.7554850671821333,matern25_med__svc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7495275584491273,0.005649653683075115,0.7824408182640661,15,0.7573194196073663,5,0.7641596466178593,rbf_gscale_x3__gpc__d12,classical_ext,55,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7501238008458446,0.010892114959375747,0.7875209868705977,15,0.7494431386331992,5,0.7631231904866514,rbf_gscale__svc__d12,classical_ext,55,ember_m1
m2_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7647877816726588,0.02233907350437049,0.7613516198173571,15,0.7622561341623523,5,0.766534792190449,laplacian_med__gpc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms123__q1000_id500_ood500,svc,0.7616252382857737,0.023030383231240233,0.7633267643277476,15,0.7573167482907353,5,0.7615569176409182,laplacian_med__svc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7713998322494927,0.020569620927498772,0.7779230866355795,15,0.7703410814902782,5,0.7715423115498592,laplacian_med__gpc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7716249361923215,0.020288232875602177,0.7773120736608864,15,0.7753073296273678,5,0.7753073296273676,laplacian_med__svc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7794821702322294,0.009948920750968895,0.7778294606714168,15,0.7795858433950605,5,0.7795858433950605,laplacian_med__gpc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7853324931886376,0.01063624801196845,0.7798334301636207,15,0.7850326448441312,5,0.7850326448441312,laplacian_med__svc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7582149340206754,0.020917695102415895,0.7685620605081962,15,0.7574300006670917,5,0.7619964933577903,laplacian_med__gpc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,svc,0.7551824566309441,0.019685567520282422,0.7637725948597733,15,0.7623488483398589,5,0.7623488483398588,laplacian_med__svc__d10,classical_ext,55,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7586118140721384,0.015687773008581082,0.7623915087712166,15,0.7590310744456322,5,0.7671158128805652,laplacian_med__gpc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7649783811011569,0.013443198148754146,0.7711021996035111,15,0.7580617566038279,5,0.7670367930323879,laplacian_med__svc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7827406979310013,0.006688492109367553,0.78939045598373,15,0.7816140723486613,5,0.7829502423172918,laplacian_med__gpc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7826251505269103,0.007534635936847776,0.7886343839739005,15,0.782469873859427,5,0.7833724778286619,laplacian_med__svc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7652607135766039,0.01901622171257945,0.764711675742914,15,0.764548739136244,5,0.7665250237212242,laplacian_med__gpc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,svc,0.7702631840958343,0.013009908498956453,0.7722687438586952,15,0.7646798771284286,5,0.7685477049972812,laplacian_med__svc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7756632417564016,0.016120937590351,0.7667330200857044,15,0.7759339189298271,5,0.7759339189298271,laplacian_med__gpc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7761609348725571,0.017280098335522815,0.7696560828763633,15,0.7751152562482919,5,0.7764152293578325,laplacian_med__svc__d10,classical_ext,55,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7856539349719217,0.013102457263768446,0.7772082188688031,15,0.7856539349719217,5,0.7856539349719217,laplacian_med__gpc__d12,classical_ext,55,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7874036053663617,0.012783360958749592,0.7777637863018361,15,0.7866914675012842,5,0.7875384664562721,laplacian_med__svc__d12,classical_ext,55,ember_m2
m1_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7464146044193603,0.03309291472182229,0.7671032370222483,15,0.740061064448187,5,0.7460283237335241,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms123__q1000_id500_ood500,svc,0.7495760722255792,0.01401638631642897,0.761184729467997,15,0.7439744745761889,5,0.7487260114614348,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7674995870512974,0.02144656619251121,0.7745253192706832,15,0.7536084037989432,5,0.7671750122850194,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m1
