dim,kernel,family,representation,spec_train_eff_rank,kta_train
4,linear,classical_ext_plain,plain,3.5133169818014105,0.22781660636671464
4,rbf_gscale,classical_ext_plain,plain,7.861577613035841,0.2756004606642609
4,poly2,classical_ext_plain,plain,5.530276805469346,0.2574953351263533
4,poly3,classical_ext_plain,plain,6.786744490515158,0.27444015055738014
4,laplacian_med,classical_ext_plain,plain,11.004689158889148,0.2544132326376429
4,matern15_med,classical_ext_plain,plain,4.79918896430272,0.2591308113944069
4,matern25_med,classical_ext_plain,plain,4.123433188643114,0.2526551820314205
6,linear,classical_ext_plain,plain,4.948058057311922,0.21398093419764724
6,rbf_gscale,classical_ext_plain,plain,11.140971394523904,0.24056112758841194
6,poly2,classical_ext_plain,plain,7.1120408601567915,0.22958989133194033
6,poly3,classical_ext_plain,plain,9.58589586081935,0.2423361065709629
6,laplacian_med,classical_ext_plain,plain,15.194624128791599,0.24078937581428989
6,matern15_med,classical_ext_plain,plain,6.667887231078746,0.23145712850494823
6,matern25_med,classical_ext_plain,plain,5.472218766800263,0.2257042832307188
8,linear,classical_ext_plain,plain,6.81475837182883,0.19932486097891666
8,rbf_gscale,classical_ext_plain,plain,19.208644012730147,0.21461959978573109
8,poly2,classical_ext_plain,plain,9.789776942435914,0.2076926072921956
8,poly3,classical_ext_plain,plain,14.904540979036028,0.21825619083356426
8,laplacian_med,classical_ext_plain,plain,20.82197437878126,0.23020074031378468
8,matern15_med,classical_ext_plain,plain,9.432361505113361,0.21050570695673393
8,matern25_med,classical_ext_plain,plain,7.364230975273872,0.20443232301961925
10,linear,classical_ext_plain,plain,8.383507846305909,0.19965350807087354
10,rbf_gscale,classical_ext_plain,plain,24.055508116958855,0.20985327302321694
10,poly2,classical_ext_plain,plain,11.511013944435412,0.202872008171677
10,poly3,classical_ext_plain,plain,18.346638545431148,0.21484584202009585
10,laplacian_med,classical_ext_plain,plain,25.032206903886973,0.23025482836343147
10,matern15_med,classical_ext_plain,plain,11.15985874097573,0.20544755644232315
10,matern25_med,classical_ext_plain,plain,8.633182937837445,0.19845647537136712
12,linear,classical_ext_plain,plain,9.7543586985095,0.19370851846249282
12,rbf_gscale,classical_ext_plain,plain,25.396627415006993,0.19980081944169398
12,poly2,classical_ext_plain,plain,12.335026669818102,0.19557087011809401
12,poly3,classical_ext_plain,plain,20.15353347203252,0.20548303164651494
12,laplacian_med,classical_ext_plain,plain,29.039555003565802,0.22266517376865017
12,matern15_med,classical_ext_plain,plain,12.55042771104643,0.19667785370729585
12,matern25_med,classical_ext_plain,plain,9.607355462411334,0.19100796781894142
