variant_name,master_seed,size_tag,family,dim,cfg,n_runs,drop_bal_acc_mean,drop_bal_acc_std
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,4,zz_r2_full__d4,15,0.005763625152014747,0.035426629838982454
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,6,zmap_r2__d6,15,0.01779582937058377,0.07119582051251323
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,4,zz_r1_full__d4,15,0.018925535185527687,0.06329165191920952
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,4,zmap_r2__d4,15,0.020806720709859346,0.08012844675229813
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,12,zmap_r2__d12,15,0.022841030347338642,0.0177852673011543
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,6,pauli_xz_r1_full__d6,15,0.026291502144432603,0.07198939773501695
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,12,zz_r1_full__d12,15,0.029551980188988813,0.010051190564990589
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,6,zz_r1_full__d6,15,0.029861081870223894,0.025352226760567496
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,12,pauli_xz_r1_full__d12,15,0.031414851130419905,0.059791080054899665
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,10,zz_r1_full__d10,15,0.032188223609091106,0.013249043298173046
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,8,pauli_xz_r1_full__d8,15,0.03237853440735121,0.07008236602284108
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,8,zz_r2_full__d8,15,0.03385653808182361,0.023590479524624394
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,8,zz_r1_full__d8,15,0.03558641997131707,0.03057206252755572
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,4,pauli_xz_r1_full__d4,15,0.03717156688337666,0.06946360389383842
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,6,zz_r2_full__d6,15,0.03786639126461471,0.02963032503192325
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,10,zmap_r2__d10,15,0.04202037205104825,0.05271940330538898
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,10,zz_r2_full__d10,15,0.04218393944958796,0.018602531293711567
