family,kernel,dim,kta_ood_full,kta_null_mean,kta_null_std,kta_null_exceed_frac,kta_ood_halfA,eff_rank_train,bacc_svc_halfB,bacc_gpc_halfB
classical_ext,linear,4,0.05722154355160208,0.002666881037245278,0.0022643856458480914,0.0,0.04823869193812614,1.138751206817429,0.7050966841650608,0.6950295700711011
classical_ext,rbf_gscale,4,0.07507637005337495,0.003492017926115308,0.002439553072722995,0.0,0.05659500153699193,1.7081701974898962,0.7204465412984251,0.6999800651206061
classical_ext,poly2,4,0.06210820420436923,0.0032868473095493916,0.0024919936991816068,0.0,0.048356184283685065,1.2049918230251475,0.7066914745165791,0.7033357698185926
classical_ext,poly3,4,0.06704328028470069,0.00331835665250333,0.0024307279588461966,0.0,0.05400299099128353,1.2851012311210335,0.7033357698185926,0.6999800651206061
classical_ext,laplacian_med,4,0.09600246200192061,0.007032558508212865,0.0023502830054454712,0.0,0.08532445207068612,17.064463812114628,0.7436042261944316,0.7351319024519902
classical_ext,matern15_med,4,0.09281603905672092,0.004584137857261712,0.0023659627426026505,0.0,0.07702853409142513,6.3880523295938385,0.7253970363479301,0.692172237357964
classical_ext,matern25_med,4,0.09161710215974389,0.004197881758001145,0.002372020589725291,0.0,0.07469969569794077,5.2363603507843735,0.7337032360954217,0.7004784371054555
quantum,zz_r1_full,4,0.09732217600466825,0.006871729116238259,0.0023474517758314485,0.0,0.09229968800242719,16.46980479774779,0.7135690079075021,0.7333709881055219
quantum,zz_r2_full,4,0.08972300071364153,0.008380444325789363,0.002490654061109149,0.0,0.08531070227742489,24.811123523046607,0.7305136553923849,0.7285866170509668
quantum,pauli_xz_r1_full,4,0.08709869687973577,0.003456418341134284,0.0024303177755018337,0.0,0.06774273218448966,3.2669685444615513,0.7073559704963785,0.6950295700711011
quantum,zmap_r2,4,0.10050974489283715,0.003430225681946984,0.0022555128936694777,0.0,0.08106551106148142,4.090667358530347,0.7057611801448602,0.7186856269519569
classical_ext,linear,6,0.044662200092645134,0.00435916859304149,0.0034586701733062028,0.0,0.04795704927229555,1.1968193895249726,0.6580636877247047,0.6467000513610683
classical_ext,rbf_gscale,6,0.053616799281415176,0.004868598099410549,0.002684975292031563,0.0,0.05750323770344392,2.58291681505651,0.6391242937853108,0.6609527478171546
classical_ext,poly2,6,0.046725463103768586,0.004880996460126566,0.0034135233115140952,0.0,0.052032303118059356,1.2958362044174558,0.6618515665125835,0.6542758089368259
classical_ext,poly3,6,0.04998308849217736,0.005060810047459845,0.0033320146352197005,0.0,0.0556313616637638,1.422696205534234,0.669427324088341,0.6542758089368259
classical_ext,laplacian_med,6,0.08245170005924153,0.008493219595417488,0.0024974489832015256,0.0,0.08267737871509835,17.73440882066091,0.7146892655367232,0.7260529019003595
classical_ext,matern15_med,6,0.07359697218214278,0.0062632713546202316,0.002377878526975782,0.0,0.0718860243667513,8.024797119718828,0.6959424756034926,0.6977401129943502
classical_ext,matern25_med,6,0.07053150649931729,0.0058031650337374095,0.002410448334295403,0.0,0.06928283608055284,6.623663329109221,0.6997303543913713,0.7142398561890086
