variant,model,scope,stratum,effect,ci_lo,ci_hi,ci_method,bca_lo,bca_hi,bca_method,jackknife_min,jackknife_max,unit_of_resampling,n_independent_clusters,n_lower_level_obs,n_settings,method,assumptions
full,gpc,ember_m1,all,-0.0002609609388653709,-0.006727394939572628,0.006205473061841886,cluster_t,-0.004687859281817958,0.003996035722023112,bca,-0.002116635896539884,0.0015156481546224397,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,ember_m1,q1000,-0.008342676988586779,-0.028784921423887153,0.012099567446713595,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,ember_m1,q2000,0.0035751508472748306,-0.004133051978650014,0.011283353673199676,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,ember_m1,q4000,0.003984643324715835,-0.00704963118433018,0.015018917833761851,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,ember_m2,all,4.0819765708009595e-05,-0.005565100469190739,0.005646740000606758,cluster_t,-0.0033156179210379532,0.0033354254182003766,bca,-0.001312005595582197,0.0015423723833777898,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,ember_m2,q1000,-0.0013216944532803306,-0.012461967150768822,0.009818578244208162,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,ember_m2,q2000,0.0026114509988167996,-0.006404178496736199,0.011627080494369798,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,ember_m2,q4000,-0.0011672972484124404,-0.005900859067186632,0.0035662645703617513,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,toniot_scanning_m2_centroid,all,0.007140621390143533,-0.005995974363806801,0.020277217144093865,cluster_t,0.00045425061414415644,0.018225314533158322,bca,0.0028469748772248535,0.009784329679819558,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,toniot_scanning_m2_centroid,q1000,0.016057763663613313,-0.023862756847236405,0.05597828417446303,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
