variant,model,group,sd_between_qs,sd_between_ms,sd_between_size,sd_run_level,n_runs
full,gpc,ember_m1,0.005207877501531681,0.0025957665421029747,0.0070019655635766755,0.02661319403820781,135
full,gpc,ember_m2,0.004514844791351344,0.0011946262892732309,0.0022275700497837478,0.011168356138067336,135
full,gpc,toniot_scanning_m2_centroid,0.010579831397990283,0.007948580339572173,0.007749095113509658,0.027888124025232677,135
full,gpc,toniot_scanning_natural_cur,0.00821480319120069,0.009764475013182432,0.004322464863183253,0.018469101007908197,135
full,gpc,unsw_dos_m2_centroid,0.0050352494866604675,0.010209232967065074,0.006165284169295113,0.03821039251672143,135
full,gpc,unsw_dos_natural_cur,0.006664947109012205,0.0038497312012139534,0.003735003053518903,0.015236995698568982,135
full,gpc,unsw_recon_m2_centroid,0.016539255929484114,0.0038771429692648954,0.002999777625209119,0.035982507513949026,135
full,gpc,unsw_recon_natural_cur,0.007847746587576242,0.00489446263371915,0.008961558276696627,0.021468123013806878,135
full,svc,ember_m1,0.02739402508500818,0.010925037869487151,0.017716728634170828,0.05808980575870633,135
full,svc,ember_m2,0.004119372134575213,0.002622884436061947,0.011110892153833934,0.019285485484814572,135
full,svc,toniot_scanning_m2_centroid,0.0028592783900190737,0.001590491681819463,0.00357185285174441,0.010900819712073826,135
full,svc,toniot_scanning_natural_cur,0.013113463744326813,0.016944405863036097,0.012566726090413224,0.04762993669359896,135
full,svc,unsw_dos_m2_centroid,0.007638378254097783,0.005405895049904722,0.008120971821246515,0.02787067854363818,135
full,svc,unsw_dos_natural_cur,0.01168612395203702,0.00855830341632843,0.0017819688070525438,0.021535882998511908,135
full,svc,unsw_recon_m2_centroid,0.00413047007445268,0.0022220892786394787,0.007194924177284705,0.01758620548035037,135
full,svc,unsw_recon_natural_cur,0.009661197292984564,0.011687820019055727,0.008208076495963883,0.025473055470283983,135
matched60,gpc,ember_m1,0.009985303780236062,0.00336808086719474,0.011234578770701753,0.031376427476646616,135
matched60,gpc,ember_m2,0.0066505294881953276,0.0022368134372724915,0.003879841401322741,0.015063003450648552,135
matched60,gpc,toniot_scanning_m2_centroid,0.0021855691629168346,0.005259619496329567,0.01165582524616589,0.01976458435251603,135
matched60,gpc,toniot_scanning_natural_cur,0.0072148170404645615,0.010122286776654879,0.004687128308003593,0.01854380873090059,135
matched60,gpc,unsw_dos_m2_centroid,0.00592248136300775,0.01528583160495574,0.005573605177284898,0.0362006131858262,135
matched60,gpc,unsw_dos_natural_cur,0.005326612430933408,0.004182979973400299,0.00903185660063169,0.016446998876400155,135
matched60,gpc,unsw_recon_m2_centroid,0.008554758190405945,0.011680201870023835,0.009299801723122543,0.03744873582647369,135
matched60,gpc,unsw_recon_natural_cur,0.0064673126352943235,0.0025832496597225393,0.007506440923044224,0.020102224081251098,135
matched60,svc,ember_m1,0.022819363573458304,0.005295940721135513,0.013762408861807901,0.05206329076472377,135
matched60,svc,ember_m2,0.005621094495558725,0.0003815161089323389,0.01129923541547122,0.018713376594780437,135
matched60,svc,toniot_scanning_m2_centroid,0.002324204463237833,0.0007934939505853295,0.003975263333518421,0.009805703948976755,135
matched60,svc,toniot_scanning_natural_cur,0.008336089024910709,0.01367673342251447,0.021877411635917582,0.048432959986129676,135
matched60,svc,unsw_dos_m2_centroid,0.005345260860800104,0.0020482479795451325,0.0030605899583644506,0.018763357075278157,135
matched60,svc,unsw_dos_natural_cur,0.007770836745320585,0.006824439807035732,0.0017299301653402118,0.01774830573216239,135
matched60,svc,unsw_recon_m2_centroid,0.0026777706743521326,0.001558017154667152,0.007131076305575107,0.016282233391979047,135
matched60,svc,unsw_recon_natural_cur,0.011522475858393739,0.00993690566113722,0.00455936521374056,0.021618630197235804,135
budget60,gpc,ember_m1,0.007374643209037987,0.0008752830314282311,0.008974972955131923,0.02743625075214533,135
budget60,gpc,ember_m2,0.004355710728887961,0.0018079449649841032,0.0030588895994174965,0.0109468389961178,135
budget60,gpc,toniot_scanning_m2_centroid,0.007475666245820938,0.003870421058993677,0.00771271718221166,0.019046334396429367,135
budget60,gpc,toniot_scanning_natural_cur,0.008054890079895771,0.00941232493467283,0.003916337197879801,0.018510173459598572,135
budget60,gpc,unsw_dos_m2_centroid,0.005539599708246717,0.011090789980066051,0.006231860074930076,0.033860410181675585,135
budget60,gpc,unsw_dos_natural_cur,0.005052655293434857,0.0023407194607477266,0.002641538496788865,0.013339028650237625,135
budget60,gpc,unsw_recon_m2_centroid,0.010777513499098078,0.0037107710814443047,0.0035445001262231018,0.032631798502356466,135
budget60,gpc,unsw_recon_natural_cur,0.005695602372129199,0.0042594323930309885,0.0065974867511402815,0.019329279669181406,135
budget60,svc,ember_m1,0.022663228927648705,0.00910443950178489,0.011605837552647482,0.04959655846584964,135
budget60,svc,ember_m2,0.00587801486754573,0.001208711126880389,0.008939733352716915,0.015985533517013813,135
budget60,svc,toniot_scanning_m2_centroid,0.00312657932571851,0.0008971263541773748,0.0017792477219608944,0.009598737575502825,135
budget60,svc,toniot_scanning_natural_cur,0.009641638128370742,0.01795086870036195,0.014150021642778121,0.04100709945945171,135
budget60,svc,unsw_dos_m2_centroid,0.006031874976644014,0.004019705293481248,0.006352491555982547,0.01919179335234393,135
budget60,svc,unsw_dos_natural_cur,0.008519657127342106,0.00778572707115815,0.0011212468985705559,0.017453451297196974,135
budget60,svc,unsw_recon_m2_centroid,0.004606870134545492,0.0017036770211458047,0.007039953921451968,0.015375702327079728,135
budget60,svc,unsw_recon_natural_cur,0.008656318024720335,0.012851281162381446,0.006885346369262232,0.02195934270846748,135
