group,model,family,budget,e_p1_ood,p2.5,p97.5
ember_m1,svc,classical_ext,5,0.7293562918159895,0.7162443246362037,0.7450623724766743
ember_m1,svc,classical_ext,10,0.7284923015051367,0.7187058245795719,0.7400560564584666
ember_m1,svc,classical_ext,20,0.7271787905270798,0.71924726446544,0.7354805536978177
ember_m1,svc,classical_ext,30,0.7262639997293561,0.7182681344019545,0.7340170723677241
ember_m1,svc,classical_ext,40,0.7252792762990281,0.7179019575394762,0.7324918697250562
ember_m1,svc,classical_ext,50,0.7245160806257189,0.7175539454651004,0.7318478727920592
ember_m1,svc,classical_ext,60,0.7239512361123117,0.7171069224994395,0.7308185298470796
ember_m1,svc,classical_ext,115,0.7207681976010759,,
ember_m1,svc,quantum,5,0.7232978274273527,0.7064560357991488,0.7357320793674851
ember_m1,svc,quantum,10,0.7228616438180889,0.7095412876746657,0.7349770885017808
ember_m1,svc,quantum,20,0.7222075761424649,0.7111858425333394,0.7338760483178206
ember_m1,svc,quantum,30,0.7216260558263653,0.7120043462925542,0.7322392152697769
ember_m1,svc,quantum,40,0.7209088304028486,0.712738356852393,0.7299702202504342
ember_m1,svc,quantum,50,0.7200097734145154,0.7143582713190725,0.7266547931882373
ember_m1,svc,quantum,60,0.7183266894829807,0.718258693789446,0.7183922806136802
ember_m2,svc,classical_ext,5,0.7800758996078863,0.7626739083912185,0.7924246608693835
ember_m2,svc,classical_ext,10,0.7830403010385204,0.7743583390686621,0.7920312471773102
ember_m2,svc,classical_ext,20,0.7844704756342853,0.7775767636156401,0.7915946023951952
ember_m2,svc,classical_ext,30,0.7851535843677907,0.7787604401667508,0.7907838572844663
ember_m2,svc,classical_ext,40,0.7854081271880096,0.7800016787521269,0.7901826889368735
ember_m2,svc,classical_ext,50,0.7853675481175099,0.7805809845947477,0.7892944410178939
ember_m2,svc,classical_ext,60,0.785315648162929,0.7809930934380166,0.7888039265264595
ember_m2,svc,classical_ext,115,0.7837992732777914,,
ember_m2,svc,quantum,5,0.7756183753874378,0.7632320438257041,0.7838356383356833
ember_m2,svc,quantum,10,0.7771417651867248,0.7692902906180588,0.7826510190740656
ember_m2,svc,quantum,20,0.7777936226962688,0.7731195236475094,0.7816587221089197
ember_m2,svc,quantum,30,0.7780655723704514,0.7749455967486468,0.7809011475565059
ember_m2,svc,quantum,40,0.7782998386543591,0.7761168270284428,0.7805056706185847
ember_m2,svc,quantum,50,0.7784466300467018,0.7768552549860969,0.7799756991505699
ember_m2,svc,quantum,60,0.7785846430245418,0.7783721954537752,0.7788688949025929
toniot_scanning_m2_centroid,svc,classical_ext,5,0.9588795729609374,0.9431052685029281,0.9627010200679086
toniot_scanning_m2_centroid,svc,classical_ext,10,0.9606903031920856,0.9589296407086229,0.9626004850505036
toniot_scanning_m2_centroid,svc,classical_ext,20,0.9606056553546292,0.9589306624014419,0.9623949659077036
toniot_scanning_m2_centroid,svc,classical_ext,30,0.9604373085273804,0.9589009160795027,0.9620307681078555
toniot_scanning_m2_centroid,svc,classical_ext,40,0.9603410460135863,0.9588152983627183,0.9618405132905639
toniot_scanning_m2_centroid,svc,classical_ext,50,0.9602840117219358,0.9588224806018713,0.9618387525135903
toniot_scanning_m2_centroid,svc,classical_ext,60,0.9602730850976855,0.958844786165874,0.9617362419623999
toniot_scanning_m2_centroid,svc,classical_ext,115,0.9605604642933424,,
toniot_scanning_m2_centroid,svc,quantum,5,0.9589723832048941,0.9539656299113775,0.9619615993141045
toniot_scanning_m2_centroid,svc,quantum,10,0.9589902779012996,0.9557031933677687,0.9614841470833111
toniot_scanning_m2_centroid,svc,quantum,20,0.9589531139283449,0.9565418580871814,0.9610181501562082
toniot_scanning_m2_centroid,svc,quantum,30,0.958909458070841,0.9566470844895686,0.9608104089459679
toniot_scanning_m2_centroid,svc,quantum,40,0.9588918921489122,0.9570061826686362,0.9606162611172204
toniot_scanning_m2_centroid,svc,quantum,50,0.9588880487729234,0.9571743567043698,0.960287315846333
toniot_scanning_m2_centroid,svc,quantum,60,0.9588750162203613,0.9574695448682713,0.9600925282172414
toniot_scanning_natural_cur,svc,classical_ext,5,0.9699897542006242,0.9441975811755751,0.9860703726849608
toniot_scanning_natural_cur,svc,classical_ext,10,0.9680394602996376,0.9486480495949873,0.9819175457724948
toniot_scanning_natural_cur,svc,classical_ext,20,0.9667795661636275,0.9525328608634541,0.9777825737014428
toniot_scanning_natural_cur,svc,classical_ext,30,0.9664532119385755,0.9546136624196939,0.9762356686130954
toniot_scanning_natural_cur,svc,classical_ext,40,0.9663258287087161,0.9559363622718741,0.9753151845579668
toniot_scanning_natural_cur,svc,classical_ext,50,0.9655575864488256,0.9562763102569065,0.9739334723726991
toniot_scanning_natural_cur,svc,classical_ext,60,0.9649928099301627,0.9556820636733045,0.9734590049902271
toniot_scanning_natural_cur,svc,classical_ext,115,0.9591165663004623,,
toniot_scanning_natural_cur,svc,quantum,5,0.9459883100953197,0.9249843669536317,0.9658106860571362
toniot_scanning_natural_cur,svc,quantum,10,0.9448572561037365,0.9274134545897413,0.961793260503396
toniot_scanning_natural_cur,svc,quantum,20,0.9436715752463813,0.930550929224893,0.9563061444920851
toniot_scanning_natural_cur,svc,quantum,30,0.9434823038037874,0.9332546523975848,0.9536293595127409
toniot_scanning_natural_cur,svc,quantum,40,0.9434584344754056,0.9352223126058741,0.9517565077599318
toniot_scanning_natural_cur,svc,quantum,50,0.9435314357055239,0.936521822654313,0.9503264416529605
toniot_scanning_natural_cur,svc,quantum,60,0.9437053530616812,0.9378493149082916,0.9501024841438012
unsw_dos_m2_centroid,svc,classical_ext,5,0.9168142269413768,0.9040805078885025,0.9261990411644895
unsw_dos_m2_centroid,svc,classical_ext,10,0.9173835715601738,0.9076462444632813,0.924818060717505
unsw_dos_m2_centroid,svc,classical_ext,20,0.9170370083957706,0.9100469208643833,0.9235996862607531
unsw_dos_m2_centroid,svc,classical_ext,30,0.9167577735751066,0.9106008537385475,0.9228707830199385
unsw_dos_m2_centroid,svc,classical_ext,40,0.9166201296889556,0.911467922088608,0.9221072317468534
unsw_dos_m2_centroid,svc,classical_ext,50,0.9165539409639777,0.9115790444864478,0.9213988470332384
unsw_dos_m2_centroid,svc,classical_ext,60,0.9165453831907884,0.9117935884510293,0.9203459015564093
unsw_dos_m2_centroid,svc,classical_ext,115,0.9158399995246657,,
unsw_dos_m2_centroid,svc,quantum,5,0.9128376797069203,0.8983805784479635,0.923437752215058
unsw_dos_m2_centroid,svc,quantum,10,0.9137997970435889,0.9044498959606264,0.9211217086013829
unsw_dos_m2_centroid,svc,quantum,20,0.9142931810532974,0.9077883987721024,0.9196592641677841
unsw_dos_m2_centroid,svc,quantum,30,0.9141523201907099,0.9092860069123182,0.918275375908957
