group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta,n_classical,n_quantum
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,999,svc,0.7346264412228369,0.7409724583475008,-0.006346017124663872,115,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,42,svc,0.6221855363579004,0.6466416588156996,-0.024456122457799156,115,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,123,svc,0.6221855363579004,0.6471905062361167,-0.02500496987821632,115,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,999,svc,0.6221855363579004,0.6471905062361167,-0.02500496987821632,115,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,42,svc,0.7546409266409266,0.7576370656370657,-0.0029961389961390417,115,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,123,svc,0.7546409266409266,0.7576370656370657,-0.0029961389961390417,115,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,999,svc,0.7546409266409266,0.7576370656370657,-0.0029961389961390417,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,42,svc,0.5676657438671169,0.7283048759021299,-0.160639132035013,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,123,svc,0.5676657438671169,0.7283048759021299,-0.160639132035013,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,999,svc,0.5676657438671169,0.7283048759021299,-0.160639132035013,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,42,42,svc,0.7450691598360656,0.7231045081967213,0.021964651639344246,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,42,123,svc,0.7450691598360656,0.7231045081967213,0.021964651639344246,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,42,999,svc,0.7450691598360656,0.7231045081967213,0.021964651639344246,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,123,42,svc,0.7425981969864374,0.7485068293542136,-0.005908632367776279,115,60
