group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,999,svc,0.5676657438671169,0.7283048759021299,-0.160639132035013
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,42,42,svc,0.7450691598360656,0.7231045081967213,0.021964651639344246
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,42,123,svc,0.7450691598360656,0.7231045081967213,0.021964651639344246
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,42,999,svc,0.7450691598360656,0.7231045081967213,0.021964651639344246
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,123,42,svc,0.7425981969864374,0.7485068293542136,-0.005908632367776279
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,123,123,svc,0.7425981969864374,0.7485068293542136,-0.005908632367776279
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,123,999,svc,0.7425981969864374,0.7485068293542136,-0.005908632367776279
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,999,42,svc,0.7240423877114525,0.710577483958779,0.013464903752673507
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,999,123,svc,0.7240423877114525,0.710577483958779,0.013464903752673507
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,999,999,svc,0.7240423877114525,0.710577483958779,0.013464903752673507
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,2024,42,svc,0.6064051574828404,0.6022676246070948,0.0041375328757455865
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,2024,123,svc,0.6064051574828404,0.6022676246070948,0.0041375328757455865
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,2024,999,svc,0.6064051574828404,0.6022676246070948,0.0041375328757455865
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,7,42,svc,0.723301185186969,0.7237205960852306,-0.0004194108982616962
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,7,123,svc,0.723301185186969,0.7237205960852306,-0.0004194108982616962
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,7,999,svc,0.723301185186969,0.7237205960852306,-0.0004194108982616962
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,42,42,svc,0.7434150517674545,0.7751796258661248,-0.031764574098670284
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,42,123,svc,0.7434150517674545,0.7751796258661248,-0.031764574098670284
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,42,999,svc,0.7434150517674545,0.7751796258661248,-0.031764574098670284
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,123,42,svc,0.7237256034925527,0.7558423215202876,-0.03211671802773497
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,123,123,svc,0.7237256034925527,0.7558423215202876,-0.03211671802773497
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,123,999,svc,0.7237256034925527,0.7558423215202876,-0.03211671802773497
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,999,42,svc,0.7270885386635915,0.7430488820552246,-0.015960343391633103
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,999,123,svc,0.7270885386635915,0.7420798898071626,-0.014991351143571086
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,999,999,svc,0.7270885386635915,0.7431129476584022,-0.016024408994810724
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,42,svc,0.7492113817232711,0.637463771596932,0.11174761012633905
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,123,svc,0.7492113817232711,0.637463771596932,0.11174761012633905
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,999,svc,0.7492113817232711,0.637463771596932,0.11174761012633905
