group,model,family,n_pool,family_mean_ood,family_median_ood,expected_max_ood_k5,expected_max_ood_k10,expected_max_ood_k20,expected_max_ood_k30,expected_max_ood_k40,expected_max_ood_k50,expected_max_ood_k60,auc_b
ember_m1,svc,classical_ext,115,0.7205197256884799,0.7249040404680674,0.7415918495633492,0.7469868283347993,0.751638650802121,0.7540476785630188,0.7555950472092674,0.7566952334367378,0.757535554372033,0.7261676480582161
ember_m1,svc,quantum,60,0.719357079298222,0.720886902668143,0.7300583532407188,0.7330506543548119,0.7354544064218871,0.7365579117251049,0.737141437430893,0.7374441895812393,0.7375861190023311,0.7212520491360163
ember_m2,svc,classical_ext,115,0.7520563862805457,0.7650003600230015,0.7826264190040082,0.787078178067549,0.7903682485566287,0.7920661186684961,0.7932214327135764,0.7940928455554005,0.7947854335128235,0.7846103200127129
ember_m2,svc,quantum,60,0.762881261656616,0.7670955271805051,0.779989276361698,0.7834900171068832,0.785798881462608,0.7868287925625437,0.7875287147787364,0.7880936214027268,0.7885840335925889,0.7779379823667191
toniot_scanning_m2_centroid,svc,classical_ext,115,0.9259360079430913,0.9511765855887373,0.960509566409849,0.9616870095739662,0.9621436619899101,0.9623419400009052,0.9624635864215789,0.9625484890733065,0.9626130773834829,0.9603713063273951
toniot_scanning_m2_centroid,svc,quantum,60,0.9544436841903967,0.95769831640762,0.9610636984078627,0.9618428311340452,0.9623380205907,0.9625535271758908,0.9626936409705636,0.9628117568941323,0.9629245571606747,0.958921059137891
toniot_scanning_natural_cur,svc,classical_ext,115,0.9462436501680851,0.9689361820164544,0.982884864224534,0.9861374740023701,0.9877819114196096,0.9883067839477524,0.9885589211713838,0.9886999652915001,0.9887833079910797,0.9665708421817654
toniot_scanning_natural_cur,svc,quantum,60,0.9554362250284292,0.9570327531323729,0.9764134205494726,0.9819265607137652,0.9858557397359577,0.9872354133884822,0.9877958733980123,0.9880534796164567,0.9881738739531127,0.9438429900661038
unsw_dos_m2_centroid,svc,classical_ext,115,0.9047517620029708,0.9119785701835863,0.9275566076480638,0.9309025842777201,0.9327666953662489,0.9334254096820099,0.933806519402483,0.9340864057864295,0.934318422997874,0.9168150508408507
unsw_dos_m2_centroid,svc,quantum,60,0.890580829154553,0.9062766545628036,0.9223063508578446,0.9264719913912344,0.9291554925321996,0.9300683141506431,0.9305569903190785,0.9309065156079763,0.9311843620909397,0.9139810036646222
unsw_dos_natural_cur,svc,classical_ext,115,0.8017767877436354,0.8164282702942359,0.8311666023606381,0.8352081207793771,0.8383210087334876,0.8399138986859201,0.8409481481794205,0.8416967514098216,0.8422720735486676,0.8344980510593425
unsw_dos_natural_cur,svc,quantum,60,0.8132546684952652,0.8126076095503427,0.8262376854092406,0.8289568087173039,0.8304853352825636,0.8311457528190636,0.8315301560483821,0.8317373843858303,0.8318029803167871,0.8312902213739792
unsw_recon_m2_centroid,svc,classical_ext,115,0.9086249742478043,0.9178301959573755,0.9318941578546233,0.9350714973136359,0.9367613802359434,0.9373446670595762,0.9376956289757492,0.9379647867101006,0.9381938022685471,0.924911444106661
unsw_recon_m2_centroid,svc,quantum,60,0.8923676448639557,0.910128073005856,0.925977209140862,0.9298496475754776,0.9322748241330413,0.933018427693276,0.9332918615762387,0.9334240634756881,0.9335239945053502,0.917119352377159
unsw_recon_natural_cur,svc,classical_ext,115,0.7906926161949084,0.7966422442034502,0.8095115025390753,0.8132926612263063,0.8164280206253713,0.817976884041824,0.8189236925523419,0.8195701256038167,0.8200440075640016,0.806219134432484
unsw_recon_natural_cur,svc,quantum,60,0.7916356878877445,0.7978417643393645,0.8114098879845199,0.8144827067146859,0.8164020088795509,0.8172209799985872,0.8176501104606292,0.8178750746797279,0.8180043054431577,0.8097618771050419
ember_m1,gpc,classical_ext,115,0.7141119699463595,0.7182117805825105,0.7483847187124236,0.7533701616633904,0.7563523692084254,0.7577246310105623,0.7586186103666825,0.7593068716610092,0.7598805604703621,0.7454570674235006
ember_m1,gpc,quantum,60,0.7277091132323605,0.7372461967295978,0.7504005761844682,0.7532448801023546,0.754996447629805,0.7557073034247036,0.7561176427277576,0.7564214789285472,0.7566893772189855,0.7450868326655461
ember_m2,gpc,classical_ext,115,0.7254678637342024,0.7279468892039955,0.7684751616083195,0.7747536608848452,0.7778948797916326,0.7793288649779043,0.780239644445336,0.7808707983726644,0.7813309870445291,0.7755953331438501
