group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical_exp_budget,delta,scheme,budget
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,42,svc,0.729649069466003,0.6582977500760109,0.07135131938999217,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,123,svc,0.729649069466003,0.6586296314669313,0.07101943799907173,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,999,svc,0.729649069466003,0.6583350482469477,0.07131402121905539,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,42,svc,0.8015817110655737,0.7626858606557377,0.03889585040983601,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,123,svc,0.8015817110655737,0.7626866419057378,0.03889506915983598,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,999,svc,0.8015817110655737,0.7626858606557377,0.03889585040983601,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,0.648204192086596,0.7174169797120943,-0.06921278762549832,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,0.648204192086596,0.7174169797120943,-0.06921278762549832,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,999,svc,0.648204192086596,0.7174169797120943,-0.06921278762549832,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,42,svc,0.6338550780996824,0.7639999837967465,-0.13014490569706405,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,123,svc,0.6338550780996824,0.7639999837967465,-0.13014490569706405,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,999,svc,0.6338550780996824,0.7639999837967465,-0.13014490569706405,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,svc,0.7550035281288088,0.755686439155815,-0.0006829110270062388,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,svc,0.7550035281288088,0.755686439155815,-0.0006829110270062388,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,svc,0.7550035281288088,0.755686439155815,-0.0006829110270062388,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,42,svc,0.7494310861738889,0.7565029904599072,-0.007071904286018338,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,123,svc,0.7494310861738889,0.7565029904599072,-0.007071904286018338,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,999,svc,0.7494310861738889,0.7565029904599072,-0.007071904286018338,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,42,svc,0.7375862124145878,0.7299526091757212,0.0076336032388665265,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,123,svc,0.7375862124145878,0.7305419460402298,0.007044266374357955,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,999,svc,0.7375862124145878,0.7307061808900481,0.006880031524539643,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,42,svc,0.7232761941448382,0.7466356253210068,-0.023359431176168566,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,123,svc,0.7232761941448382,0.7466390151515152,-0.02336282100667697,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,999,svc,0.7232761941448382,0.7466390151515152,-0.02336282100667697,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42,svc,0.7177589852008457,0.7142634409635465,0.003495544237299142,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123,svc,0.7177589852008457,0.7142634409635465,0.003495544237299142,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999,svc,0.7177589852008457,0.7142634409635465,0.003495544237299142,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42,svc,0.75622488030616,0.7697305767721895,-0.013505696466029504,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123,svc,0.75622488030616,0.7697305767721895,-0.013505696466029504,kernel_blocked,60
