family,model,dim,cfg,kernel,split,regularization,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,feature_policy,n_input_features,n_retained_features,n_removed_features,removed_features,id_split_hash_salt
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,train_cv,100.0,0.8740157487892951,0.019000530242919922,0.9123505976095617,0.9083333333333333,0.9108088900374726,0.9225352112676056,0.9472010178117047,0.9100424814472933,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,train_cv,100.0,0.8740157487892951,0.019000530242919922,0.8995983935742972,0.8953135100193924,0.8976908538088586,0.911660777385159,0.917453135100194,0.8577937310586694,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,train_cv,100.0,0.8740157487892951,0.019000530242919922,0.722,0.7209795356725708,0.7021756178248963,0.7790143084260731,0.7590841453463255,0.6319374320722839,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_val,fixed_c1,1.0,,0.006001710891723633,0.9083665338645418,0.9045165394402035,0.906852542072059,0.9187279151943463,0.9216921119592875,0.8587486911751577,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,fixed_c1,1.0,,0.006001710891723633,0.9036144578313253,0.8995151906916613,0.9018912529550827,0.9148936170212766,0.923076923076923,0.869885826286895,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,fixed_c1,1.0,,0.006001710891723633,0.714,0.7129474071585146,0.6922229253027192,0.7740916271721959,0.7123953983263732,0.5906194094947377,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_val,train_cv,100.0,0.8759388257123719,0.01700878143310547,0.9123505976095617,0.9083333333333333,0.9108088900374726,0.9225352112676056,0.9482824427480916,0.9328912268975174,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,train_cv,100.0,0.8759388257123719,0.01700878143310547,0.8995983935742972,0.8953135100193924,0.8976908538088586,0.911660777385159,0.9304460245636715,0.8918527457485619,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,train_cv,100.0,0.8759388257123719,0.01700878143310547,0.742,0.7410598569577114,0.7265083383155457,0.7915993537964459,0.8118529896478344,0.7039144735437947,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,id_val,fixed_c1,1.0,,0.006009340286254883,0.9123505976095617,0.9083333333333333,0.9108088900374726,0.9225352112676056,0.9669211195928753,0.9421916111412876,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
