family,kernel,dim,kta_ood_full,kta_null_mean,kta_null_std,kta_null_exceed_frac,kta_ood_halfA,eff_rank_train,bacc_svc_halfB,bacc_gpc_halfB
classical_ext,linear,4,0.07529508681957885,0.0024127357510292384,0.0028870629103172137,0.0,0.08574155245649277,2.185009510713962,0.6150487930148947,0.6150487930148947
classical_ext,rbf_gscale,4,0.11404270193990411,0.0032864625448796856,0.0027474460613520564,0.0,0.12097444284093965,5.229824584328427,0.6335387776065742,0.6226245505906522
classical_ext,poly2,4,0.08080902493334242,0.0025697749820018357,0.0028653433100641282,0.0,0.09075291118862938,2.728939851900102,0.6188366718027736,0.6150487930148947
classical_ext,poly3,4,0.08433747450177069,0.002688639230885434,0.002830445733736973,0.0,0.09356323708661626,3.339593305435779,0.6221751412429379,0.6150487930148947
classical_ext,laplacian_med,4,0.17288271131631425,0.004241241569220008,0.0027895958621965513,0.0,0.17941055477324336,7.6087439500533005,0.9338084232152029,0.8905367231638418
classical_ext,matern15_med,4,0.11211022259242899,0.0032118258029288677,0.0027882056581621474,0.0,0.120146190812928,3.904565982249857,0.6335387776065742,0.6226245505906522
classical_ext,matern25_med,4,0.10181374863063197,0.003014327056326781,0.0028108797512096735,0.0,0.11008632645579644,3.4772403626362554,0.6335387776065742,0.6188366718027736
quantum,zz_r1_full,4,0.31538852731507716,0.006105747752920169,0.0028309187935866313,0.0,0.32000997309638946,20.5277399772301,0.9300205444273241,0.9295711350796096
quantum,zz_r2_full,4,0.29964257866486754,0.006323077913479584,0.0028675114186000627,0.0,0.299280277106297,24.73668367580486,0.9262326656394453,0.8974704673857217
quantum,pauli_xz_r1_full,4,0.21400302387581713,0.004801277935210013,0.0027052058283485512,0.0,0.21717161074955446,8.820887765499432,0.7718284540318439,0.9253338469440164
quantum,zmap_r2,4,0.2170512288319527,0.0049839717399317056,0.002947142288449999,0.0,0.22857556170928683,8.594656580591343,0.7722778633795583,0.8981124807395994
classical_ext,linear,6,0.1445895012703281,0.0034710527321242437,0.0031100651956412232,0.0,0.13142670312357901,2.5301628756619303,0.7964267418032787,0.7925204918032787
classical_ext,rbf_gscale,6,0.2113994612775818,0.004454869371317668,0.002970797860178117,0.0,0.1898719771933097,7.072530624149302,0.8042392418032787,0.7886142418032787
