family,model,dim,cfg,kernel,split,svc_c,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc_C0.01__d4,linear,id_test,0.01,0.018995046615600586,0.478,0.5,0.3234100135317997,0.0,0.7294602350149891,0.752549006141713,,,,
classical_ext,svc,4,linear__svc_C0.01__d4,linear,ood_test,0.01,0.018995046615600586,0.556,0.5,0.35732647814910024,0.0,0.685997148227364,0.6157208725934031,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,id_test,0.1,0.018008947372436523,0.708,0.7070809086391254,0.7072082912194574,0.7224334600760456,0.7321855111495855,0.7545953690907063,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,ood_test,0.1,0.018008947372436523,0.562,0.5807084062479746,0.557395139026431,0.6025408348457351,0.6899345388554021,0.6156168628869,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,id_test,10.0,0.017997264862060547,0.692,0.6919315795379855,0.6916842847075405,0.7015503875968992,0.7660109972907548,0.7489164368080743,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,ood_test,10.0,0.017997264862060547,0.642,0.6558266899993519,0.6411027568922305,0.659047619047619,0.7052790200272214,0.5924859152422149,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,id_test,100.0,0.022531509399414062,0.692,0.6919315795379855,0.6916842847075405,0.7015503875968992,0.7655781593164366,0.746876355771044,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,ood_test,100.0,0.022531509399414062,0.64,0.6540281288482728,0.6390239206815228,0.6577946768060836,0.7040151662453822,0.5896810167381766,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,id_test,0.01,0.02116107940673828,0.672,0.6770066849420477,0.6696691857748271,0.6419213973799127,0.7433270812292598,0.7519882596221277,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,ood_test,0.01,0.02116107940673828,0.662,0.6515814375526605,0.6524221446170679,0.5947242206235012,0.6627616825458552,0.6095078697737264,,,,
