family,kernel,dim,kta_ood_full,kta_null_mean,kta_null_std,kta_null_exceed_frac,kta_ood_halfA,eff_rank_train,bacc_svc_halfB,bacc_gpc_halfB
classical_ext,linear,4,0.014532292799065212,0.002950309673838138,0.0031759659772465474,0.01,0.009494453053327153,2.0969891948239647,0.6698674860764355,0.5517572498559631
classical_ext,rbf_gscale,4,0.22221549314166752,0.004289532550771524,0.0030816194330658465,0.0,0.21973233739301726,6.857580134040532,0.909320786121247,0.8891236156456053
classical_ext,poly2,4,0.0755956498699003,0.0032562762291013857,0.00314736406905834,0.0,0.07492572237905863,2.62971726719282,0.8616925933038858,0.7195442033160488
classical_ext,poly3,4,0.08518995902582792,0.0033520086556977826,0.003155554489865555,0.0,0.0842341274339734,3.2906561772219582,0.869694641828308,0.7803917802957557
classical_ext,laplacian_med,4,0.2648089552306396,0.005328412785240105,0.003104708285052924,0.0,0.2681892361732444,10.234802785388307,0.9052557454708405,0.8774406247999489
classical_ext,matern15_med,4,0.2043714291971349,0.004166221997794236,0.003080188601910824,0.0,0.20539184771274757,4.590789826238655,0.909320786121247,0.8332373087510403
classical_ext,matern25_med,4,0.18778065107437764,0.003940986712536948,0.003080862434126017,0.0,0.18896065627821199,3.969496904304288,0.8896357467511683,0.8413673900518532
quantum,zz_r1_full,4,0.30299441609425465,0.008154464818693405,0.0027573399722183862,0.0,0.3140669552543577,38.684705702758,0.888739517316433,0.8846744766660265
quantum,zz_r2_full,4,0.2531895944884493,0.00962867738831074,0.0029678278020390343,0.0,0.2691135213803545,53.88521800834994,0.8727354202675885,0.8606683310927598
quantum,pauli_xz_r1_full,4,0.30210366498567065,0.005250033009899843,0.0031002639818532795,0.0,0.3032314066275469,11.277483993316748,0.9051277126944497,0.8846744766660265
quantum,zmap_r2,4,0.3267265933913734,0.005201577711448229,0.0028728858187780414,0.0,0.32341231903894613,10.43676858100457,0.9090647205684654,0.9090647205684654
classical_ext,linear,6,0.1254473853269754,0.0037519225157492324,0.003270541922719987,0.0,0.11031170094155904,2.074060540570957,0.6994703184548802,0.7148440023254312
classical_ext,rbf_gscale,6,0.22842273038050226,0.004457974447020903,0.00315453413383321,0.0,0.21531837134262047,6.609660220695077,0.9145081067114527,0.8624119888896067
classical_ext,poly2,6,0.14997048253678158,0.0039476617994032275,0.003320038095128467,0.0,0.13518482387104488,2.5145196012933724,0.8655125637878689,0.7202700083973903
classical_ext,poly3,6,0.1573133814825199,0.003994163509439507,0.0032722812623749327,0.0,0.14167264955370185,3.1868615456093976,0.8787869000710549,0.7556682384858859
classical_ext,laplacian_med,6,0.2763385756882843,0.00569305754673006,0.0030840577122970567,0.0,0.26427688185271586,12.039859725687188,0.9145081067114527,0.8902848653187778
classical_ext,matern15_med,6,0.22809719630787928,0.004572848451472537,0.0032205356863656345,0.0,0.21514505931391495,5.0881995955830535,0.9189328854725147,0.8478134487436212
classical_ext,matern25_med,6,0.21300196182701334,0.004426472665547011,0.003255571417242451,0.0,0.1997164925280444,4.357980071343784,0.8970350752535365,0.8345391124604353
quantum,zz_r1_full,6,0.2866344964806252,0.01025162533115513,0.0027914729907865163,0.0,0.27245603408554997,98.42258910231631,0.9012337704282669,0.9048834054647632
quantum,zz_r2_full,6,0.22277284655378665,0.013052110498853823,0.0028171650554852977,0.0,0.21060619475999245,168.4049179477198,0.8958077643563077,0.8354111491505717
