model,view,reference,n_settings,wins,mean_delta,median_delta,wilcoxon_p,effect_gt1,effect_gt1_quantum,wilcoxon_p_holm
gpc,ood,classical_orig,54,54,0.03439264959322376,0.03381376612664588,1.6256984569330967e-10,44,44,6.502793827732387e-10
gpc,ood,classical_ext,54,54,0.020395541587086723,0.019220742536563806,1.6256984569330967e-10,33,33,6.502793827732387e-10
gpc,id,classical_orig,54,53,0.018796385920898738,0.010008688400159949,1.7198462727875601e-10,24,24,6.502793827732387e-10
gpc,id,classical_ext,54,40,0.00572317698369264,0.004403140150546658,7.894402089452953e-07,14,14,7.894402089452953e-07
svc,ood,classical_orig,54,54,0.025591258908976816,0.026418340071239832,1.6256984569330967e-10,35,35,6.502793827732387e-10
svc,ood,classical_ext,54,41,0.006642144798393822,0.002772365746026406,1.5743208287492646e-05,8,7,3.148641657498529e-05
svc,id,classical_orig,54,54,0.020962643320320364,0.010395665990602931,1.6256984569330967e-10,29,29,6.502793827732387e-10
svc,id,classical_ext,54,39,0.003581398788139057,0.0028282721653674625,0.000148957509195352,11,11,0.000148957509195352
