variant,master_seed,size_tag,model,n_runs,ood_best_classical_orig_cfg,ood_best_classical_orig_bacc,ood_best_classical_orig_std,ood_best_classical_ext_cfg,ood_best_classical_ext_bacc,ood_best_classical_ext_std,ood_best_quantum_cfg,ood_best_quantum_bacc,ood_best_quantum_std,ood_delta_q_vs_orig,ood_effect_q_vs_orig,ood_delta_q_vs_ext,ood_effect_q_vs_ext,gpc_ece_id_classical_orig,gpc_ece_ood_classical_orig,gpc_entropy_id_classical_orig,gpc_entropy_ood_classical_orig,gpc_ece_id_classical_ext,gpc_ece_ood_classical_ext,gpc_entropy_id_classical_ext,gpc_entropy_ood_classical_ext,gpc_ece_id_quantum,gpc_ece_ood_quantum,gpc_entropy_id_quantum,gpc_entropy_ood_quantum,id_best_classical_orig_cfg,id_best_classical_orig_bacc,id_best_classical_orig_std,id_best_classical_ext_cfg,id_best_classical_ext_bacc,id_best_classical_ext_std,id_best_quantum_cfg,id_best_quantum_bacc,id_best_quantum_std,id_delta_q_vs_orig,id_effect_q_vs_orig,id_delta_q_vs_ext,id_effect_q_vs_ext
toniot_scanning__m2_centroid,42,size_q1000_id500_ood500,gpc,15,rbf_gscale__gpc__d12,0.8921501668861409,0.03958585535394309,laplacian_med__gpc__d12,0.9056890621369174,0.018580386049745042,zz_r1_full__gpc__d8,0.9542292451080931,0.010501618867553925,0.062079078221952244,1.5157821432143834,0.048540182971175794,2.27431276768265,0.08752887501596704,0.1200364338627535,0.28620328497286124,0.3645206005195048,0.10027486019943206,0.14823539568526062,0.3110081463695106,0.4221547292920224,0.09258857452718999,0.16994467043842068,0.3156272471858183,0.46826863004879343,rbf_gscale__gpc__d6,0.9485052831535231,0.028062524008782556,laplacian_med__gpc__d6,0.9753721761742132,0.010813384276290227,zz_r2_full__gpc__d12,0.9851478293895343,0.00881957356289467,0.03664254623601115,1.2456750592963326,0.009775653215321034,0.7005627187637935
toniot_scanning__m2_centroid,42,size_q1000_id500_ood500,svc,15,rbf_gscale__svc__d12,0.9122677409183194,0.013255773893860352,laplacian_med__svc__d12,0.9405659051560207,0.012515187901687704,zz_r1_full__svc__d6,0.9543348329773048,0.008817592096286346,0.0420670920589854,2.642305864886096,0.013768927821284138,0.8993732771790205,,,,,,,,,,,,,linear__svc__d8,0.9545538451326221,0.017072323560101636,laplacian_med__svc__d10,0.9725965843742556,0.010113805032354681,zz_r2_full__svc__d8,0.9896077336463242,0.0068728101632051,0.03505388851370206,1.9047095628068385,0.017011149272068593,1.3911609287816917
toniot_scanning__m2_centroid,42,size_q2000_id1000_ood1000,gpc,15,rbf_gscale__gpc__d12,0.9086823824186993,0.013099964566744443,laplacian_med__gpc__d8,0.9205017584450871,0.003919495925306815,zz_r1_full__gpc__d12,0.957112255145113,0.00509474339848353,0.04842987272641375,3.445543947053704,0.03661049670002592,5.695494844057947,0.07976172575354921,0.08617403481967315,0.24978334554795437,0.31816570413619216,0.07080040004997744,0.10591773591405927,0.2506837180956088,0.35155355108482167,0.07897321368726298,0.14949261444226128,0.2722358575359906,0.426909073559419,rbf_gscale__gpc__d8,0.944303187041042,0.016992045768888114,laplacian_med__gpc__d10,0.9786122537528106,0.003791138279223505,zz_r2_full__gpc__d10,0.9879944012637009,0.0024033254295852983,0.04369121422265887,2.5459351740633993,0.009382147510890282,2.0901560611679577
toniot_scanning__m2_centroid,42,size_q2000_id1000_ood1000,svc,15,rbf_gscale__svc__d8,0.9208546700840639,0.0053758183123885795,laplacian_med__svc__d12,0.9410799373340699,0.01394952748822503,zz_r1_full__svc__d10,0.9582641159119267,0.005262289632321127,0.037409445827862875,4.9728705078911375,0.017184178577856812,1.1525972980483612,,,,,,,,,,,,,linear__svc__d12,0.93686450016939,0.013909586249151708,laplacian_med__svc__d12,0.9827006201146101,0.0037674989696431078,zz_r2_full__svc__d8,0.9917556863911735,0.004824162928012849,0.05489118622178346,3.7284122576037273,0.009055066276563384,1.4793451496487546
toniot_scanning__m2_centroid,42,size_q4000_id1800_ood1800,gpc,15,rbf_gscale__gpc__d12,0.9215467730217687,0.012524825892226326,laplacian_med__gpc__d8,0.9307844164048222,0.007491276802543769,zz_r1_full__gpc__d8,0.964457287110292,0.0056851684228535326,0.04291051408852331,3.1196930845014608,0.03367287070546976,3.5805922881752754,0.07312138156427311,0.07308599971001754,0.2065405389784295,0.2815156108241515,0.05206227283011226,0.08678946630359183,0.19366521646037646,0.3072722075284963,0.04238641231954422,0.09549936615892715,0.18056853637234363,0.3328374106613118,rbf_gscale__gpc__d8,0.9496934807342006,0.016088133603921122,laplacian_med__gpc__d4,0.9844207994658202,0.002865093270417574,zz_r2_full__gpc__d10,0.9905778818827026,0.001767640673621679,0.040884401148502,2.5260752696920963,0.006157082416882398,1.828927648812543
toniot_scanning__m2_centroid,42,size_q4000_id1800_ood1800,svc,15,rbf_gscale__svc__d6,0.9252279403489128,0.005293017815483771,laplacian_med__svc__d12,0.9589283346597289,0.009117315245774117,zz_r1_full__svc__d8,0.9636504607582101,0.005712733056936728,0.03842252040929739,4.933618800903086,0.004722126098481216,0.4388912297080775,,,,,,,,,,,,,linear__svc__d6,0.9584678537795619,0.008835750012334541,laplacian_med__svc__d12,0.9891078793861625,0.0024566425429621776,zz_r2_full__svc__d12,0.9917411283525106,0.002176815930408667,0.03327327457294871,3.656425746779004,0.0026332489663480896,0.8022525239791698
toniot_scanning__m2_centroid,123,size_q1000_id500_ood500,gpc,15,rbf_gscale__gpc__d12,0.9044244417549359,0.0544411542994667,laplacian_med__gpc__d8,0.9098868870282978,0.05566485070565279,zz_r1_full__gpc__d10,0.95829683791792,0.005903168394980327,0.053872396162984115,0.9837862483456016,0.04840995088962219,0.8648188129350313,0.08490934045426153,0.13557974832471523,0.2871264750773445,0.379629153749958,0.10297396510190618,0.14450947478261575,0.30314189034619127,0.41639300808300383,0.10555649469257643,0.18566087205172638,0.33211760500570886,0.48795905434445586,rbf_gscale__gpc__d10,0.947597504202983,0.017450724060933162,laplacian_med__gpc__d6,0.9684984880278371,0.01861754641345063,zz_r1_full__gpc__d12,0.9874034605850396,0.004692092483575856,0.03980595638205653,2.202812537782521,0.01890497255720247,0.984648990208971
toniot_scanning__m2_centroid,123,size_q1000_id500_ood500,svc,15,rbf_gscale__svc__d10,0.9114337442081759,0.052210335386313166,laplacian_med__svc__d12,0.9434528918428385,0.017090286530180236,zz_r1_full__svc__d8,0.9588139246124656,0.011046992646506545,0.04738018040428971,0.8878306540863071,0.015361032769627081,0.7548497064370207,,,,,,,,,,,,,linear__svc__d10,0.9600450182921294,0.019364148800069144,laplacian_med__svc__d12,0.9751554121105811,0.0066366931895780095,zz_r2_full__svc__d8,0.9899800407406355,0.006707871637901239,0.0299350224485061,1.4607390025656428,0.014824628630054404,1.5710435603750463
toniot_scanning__m2_centroid,123,size_q2000_id1000_ood1000,gpc,15,rbf_gscale__gpc__d12,0.9152502146807519,0.008655061365782864,laplacian_med__gpc__d4,0.9323691747545777,0.006887021634650272,zz_r1_full__gpc__d12,0.9578066591985839,0.006990158069585191,0.042556444517832026,3.825193733501047,0.025437484444006175,2.5922444452875943,0.08653593345225492,0.09790732005720895,0.2513418528167223,0.3271950919923343,0.09214811587343799,0.15465926435454233,0.2945345225021407,0.40465598740046593,0.08120423473835572,0.14502715849836195,0.27223021824872284,0.4270593373505457,rbf_gscale__gpc__d8,0.9392462664493747,0.017903366257322553,laplacian_med__gpc__d6,0.9782019911469242,0.0027069343551159968,zz_r2_full__gpc__d10,0.9912881296421393,0.005060816883248846,0.052041863192764604,2.79721238292997,0.013086138495215116,2.280100167409089
toniot_scanning__m2_centroid,123,size_q2000_id1000_ood1000,svc,15,rbf_gscale__svc__d6,0.9317186397601361,0.006836715802208377,laplacian_med__svc__d12,0.9542780616967266,0.00741907566277667,zz_r1_full__svc__d6,0.9576083179026488,0.006008406386687179,0.02588967814251264,2.8444763871137924,0.0033302562059221996,0.34883052631802514,,,,,,,,,,,,,rbf_gscale__svc__d8,0.9343078070162018,0.0029511161167552714,laplacian_med__svc__d10,0.9824584204500135,0.006371382000942127,zz_r2_full__svc__d10,0.9925991666571164,0.003754742615118356,0.0582913596409147,12.205860583609727,0.010140746207102924,1.3712152233003405
